Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1.0,60.0,3,65.0,8450.0,1,1,3,3,0,4,0,5,2,2,0,5,7.0,5.0,2003.0,2003.0,1,1,12,13,1,196.0,2,4,2,2,4,4,2,706.0,6,0.0,150.0,856.0,1,0,1,5,856.0,854.0,0.0,1710.0,1.0,0.0,2.0,1.0,3.0,1.0,2,8.0,6,0.0,3,1,2003.0,2,2.0,548.0,5,5,2,0.0,61.0,0.0,0.0,0.0,0.0,3,4,1,0.0,2.0,2008.0,8,4,208500.0
2.0,20.0,3,80.0,9600.0,1,1,3,3,0,2,0,24,1,2,0,2,6.0,8.0,1976.0,1976.0,1,1,8,8,2,-1.4210854715202004e-14,3,4,1,2,4,1,0,978.0,6,0.0,284.0,1262.0,1,0,1,5,1262.0,0.0,0.0,1262.0,0.0,1.0,2.0,0.0,3.0,1.0,3,6.0,6,1.0,5,1,1976.0,2,2.0,460.0,5,5,2,298.0,0.0,0.0,0.0,0.0,0.0,3,4,1,0.0,5.0,2007.0,8,4,181500.0
3.0,60.0,3,68.0,11250.0,1,1,0,3,0,4,0,5,2,2,0,5,7.0,5.0,2001.0,2002.0,1,1,12,13,1,162.0,2,4,2,2,4,2,2,486.0,6,0.0,434.0,920.0,1,0,1,5,920.0,866.0,0.0,1786.0,1.0,0.0,2.0,1.0,3.0,1.0,2,6.0,6,1.0,5,1,2001.0,2,2.0,608.0,5,5,2,0.0,42.0,0.0,0.0,0.0,0.0,3,4,1,0.0,9.0,2008.0,8,4,223500.0
4.0,70.0,3,60.0,9550.0,1,1,0,3,0,0,0,6,2,2,0,5,7.0,5.0,1915.0,1970.0,1,1,13,15,2,-1.4210854715202004e-14,3,4,0,4,1,4,0,216.0,6,0.0,540.0,756.0,1,2,1,5,961.0,756.0,0.0,1717.0,1.0,0.0,1.0,0.0,3.0,1.0,2,7.0,6,1.0,2,5,1998.0,3,3.0,642.0,5,5,2,0.0,35.0,272.0,0.0,0.0,0.0,3,4,1,0.0,2.0,2006.0,8,0,140000.0
5.0,60.0,3,84.0,14260.0,1,1,0,3,0,2,0,15,2,2,0,5,8.0,5.0,2000.0,2000.0,1,1,12,13,1,350.0,2,4,2,2,4,0,2,655.0,6,0.0,490.0,1145.0,1,0,1,5,1145.0,1053.0,0.0,2198.0,1.0,0.0,2.0,1.0,4.0,1.0,2,9.0,6,1.0,5,1,2000.0,2,3.0,836.0,5,5,2,192.0,84.0,0.0,0.0,0.0,0.0,3,4,1,0.0,12.0,2008.0,8,4,250000.0
6.0,50.0,3,85.0,14115.0,1,1,0,3,0,4,0,11,2,2,0,0,5.0,5.0,1993.0,1995.0,1,1,12,13,2,-1.4210854715202004e-14,3,4,5,2,4,4,2,732.0,6,0.0,64.0,796.0,1,0,1,5,796.0,566.0,0.0,1362.0,1.0,0.0,1.0,1.0,1.0,1.0,3,5.0,6,0.0,3,1,1993.0,3,2.0,480.0,5,5,2,40.0,30.0,0.0,320.0,0.0,0.0,3,2,3,700.0,10.0,2009.0,8,4,143000.0
7.0,20.0,3,75.0,10084.0,1,1,3,3,0,4,0,21,2,2,0,2,8.0,5.0,2004.0,2005.0,1,1,12,13,3,186.0,2,4,2,0,4,0,2,1369.0,6,0.0,317.0,1686.0,1,0,1,5,1694.0,0.0,0.0,1694.0,1.0,0.0,2.0,0.0,3.0,1.0,2,7.0,6,1.0,2,1,2004.0,2,2.0,636.0,5,5,2,255.0,57.0,0.0,0.0,0.0,0.0,3,4,1,0.0,8.0,2007.0,8,4,307000.0
8.0,60.0,3,89.38709038837612,10382.0,1,1,0,3,0,0,0,14,4,2,0,5,7.0,6.0,1973.0,1973.0,1,1,6,6,3,240.0,3,4,1,2,4,2,0,859.0,1,32.0,216.0,1107.0,1,0,1,5,1107.0,983.0,0.0,2090.0,1.0,0.0,2.0,1.0,3.0,1.0,3,7.0,6,2.0,5,1,1973.0,2,2.0,484.0,5,5,2,235.0,204.0,228.0,0.0,0.0,0.0,3,4,3,350.0,11.0,2009.0,8,4,200000.0
9.0,50.0,4,51.0,6120.0,1,1,3,3,0,4,0,17,0,2,0,0,7.0,5.0,1931.0,1950.0,1,1,3,15,2,-1.4210854715202004e-14,3,4,0,4,4,4,6,0.0,6,0.0,952.0,952.0,1,2,1,1,1022.0,752.0,0.0,1774.0,0.0,0.0,2.0,0.0,2.0,2.0,3,8.0,2,2.0,5,5,1931.0,3,2.0,468.0,1,5,2,90.0,0.0,205.0,0.0,0.0,0.0,3,4,1,0.0,4.0,2008.0,8,0,129900.0
10.0,190.0,3,50.0,7420.0,1,1,3,3,0,0,0,3,0,0,1,1,5.0,6.0,1939.0,1950.0,1,1,8,8,2,-1.4210854715202004e-14,3,4,0,4,4,4,2,851.0,6,0.0,140.0,991.0,1,0,1,5,1077.0,0.0,0.0,1077.0,1.0,0.0,1.0,0.0,2.0,2.0,3,5.0,6,2.0,5,1,1939.0,2,1.0,205.0,2,5,2,0.0,4.0,0.0,0.0,0.0,0.0,3,4,1,0.0,1.0,2008.0,8,4,118000.0
11.0,20.0,3,70.0,11200.0,1,1,3,3,0,4,0,19,2,2,0,2,5.0,5.0,1965.0,1965.0,3,1,6,6,2,-1.4210854715202004e-14,3,4,1,4,4,4,5,906.0,6,0.0,134.0,1040.0,1,0,1,5,1040.0,0.0,0.0,1040.0,1.0,0.0,1.0,0.0,3.0,1.0,3,5.0,6,0.0,3,5,1965.0,3,1.0,384.0,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,3,4,1,0.0,2.0,2008.0,8,4,129500.0
12.0,60.0,3,85.0,11924.0,1,1,0,3,0,4,0,16,2,2,0,5,9.0,5.0,2005.0,2006.0,3,1,14,15,3,286.0,0,4,2,0,4,4,2,998.0,6,0.0,177.0,1175.0,1,0,1,5,1182.0,1142.0,0.0,2324.0,1.0,0.0,3.0,0.0,4.0,1.0,0,11.0,6,2.0,2,3,2005.0,0,3.0,736.0,5,5,2,147.0,21.0,0.0,0.0,0.0,0.0,3,4,1,0.0,7.0,2006.0,6,5,345000.0
13.0,20.0,3,71.79325386927741,12968.0,1,1,1,3,0,4,0,19,2,2,0,2,5.0,6.0,1962.0,1962.0,3,1,6,10,2,-1.4210854715202004e-14,3,4,1,4,4,4,0,737.0,6,0.0,175.0,912.0,1,4,1,5,912.0,0.0,0.0,912.0,1.0,0.0,1.0,0.0,2.0,1.0,3,4.0,6,0.0,3,5,1962.0,3,1.0,352.0,5,5,2,140.0,0.0,0.0,0.0,176.0,0.0,3,4,1,0.0,9.0,2008.0,8,4,144000.0
14.0,20.0,3,91.0,10652.0,1,1,0,3,0,4,0,5,2,2,0,2,7.0,5.0,2006.0,2007.0,1,1,12,13,3,306.0,2,4,2,2,4,0,6,0.0,6,0.0,1494.0,1494.0,1,0,1,5,1494.0,0.0,0.0,1494.0,0.0,0.0,2.0,0.0,3.0,1.0,2,7.0,6,1.0,2,1,2006.0,2,3.0,840.0,5,5,2,160.0,33.0,0.0,0.0,0.0,0.0,3,4,1,0.0,8.0,2007.0,6,5,279500.0
15.0,20.0,3,73.18082346584062,10920.0,1,1,0,3,0,0,0,12,2,2,0,2,6.0,5.0,1960.0,1960.0,3,1,8,8,1,212.0,3,4,1,4,4,4,1,733.0,6,0.0,520.0,1253.0,1,4,1,5,1253.0,0.0,0.0,1253.0,1.0,0.0,1.0,1.0,2.0,1.0,3,5.0,6,1.0,1,1,1960.0,2,1.0,352.0,5,5,2,0.0,213.0,176.0,0.0,0.0,0.0,3,1,1,0.0,5.0,2008.0,8,4,157000.0
16.0,45.0,4,51.0,6120.0,1,1,3,3,0,0,0,3,2,2,0,1,7.0,8.0,1929.0,2001.0,1,1,13,14,2,-1.4210854715202004e-14,3,4,0,4,4,4,6,0.0,6,0.0,832.0,832.0,1,0,1,0,854.0,0.0,0.0,854.0,0.0,0.0,1.0,0.0,2.0,1.0,3,5.0,6,0.0,3,5,1991.0,3,2.0,576.0,5,5,2,48.0,112.0,0.0,0.0,0.0,0.0,3,0,1,0.0,7.0,2007.0,8,4,132000.0
17.0,20.0,3,72.8556538816591,11241.0,1,1,0,3,0,1,0,12,2,2,0,2,6.0,7.0,1970.0,1970.0,1,1,13,14,1,180.0,3,4,1,4,4,4,0,578.0,6,0.0,426.0,1004.0,1,0,1,5,1004.0,0.0,0.0,1004.0,1.0,0.0,1.0,0.0,2.0,1.0,3,5.0,6,1.0,5,1,1970.0,0,2.0,480.0,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,3,4,3,700.0,2.9999999999999996,2010.0,8,4,149000.0
18.0,90.0,3,72.0,10791.0,1,1,3,3,0,4,0,19,2,2,2,2,4.0,5.0,1967.0,1967.0,1,1,8,8,2,-1.4210854715202004e-14,3,4,3,3,2,3,4,0.0,4,0.0,0.0,0.0,1,4,1,5,1296.0,0.0,0.0,1296.0,0.0,0.0,2.0,0.0,2.0,2.0,3,6.0,6,0.0,3,4,1967.0,3,2.0,516.0,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,3,4,3,500.0,10.0,2006.0,8,4,89999.99999999999
19.0,20.0,3,66.0,13695.0,1,1,3,3,0,4,0,20,5,2,0,2,5.0,5.0,2004.0,2004.0,1,1,12,13,2,-1.4210854715202004e-14,3,4,2,4,4,4,2,646.0,6,0.0,468.0,1114.0,1,0,1,5,1114.0,0.0,0.0,1114.0,1.0,0.0,1.0,1.0,3.0,1.0,2,6.0,6,0.0,3,5,2004.0,3,2.0,576.0,5,5,2,0.0,102.0,0.0,0.0,0.0,0.0,3,4,1,0.0,6.0,2008.0,8,4,159000.0
20.0,20.0,3,70.0,7560.0,1,1,3,3,0,4,0,12,2,2,0,2,5.0,6.0,1958.0,1965.0,3,1,3,10,2,-1.4210854715202004e-14,3,4,1,4,4,4,3,504.0,6,0.0,525.0,1029.0,1,4,1,5,1339.0,0.0,0.0,1339.0,0.0,0.0,1.0,0.0,3.0,1.0,3,6.0,2,0.0,3,1,1958.0,3,1.0,294.0,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,0.0,5.0,2009.0,0,0,139000.0
21.0,60.0,3,101.0,14215.0,1,1,0,3,0,0,0,16,2,2,0,5,8.0,5.0,2005.0,2006.0,1,1,12,13,1,380.0,2,4,2,0,4,0,6,0.0,6,0.0,1158.0,1158.0,1,0,1,5,1158.0,1218.0,0.0,2376.0,0.0,0.0,3.0,1.0,4.0,1.0,2,9.0,6,1.0,2,3,2005.0,2,3.0,853.0,5,5,2,240.0,154.0,0.0,0.0,0.0,0.0,3,4,1,0.0,11.0,2006.0,6,5,325300.0
22.0,45.0,4,57.0,7449.0,1,0,3,0,0,4,0,9,2,2,0,1,7.0,7.0,1930.0,1950.0,1,1,13,14,2,-1.4210854715202004e-14,3,4,2,4,4,4,6,0.0,6,0.0,637.0,637.0,1,0,1,1,1108.0,0.0,0.0,1108.0,0.0,0.0,1.0,0.0,3.0,1.0,2,6.0,6,1.0,2,1,1930.0,3,1.0,280.0,5,5,0,0.0,0.0,205.0,0.0,0.0,0.0,3,0,1,0.0,6.0,2007.0,8,4,139400.0
23.0,20.0,3,75.0,9742.0,1,1,3,3,0,4,0,5,2,2,0,2,8.0,5.0,2002.0,2002.0,3,1,12,13,1,281.0,2,4,2,2,4,4,6,0.0,6,0.0,1777.0,1777.0,1,0,1,5,1795.0,0.0,0.0,1795.0,0.0,0.0,2.0,0.0,3.0,1.0,2,7.0,6,1.0,2,1,2002.0,2,2.0,534.0,5,5,2,171.0,159.0,0.0,0.0,0.0,0.0,3,4,1,0.0,9.0,2008.0,8,4,230000.0
24.0,120.0,4,44.0,4224.0,1,1,3,3,0,4,0,10,2,2,4,2,5.0,7.0,1976.0,1976.0,1,1,5,5,2,-1.4210854715202004e-14,3,4,2,2,4,4,2,840.0,6,0.0,200.0,1040.0,1,4,1,5,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0,3.0,1.0,3,6.0,6,1.0,5,1,1976.0,3,2.0,572.0,5,5,2,100.0,110.0,0.0,0.0,0.0,0.0,3,4,1,0.0,6.0,2007.0,8,4,129900.0
25.0,20.0,3,66.71767474895974,8246.0,1,1,0,3,0,4,0,19,2,2,0,2,5.0,8.0,1968.0,2001.0,1,1,9,10,2,-1.4210854715202004e-14,3,2,1,4,4,2,5,187.99999999999997,0,668.0,204.0,1060.0,1,0,1,5,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0,3.0,1.0,2,6.0,6,1.0,5,1,1968.0,3,1.0,270.0,5,5,2,406.0,90.0,0.0,0.0,0.0,0.0,3,2,1,0.0,5.0,2010.0,8,4,154000.0
26.0,20.0,3,110.0,14230.0,1,1,3,3,0,0,0,16,2,2,0,2,8.0,5.0,2007.0,2007.0,1,1,12,13,3,640.0,2,4,2,2,4,4,6,0.0,6,0.0,1566.0,1566.0,1,0,1,5,1600.0,0.0,0.0,1600.0,0.0,0.0,2.0,0.0,3.0,1.0,2,7.0,6,1.0,2,1,2007.0,2,3.0,890.0,5,5,2,0.0,56.0,0.0,0.0,0.0,0.0,3,4,1,0.0,7.0,2009.0,8,4,256300.0
27.0,20.0,3,60.0,7200.0,1,1,3,3,0,0,0,12,2,2,0,2,5.0,7.0,1951.0,2000.0,1,1,13,14,2,-1.4210854715202004e-14,3,4,1,4,4,2,1,234.0,5,486.0,180.0,900.0,1,4,1,5,900.0,0.0,0.0,900.0,0.0,1.0,1.0,0.0,3.0,1.0,2,5.0,6,0.0,3,5,2005.0,3,2.0,576.0,5,5,2,222.0,32.0,0.0,0.0,0.0,0.0,3,4,1,0.0,5.0,2010.0,8,4,134800.0
28.0,20.0,3,98.0,11478.0,1,1,3,3,0,4,0,16,2,2,0,2,8.0,5.0,2007.0,2008.0,1,1,12,13,3,200.0,2,4,2,0,4,4,2,1218.0,6,0.0,486.0,1704.0,1,0,1,5,1704.0,0.0,0.0,1704.0,1.0,0.0,2.0,0.0,3.0,1.0,2,7.0,6,1.0,2,1,2008.0,2,3.0,772.0,5,5,2,0.0,50.0,0.0,0.0,0.0,0.0,3,4,1,0.0,5.0,2010.0,8,4,306000.0
29.0,20.0,3,47.0,16321.0,1,1,0,3,0,1,0,12,2,2,0,2,5.0,6.0,1957.0,1997.0,1,1,8,8,2,-1.4210854715202004e-14,3,4,1,4,4,1,1,1277.0,6,0.0,207.0,1484.0,1,4,1,5,1600.0,0.0,0.0,1600.0,1.0,0.0,1.0,0.0,2.0,1.0,3,6.0,6,2.0,2,1,1957.0,2,1.0,319.0,5,5,2,288.0,258.0,0.0,0.0,0.0,0.0,3,4,1,0.0,12.0,2006.0,8,4,207500.0
30.0,30.0,4,60.0,6324.0,1,1,0,3,0,4,0,3,1,7,0,2,4.0,6.0,1927.0,1950.0,1,1,8,8,2,-1.4210854715202004e-14,3,4,0,4,4,4,6,0.0,6,0.0,520.0,520.0,1,1,0,5,520.0,0.0,0.0,520.0,0.0,0.0,1.0,0.0,1.0,1.0,1,4.0,6,0.0,3,5,1920.0,3,1.0,240.0,1,5,2,49.0,0.0,87.0,0.0,0.0,0.0,3,4,1,0.0,5.0,2008.0,8,4,68499.99999999999
31.0,70.0,0,50.0,8500.0,1,2,3,3,0,4,0,9,1,2,0,5,4.0,4.0,1920.0,1950.0,2,1,3,3,2,-1.4210854715202004e-14,3,1,0,4,4,4,6,0.0,6,0.0,649.0,649.0,1,4,0,5,649.0,668.0,0.0,1317.0,0.0,0.0,1.0,0.0,3.0,1.0,3,6.0,6,0.0,3,5,1920.0,3,1.0,250.0,5,1,0,0.0,54.0,172.0,0.0,0.0,0.0,3,2,1,0.0,7.0,2008.0,8,4,40000.0
32.0,20.0,3,77.47230401695016,8544.0,1,1,0,3,0,1,0,19,2,2,0,2,5.0,6.0,1966.0,2006.0,1,1,6,6,2,-1.4210854715202004e-14,3,4,1,4,4,4,6,0.0,6,0.0,1228.0,1228.0,1,2,1,5,1228.0,0.0,0.0,1228.0,0.0,0.0,1.0,1.0,3.0,1.0,2,6.0,6,0.0,3,1,1966.0,3,1.0,271.0,5,5,2,0.0,65.0,0.0,0.0,0.0,0.0,3,2,1,0.0,6.0,2008.0,8,4,149350.0
33.0,20.0,3,85.0,11049.0,1,1,3,3,0,0,0,5,2,2,0,2,8.0,5.0,2007.0,2007.0,1,1,12,13,2,-1.4210854715202004e-14,2,4,2,0,4,0,6,0.0,6,0.0,1234.0,1234.0,1,0,1,5,1234.0,0.0,0.0,1234.0,0.0,0.0,2.0,0.0,3.0,1.0,2,7.0,6,0.0,3,1,2007.0,2,2.0,484.0,5,5,2,0.0,30.0,0.0,0.0,0.0,0.0,3,4,1,0.0,1.0,2008.0,8,4,179900.0
34.0,20.0,3,70.0,10552.0,1,1,0,3,0,4,0,12,2,2,0,2,5.0,5.0,1959.0,1959.0,3,1,3,3,2,-1.4210854715202004e-14,3,4,1,4,4,4,5,1018.0,6,0.0,380.0,1398.0,1,2,1,5,1700.0,0.0,0.0,1700.0,0.0,1.0,1.0,1.0,4.0,1.0,2,6.0,6,1.0,2,1,1959.0,2,2.0,447.0,5,5,2,0.0,38.0,0.0,0.0,0.0,0.0,3,4,1,0.0,4.0,2010.0,8,4,165500.0
35.0,120.0,3,60.0,7313.0,1,1,3,3,0,4,0,16,2,2,4,2,9.0,5.0,2005.0,2005.0,3,1,8,8,1,246.0,0,4,2,0,4,4,2,1153.0,6,0.0,408.0,1561.0,1,0,1,5,1561.0,0.0,0.0,1561.0,1.0,0.0,2.0,0.0,2.0,1.0,0,6.0,6,1.0,2,1,2005.0,0,2.0,556.0,5,5,2,203.0,47.0,0.0,0.0,0.0,0.0,3,4,1,0.0,8.0,2007.0,8,4,277500.0
