HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,HasName,Group,Deck,Num,Side,GroupSize
Europa,False,TRAPPIST-1e,39.0,0,0.0,0.0,0.0,0.0,0.0,False,True,1,B,0,P,1
Earth,False,TRAPPIST-1e,24.0,0,109.0,9.0,25.0,549.0,44.0,True,True,2,F,0,S,1
Europa,False,TRAPPIST-1e,58.0,1,43.0,3576.0,0.0,6715.0,49.0,False,True,3,A,0,S,2
Europa,False,TRAPPIST-1e,33.0,0,0.0,1283.0,371.0,3329.0,193.0,False,True,3,A,0,S,2
Earth,False,TRAPPIST-1e,16.0,0,303.0,70.0,151.0,565.0,2.0,True,True,4,F,1,S,1
Earth,False,PSO J318.5-22,44.0,0,0.0,483.0,0.0,291.0,0.0,True,True,5,F,0,P,1
Earth,False,TRAPPIST-1e,26.0,0,42.0,1539.0,3.0,0.0,0.0,True,True,6,F,2,S,2
Earth,True,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,,True,True,6,G,0,S,2
Earth,False,TRAPPIST-1e,35.0,0,0.0,785.0,17.0,216.0,0.0,True,True,7,F,3,S,1
Europa,True,55 Cancri e,14.0,0,0.0,0.0,0.0,0.0,0.0,True,True,8,B,1,P,3
Europa,True,TRAPPIST-1e,34.0,0,0.0,0.0,,0.0,0.0,True,True,8,B,1,P,3
Europa,False,55 Cancri e,45.0,0,39.0,7295.0,589.0,110.0,124.0,True,True,8,B,1,P,3
Mars,False,TRAPPIST-1e,32.0,0,73.0,0.0,1123.0,0.0,113.0,True,True,9,F,1,P,1
Earth,False,TRAPPIST-1e,48.0,0,719.0,1.0,65.0,0.0,24.0,False,True,10,G,1,S,1
Earth,False,TRAPPIST-1e,28.0,0,8.0,974.0,12.0,2.0,7.0,True,True,11,F,2,P,1
Earth,False,TRAPPIST-1e,31.0,0,32.0,0.0,876.0,0.0,0.0,False,True,12,U,-1,U,1
Mars,False,55 Cancri e,27.0,0,1286.0,122.0,,0.0,0.0,False,True,14,F,3,P,1
