contestant_id,season_idx,weeks_participated,placement,celebrity_name,week_str,judge_score,week_idx,obs_id,estimated_strength
0,0,6,2,56,week1_percentage,0.183486239,0,0,43.83980637
1,0,6,1,66,week1_percentage,0.119266055,0,1,42.6654311
2,0,3,5,32,week1_percentage,0.165137615,0,2,36.62733601
3,0,4,4,89,week1_percentage,0.183486239,0,3,30.08999668
4,0,5,3,55,week1_percentage,0.183486239,0,4,79.44288058
5,0,2,6,108,week1_percentage,0.165137615,0,5,36.12239368
0,0,6,2,56,week2_percentage,0.214876033,1,6,51.58299383
1,0,6,1,66,week2_percentage,0.140495868,1,7,44.78128548
2,0,3,5,32,week2_percentage,0.115702479,1,8,26.50880433
3,0,4,4,89,week2_percentage,0.198347107,1,9,32.16014973
4,0,5,3,55,week2_percentage,0.173553719,1,10,65.86310178
5,0,2,6,108,week2_percentage,0.157024793,1,11,17.88594412
0,0,6,2,56,week3_percentage,0.226415094,2,12,50.16197838
1,0,6,1,66,week3_percentage,0.198113208,2,13,60.57473609
2,0,3,5,32,week3_percentage,0.122641509,2,14,18.5145972
3,0,4,4,89,week3_percentage,0.245283019,2,15,41.20649407
4,0,5,3,55,week3_percentage,0.20754717,2,16,73.97057847
0,0,6,2,56,week4_percentage,0.22826087,3,17,52.28199329
1,0,6,1,66,week4_percentage,0.282608696,3,18,104.9965481
3,0,4,4,89,week4_percentage,0.27173913,3,19,32.78484735
4,0,5,3,55,week4_percentage,0.217391304,3,20,74.4882769
0,0,6,2,56,week5_percentage,0.369863014,4,21,130.4466824
1,0,6,1,66,week5_percentage,0.321917808,4,22,126.5832024
4,0,5,3,55,week5_percentage,0.308219178,4,23,130.4353795
0,0,6,2,56,week6_percentage,0.495412844,5,24,336.3198912
1,0,6,1,66,week6_percentage,0.504587156,5,25,526.382563
6,1,2,9,103,week1_percentage,0.117948718,0,26,21.32536055
7,1,5,6,105,week1_percentage,0.102564103,0,27,21.80944693
8,1,6,5,34,week1_percentage,0.092307692,0,28,18.55941598
9,1,7,4,73,week1_percentage,0.097435897,0,29,22.76751569
10,1,8,3,100,week1_percentage,0.112820513,0,30,34.33993
11,1,8,2,49,week1_percentage,0.107692308,0,31,35.8866893
12,1,3,8,35,week1_percentage,0.117948718,0,32,18.42863744
13,1,4,7,76,week1_percentage,0.061538462,0,33,20.42809146
14,1,8,1,27,week1_percentage,0.123076923,0,34,39.30638753
15,1,1,10,67,week1_percentage,0.066666667,0,35,6.308251773
6,1,2,9,103,week2_percentage,0.085,1,36,9.714591499
7,1,5,6,105,week2_percentage,0.11,1,37,21.03036799
8,1,6,5,34,week2_percentage,0.11,1,38,19.41066481
9,1,7,4,73,week2_percentage,0.1,1,39,21.2125535
10,1,8,3,100,week2_percentage,0.145,1,40,38.73567963
11,1,8,2,49,week2_percentage,0.115,1,41,33.57630542
12,1,3,8,35,week2_percentage,0.12,1,42,17.80810937
13,1,4,7,76,week2_percentage,0.08,1,43,21.27480191
14,1,8,1,27,week2_percentage,0.135,1,44,38.24605169
7,1,5,6,105,week3_percentage,0.142857143,2,45,24.31935059
8,1,6,5,34,week3_percentage,0.120879121,2,46,19.51324757
9,1,7,4,73,week3_percentage,0.137362637,2,47,24.52477422
10,1,8,3,100,week3_percentage,0.148351648,2,48,36.02546084
11,1,8,2,49,week3_percentage,0.104395604,2,49,28.31727132
12,1,3,8,35,week3_percentage,0.120879121,2,50,10.447068
13,1,4,7,76,week3_percentage,0.076923077,2,51,19.51153761
14,1,8,1,27,week3_percentage,0.148351648,2,52,38.38146756
7,1,5,6,105,week4_percentage,0.158227848,3,53,24.85345394
8,1,6,5,34,week4_percentage,0.132911392,3,54,19.83511151
9,1,7,4,73,week4_percentage,0.164556962,3,55,27.35976109
10,1,8,3,100,week4_percentage,0.164556962,3,56,36.86686913
11,1,8,2,49,week4_percentage,0.151898734,3,57,35.78699914
13,1,4,7,76,week4_percentage,0.050632911,3,58,10.75371217
14,1,8,1,27,week4_percentage,0.17721519,3,59,42.3562098
7,1,5,6,105,week5_percentage,0.145695364,4,60,14.21228906
8,1,6,5,34,week5_percentage,0.158940397,4,61,23.03474691
9,1,7,4,73,week5_percentage,0.165562914,4,62,26.88486513
10,1,8,3,100,week5_percentage,0.198675497,4,63,43.08844025
11,1,8,2,49,week5_percentage,0.152317881,4,64,33.59837386
14,1,8,1,27,week5_percentage,0.178807947,4,65,39.08739196
8,1,6,5,34,week6_percentage,0.172932331,5,66,17.4428616
9,1,7,4,73,week6_percentage,0.203007519,5,67,33.04523419
10,1,8,3,100,week6_percentage,0.22556391,5,68,48.55150697
11,1,8,2,49,week6_percentage,0.172932331,5,69,37.25301269
14,1,8,1,27,week6_percentage,0.22556391,5,70,50.33928458
9,1,7,4,73,week7_percentage,0.259803922,6,71,31.0881131
10,1,8,3,100,week7_percentage,0.269607843,6,72,64.611773
11,1,8,2,49,week7_percentage,0.200980392,6,73,46.71517294
