contestant_id,season_idx,weeks_participated,placement,celebrity_name,week_str,judge_score,week_idx,obs_id,estimated_strength,fan_votes
0,0,3,9,100,week1_percentage,0.080188679,0,0,20.99953275,2.363560595
1,0,4,8,284,week1_percentage,0.103773585,0,1,25.78502324,2.368577859
2,0,8,4,203,week1_percentage,0.089622642,0,2,24.049392,2.419059564
3,0,9,3,133,week1_percentage,0.099056604,0,3,25.70379495,2.405477946
4,0,10,2,177,week1_percentage,0.122641509,0,4,31.45121573,2.407000573
5,0,10,1,86,week1_percentage,0.113207547,0,5,29.15177508,2.411189287
6,0,2,10,253,week1_percentage,0.08490566,0,6,19.42634545,2.245635297
7,0,5,7,290,week1_percentage,0.103773585,0,7,25.92988233,2.374180091
8,0,5,6,248,week1_percentage,0.070754717,0,8,20.03629252,2.396716209
9,0,7,5,128,week1_percentage,0.075471698,0,9,20.76628162,2.392446275
10,0,1,11,276,week1_percentage,0.056603774,0,10,14.17289785,2.170668329
0,0,3,9,100,week2_percentage,0.091304348,1,11,19.64285012,2.202382695
1,0,4,8,284,week2_percentage,0.104347826,1,12,21.96741019,2.203467744
2,0,8,4,203,week2_percentage,0.113043478,1,13,24.64507583,2.244643832
3,0,9,3,133,week2_percentage,0.126086957,1,14,27.31437993,2.236718468
4,0,10,2,177,week2_percentage,0.091304348,1,15,20.79792867,2.259522681
5,0,10,1,86,week2_percentage,0.104347826,1,16,22.94701078,2.247095421
6,0,2,10,253,week2_percentage,0.095652174,1,17,13.53596459,1.793098983
7,0,5,7,290,week2_percentage,0.1,1,18,21.41008616,2.214690384
8,0,5,6,248,week2_percentage,0.091304348,1,19,19.84631111,2.212687436
9,0,7,5,128,week2_percentage,0.082608696,1,20,18.88962038,2.237122896
0,0,3,9,100,week3_percentage,0.106280193,2,21,13.57818692,1.705963259
1,0,4,8,284,week3_percentage,0.130434783,2,22,23.31898259,2.041652394
2,0,8,4,203,week3_percentage,0.130434783,2,23,24.25477473,2.080998154
3,0,9,3,133,week3_percentage,0.106280193,2,24,20.14826929,2.100617026
4,0,10,2,177,week3_percentage,0.106280193,2,25,20.14805237,2.10060626
5,0,10,1,86,week3_percentage,0.09178744,2,26,18.49892259,2.138279499
7,0,5,7,290,week3_percentage,0.106280193,2,27,19.56957029,2.071474458
8,0,5,6,248,week3_percentage,0.120772947,2,28,21.41517333,2.038529956
9,0,7,5,128,week3_percentage,0.101449275,2,29,18.92311677,2.078905713
1,0,4,8,284,week4_percentage,0.121212121,3,30,13.29408714,1.558020298
2,0,8,4,203,week4_percentage,0.121212121,3,31,19.88025409,1.960427895
3,0,9,3,133,week4_percentage,0.136363636,3,32,22.00032396,1.933095696
4,0,10,2,177,week4_percentage,0.146464646,3,33,23.82111768,1.926836071
5,0,10,1,86,week4_percentage,0.121212121,3,34,19.81152942,1.956964976
7,0,5,7,290,week4_percentage,0.141414141,3,35,22.19653295,1.899087156
8,0,5,6,248,week4_percentage,0.101010101,3,36,16.8408983,1.966061128
9,0,7,5,128,week4_percentage,0.111111111,3,37,17.90875528,1.941765561
2,0,8,4,203,week5_percentage,0.149171271,4,38,22.27211367,1.836615081
3,0,9,3,133,week5_percentage,0.138121547,4,39,20.86897608,1.865374494
4,0,10,2,177,week5_percentage,0.149171271,4,40,22.25043729,1.835641355
5,0,10,1,86,week5_percentage,0.149171271,4,41,22.1457635,1.830925908
7,0,5,7,290,week5_percentage,0.149171271,4,42,15.51890497,1.475338669
8,0,5,6,248,week5_percentage,0.132596685,4,43,14.70101817,1.56194318
9,0,7,5,128,week5_percentage,0.132596685,4,44,19.84839743,1.862149677
2,0,8,4,203,week6_percentage,0.194915254,5,45,27.49859998,1.658969779
3,0,9,3,133,week6_percentage,0.203389831,5,46,29.3219637,1.651207816
4,0,10,2,177,week6_percentage,0.237288136,5,47,39.31589741,1.656645066
5,0,10,1,86,week6_percentage,0.211864407,5,48,31.56423282,1.652931862
9,0,7,5,128,week6_percentage,0.152542373,5,49,18.20370026,1.606278141
2,0,8,4,203,week7_percentage,0.2,6,50,26.16134303,1.565939324
3,0,9,3,133,week7_percentage,0.211111111,6,51,28.30885819,1.550478802
4,0,10,2,177,week7_percentage,0.207407407,6,52,27.54383034,1.554533413
5,0,10,1,86,week7_percentage,0.211111111,6,53,28.39588122,1.553548143
9,0,7,5,128,week7_percentage,0.17037037,6,54,17.23331329,1.400107268
2,0,8,4,203,week8_percentage,0.243119266,7,55,27.1079296,1.235326105
3,0,9,3,133,week8_percentage,0.247706422,7,56,36.66452326,1.49835659
4,0,10,2,177,week8_percentage,0.26146789,7,57,39.92647479,1.466728097
5,0,10,1,86,week8_percentage,0.247706422,7,58,36.56299007,1.495583499
3,0,9,3,133,week9_percentage,0.333333333,8,59,53.64641406,1.151842017
4,0,10,2,177,week9_percentage,0.333333333,8,60,70.47937997,1.424747569
5,0,10,1,86,week9_percentage,0.333333333,8,61,70.53549205,1.425543402
4,0,10,2,177,week10_percentage,0.5,9,62,253.5144832,1.289562011
5,0,10,1,86,week10_percentage,0.5,9,63,253.6963622,1.290279184
11,1,7,6,134,week1_percentage,0.082524272,0,64,20.52245117,2.320746677
12,1,9,4,108,week1_percentage,0.101941748,0,65,24.99481254,2.353007779
13,1,5,8,59,week1_percentage,0.077669903,0,66,20.53744371,2.362698886
14,1,10,3,159,week1_percentage,0.111650485,0,67,28.59777902,2.405224672
15,1,10,1,17,week1_percentage,0.101941748,0,68,26.63970756,2.41674234
16,1,3,10,252,week1_percentage,0.09223301,0,69,17.13544416,2.057932433
17,1,2,11,227,week1_percentage,0.09223301,0,70,18.96149264,2.15919357
18,1,6,7,102,week1_percentage,0.087378641,0,71,18.37262148,2.168866878
19,1,8,5,29,week1_percentage,0.063106796,0,72,17.46139292,2.324107273
20,1,10,2,132,week1_percentage,0.116504854,0,73,28.37243625,2.356091801
21,1,4,9,165,week1_percentage,0.072815534,0,74,19.64429282,2.359457932
11,1,7,6,134,week2_percentage,0.085714286,1,75,18.08474818,2.16720746
12,1,9,4,108,week2_percentage,0.089795918,1,76,19.30114049,2.197642635
13,1,5,8,59,week2_percentage,0.073469388,1,77,17.21611529,2.221964622
14,1,10,3,159,week2_percentage,0.110204082,1,78,23.93057451,2.239334976
15,1,10,1,17,week2_percentage,0.106122449,1,79,23.33278557,2.248697621
16,1,3,10,252,week2_percentage,0.081632653,1,80,14.66482056,1.992250074
17,1,2,11,227,week2_percentage,0.085714286,1,81,11.25962632,1.693361988
18,1,6,7,102,week2_percentage,0.097959184,1,82,17.33250243,2.020741794
19,1,8,5,29,week2_percentage,0.085714286,1,83,18.19022348,2.173022797
20,1,10,2,132,week2_percentage,0.097959184,1,84,20.54230905,2.190644908
21,1,4,9,165,week2_percentage,0.085714286,1,85,18.79216781,2.205578694
11,1,7,6,134,week3_percentage,0.091743119,2,86,16.37569298,2.016741476
12,1,9,4,108,week3_percentage,0.110091743,2,87,19.41569118,2.03121359
13,1,5,8,59,week3_percentage,0.073394495,2,88,14.96903798,2.082738653
14,1,10,3,159,week3_percentage,0.096330275,2,89,18.27482453,2.087514939
15,1,10,1,17,week3_percentage,0.105504587,2,90,19.89338256,2.094472002
16,1,3,10,252,week3_percentage,0.096330275,2,91,10.42258696,1.52596585
18,1,6,7,102,week3_percentage,0.110091743,2,92,16.44058437,1.864884971
19,1,8,5,29,week3_percentage,0.096330275,2,93,16.93092678,2.011132475
20,1,10,2,132,week3_percentage,0.110091743,2,94,19.36349753,2.02852175
21,1,4,9,165,week3_percentage,0.110091743,2,95,19.52308025,2.036729395
11,1,7,6,134,week4_percentage,0.084210526,3,96,13.8721114,1.914788492
