celebrity_name,celebrity_age_during_season,season,placement,is_from_usa,is_final_awarded,is_final_reached,season_total_weeks,weeks_participated,low_score_advanced_week,low_score_advanced_weeks,low_score_advanced_count,week1_score_sum,week2_score_sum,week3_score_sum,week4_score_sum,week5_score_sum,week6_score_sum,week7_score_sum,week8_score_sum,week9_score_sum,week10_score_sum,week11_score_sum,week1_percentage,week1_percentage_rank,week2_percentage,week2_percentage_rank,week3_percentage,week3_percentage_rank,week4_percentage,week4_percentage_rank,week5_percentage,week5_percentage_rank,week6_percentage,week6_percentage_rank,week7_percentage,week7_percentage_rank,week8_percentage,week8_percentage_rank,week9_percentage,week9_percentage_rank,week10_percentage,week10_percentage_rank,week11_percentage,week11_percentage_rank,advanced_rounds,celebrity_industry_Actor/Actress,celebrity_industry_Athlete,celebrity_industry_Comedian,celebrity_industry_Con artist,celebrity_industry_Conservationist,celebrity_industry_Entrepreneur,celebrity_industry_Fitness Instructor,celebrity_industry_Model,celebrity_industry_News Anchor,celebrity_industry_Politician,celebrity_industry_Producer,celebrity_industry_Singer/Rapper,celebrity_industry_Social Media Personality,celebrity_industry_Social media personality,celebrity_industry_Sports Broadcaster,celebrity_industry_TV Personality
56,0.7525706615738582,1,2,1,1,1,6,6,0,,0,0.7399400733959433,1.437277734118068,0.6298897789321867,-0.7844645405527362,1.3821894809301767,-1.0,0.0,0.0,0.0,0.0,0.0,0.1834862385321101,1.0,0.2148760330578512,1.0,0.2264150943396226,2.0,0.2282608695652173,3.0,0.3698630136986301,1.0,0.4954128440366973,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7980735853945291,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,-0.8375064580244506,1,1,1,1,1,6,6,2,"1,2",2,-2.085285661388569,-0.780236484235523,-0.04499212706658459,1.1766968108291043,-0.4319342127906794,1.0,0.0,0.0,0.0,0.0,0.0,0.1192660550458715,3.0,0.140495867768595,5.0,0.1981132075471698,4.0,0.2826086956521739,1.0,0.3219178082191781,2.0,0.5045871559633027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.156266156580747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.14682699696497867,1,5,1,0,0,6,3,2,2,1,-0.06726727939963172,-1.5194078903533867,-1.8446772097299746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1651376146788991,2.0,0.1157024793388429,6.0,0.1226415094339622,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.156266156580747,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,-0.3831987095677909,1,4,0,0,0,6,4,0,,0,0.7399400733959433,0.9444967967061589,1.0798110495980342,0.7844645405527362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1834862385321101,1.0,0.1983471074380165,2.0,0.2452830188679245,1.0,0.2717391304347826,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7980735853945291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,-0.6103525837961207,1,3,1,1,1,6,5,4,4,1,0.7399400733959433,0.2053253905882952,0.17996850826633917,-1.1766968108291043,-0.9502552681394955,0.0,0.0,0.0,0.0,0.0,0.0,0.1834862385321101,1.0,0.1735537190082644,3.0,0.2075471698113207,3.0,0.217391304347826,4.0,0.3082191780821918,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48554127223303517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
108,-0.6103525837961207,1,6,1,0,0,6,2,0,,0,-0.06726727939963172,-0.28745554682361396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1651376146788991,2.0,0.1570247933884297,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7980735853945291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
103,0.14682699696497867,2,9,1,0,0,8,2,0,,0,0.8904382398008727,-1.3075749775754444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1179487179487179,2.0,0.085,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7980735853945291,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,-0.08032687726335115,2,6,1,0,0,8,5,0,,0,0.1272054628286961,-0.05564148840746553,0.7673657369312419,0.38696373556508734,-1.1851874369484305,0.0,0.0,0.0,0.0,0.0,0.0,0.1025641025641025,5.0,0.11,5.0,0.1428571428571428,2.0,0.1582278481012658,3.0,0.1456953642384106,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7980735853945291,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.9640579907916171,2,5,1,0,0,8,6,4,"1,4",2,-0.3816163884860883,-0.05564148840746553,-0.1770844008302866,-0.2503882994832922,-0.4366480030862642,-1.1476380835140094,0.0,0.0,0.0,0.0,0.0,0.0923076923076923,7.0,0.11,5.0,0.1208791208791208,4.0,0.1329113924050632,5.0,0.1589403973509933,4.0,0.1729323308270676,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48554127223303517,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.14682699696497867,2,4,1,0,0,8,7,0,,0,-0.1272054628286961,-0.5564148840746571,0.5312532024908597,0.5463017443271823,-0.06237828615518098,0.1275153426126672,0.34299717028501764,0.0,0.0,0.0,0.0,0.0974358974358974,6.0,0.1,6.0,0.1373626373626373,3.0,0.1645569620253164,2.0,0.1655629139072847,3.0,0.2030075187969924,2.0,0.2598039215686274,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7980735853945291,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
