contestant_id,season_idx,season,weeks_participated,placement,celebrity_name,week_idx,judge_rank,score_sum,vote_rank,total_rank,obs_id,estimated_strength,strength_lower_95,strength_upper_95,strength_std,implied_audience_score,implied_audience_score_lower,implied_audience_score_upper
0,0,1,6,2,56,0,1,0.739940073,1,2,0,6.550124041,0.5608199,30.6952412,11.17968183,8.252867586,0.706608355,38.67465098
1,0,1,6,1,66,0,3,-2.085285661,6,9,1,4.108790928,0.347758442,19.22429012,6.702792184,8.218264247,0.695574641,38.45177304
2,0,1,3,5,32,0,2,-0.067267279,4,6,2,3.311003522,0.293652169,13.89756737,3.939023635,5.256181438,0.466169567,22.06223435
3,0,1,4,4,89,0,1,0.739940073,1,2,3,2.522403842,0.219778363,10.81252876,3.414753093,3.178117663,0.27691105,13.62330966
4,0,1,5,3,55,0,1,0.739940073,1,2,4,7.102779424,0.617233042,33.13695554,10.37377407,8.949189011,0.777686428,41.75110342
5,0,1,2,6,108,0,2,-0.067267279,4,6,5,2.855186546,0.224979074,12.1777218,3.884395728,4.532577035,0.35715179,19.33199854
0,0,1,6,2,56,1,1,1.437277734,1,2,6,5.108285766,0.605433114,21.91860903,7.080146469,6.436214911,0.762819039,27.61648129
1,0,1,6,1,66,1,5,-0.780236484,5,10,7,2.299319266,0.28730136,9.665237787,3.225676703,7.300893982,0.912251204,30.68946424
2,0,1,3,5,32,1,6,-1.51940789,6,12,8,1.120092881,0.109746635,3.806637111,1.046319404,4.481115659,0.439059449,15.22907739
3,0,1,4,4,89,1,2,0.944496797,2,4,9,1.597700739,0.212202369,5.890024849,1.714537332,2.536332236,0.336868911,9.350349244
4,0,1,5,3,55,1,3,0.205325391,3,6,10,2.979154544,0.426325055,11.69112388,3.331703417,5.958803868,0.852720915,23.38418944
5,0,1,2,6,108,1,4,-0.287455547,4,8,11,0.563154913,0.071535927,1.777849788,0.461373197,1.41921858,0.1802792,4.480396768
0,0,1,6,2,56,2,2,0.629889779,2,4,12,3.003279736,0.445466394,11.23411073,3.676979187,4.767673333,0.707172969,17.83402642
1,0,1,6,1,66,2,4,-0.044992127,4,8,13,2.477035883,0.376944261,9.679458114,3.026568382,6.242430401,0.949945188,24.39340665
2,0,1,3,5,32,2,5,-1.84467721,5,10,14,0.606987589,0.068709973,1.802396627,0.466903026,1.92733219,0.218170758,5.72304459
3,0,1,4,4,89,2,1,1.07981105,1,2,15,1.72023197,0.265318575,5.803537346,1.613775538,2.167416461,0.334289711,7.312201258
4,0,1,5,3,55,2,3,0.179968508,3,6,16,2.405478619,0.395877009,8.084571862,2.262281325,4.811356743,0.791819767,16.17048642
0,0,1,6,2,56,3,3,-0.784464541,3,6,17,1.891034517,0.305958061,6.560289496,1.888322187,3.782383099,0.611966936,13.12166853
1,0,1,6,1,66,3,1,1.176696811,1,2,18,4.961074475,0.667587097,19.26233118,7.090199103,6.250735172,0.841130318,24.26968827
3,0,1,4,4,89,3,2,0.784464541,2,4,19,0.595763558,0.079496152,1.696002241,0.433857873,0.945768053,0.126199261,2.692384782
4,0,1,5,3,55,3,4,-1.176696811,4,8,20,1.566993561,0.29179399,4.920999211,1.342489324,3.949013539,0.735356192,12.40151396
0,0,1,6,2,56,4,1,1.382189481,1,2,21,2.958772571,0.540396999,9.712878236,2.993362736,3.727923028,0.680876401,12.23779847
1,0,1,6,1,66,4,2,-0.431934213,2,4,22,3.234550545,0.558610548,11.19287213,4.180938526,5.134813183,0.886788061,17.76856061
4,0,1,5,3,55,4,3,-0.950255268,3,6,23,1.061507066,0.145663387,3.129705286,0.816524359,2.123190428,0.291350966,6.259930356
