celebrity_name,season,placement,weeks_participated,results,ballroom_partner,celebrity_industry,celebrity_age_during_season,low_score_advanced_count,week1_score_sum,week2_score_sum,week3_score_sum,week4_score_sum,week5_score_sum,week6_score_sum,week7_score_sum,week8_score_sum,week9_score_sum,week10_score_sum,week11_score_sum
AJ McLean,29,7,9,Eliminated,Cheryl Burke,Singer/Rapper,42,0,18.0,19.0,21.0,24.0,24.0,27.0,26.0,27.0,24.9998,,
Aaron Carter,9,5,8,Eliminated,Karina Smirnoff,Singer/Rapper,21,0,31.9999,27.0,21.0,18.0,24.0,32.9998,26.5,25.0,,,
Adam Carolla,6,9,4,Eliminated,Julianne Hough,Radio Personality,43,1,15.0,19.0,21.0,19.0,,,,,,,
Adam Rippon,26,1,4,Winner,Jenna Johnson,Athlete,28,0,24.0,37.0,41.0,29.0,,,,,,,
Adrian Peterson,32,11,4,Eliminated,Britt Stewart,Athlete,38,1,18.0,15.0,22.0,21.0,,,,,,,
Aiden Turner,10,9,4,Eliminated,Edyta Sliwinska,Actor/Actress,32,1,15.0,19.0,20.0,16.5,,,,,,,
Albert Reed,5,11,2,Eliminated,Anna Trebunskaya,Model,22,0,21.0,21.0,,,,,,,,,
Alek Skarlatos,21,3,11,Finalist,Lindsay Arnold,Military,22,3,22.0,22.5,33.0,24.0,29.0,30.0,26.5,25.0,25.5,28.5,27.9999
Alexa PenaVega,21,6,9,Eliminated,Mark Ballas,Actor/Actress,27,1,22.0,23.0,36.0,21.0,40.0,30.0,27.5,26.9998,30.0,,
Alexandra Raisman,16,4,10,Eliminated,Mark Ballas,Athlete,18,0,21.0,24.0,23.0,27.0,25.0,26.0,32.0,28.0,29.5,29.0,
Alexis Ren,27,4,9,Eliminated,Alan Bersten,Social Media Personality,21,0,22.0,24.5,26.0,25.0,29.0,27.0,27.5,29.0,28.5,,
Alfonso Ribeiro,19,1,11,Winner,Witney Carson,Actor/Actress,42,0,36.0,32.0,32.0,40.0,34.0,39.0,34.0,41.0,38.5,37.5,40.0
Alix Earle,34,2,11,Finalist,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,24,0,13.0,21.0,23.0,24.0,35.0,35.0,43.0,38.5,40.0,29.0,30.0
Ally Brooke,28,3,11,Finalist,Sasha Farber,Singer/Rapper,26,0,16.0,20.0,24.0,32.0,27.0,25.0,27.0,30.0,40.0,29.5,30.0
Alyson Hannigan,32,5,11,Eliminated,Sasha Farber,Actor/Actress,49,6,13.0,19.0,24.0,18.0,21.0,31.0,35.0,36.0,32.0,25.5,26.5
Amanda Kloots,30,4,10,Eliminated,Alan Bersten,TV Personality,39,0,28.0,32.0,24.0,34.0,39.0,38.0,34.0,42.0,39.5,39.0,
