season,celebrity_name,weeks_participated,placement,results,week1_score_sum,week2_score_sum,week3_score_sum,week4_score_sum,week5_score_sum,week6_score_sum,week7_score_sum,week8_score_sum,week9_score_sum,week10_score_sum,week11_score_sum
1,32,3,5,Eliminated Week 3,-0.067267279,-1.51940789,-1.84467721,,,,,,,,
1,55,5,3,3rd Place,0.739940073,0.205325391,0.179968508,-1.176696811,-0.950255268,,,,,,
1,56,6,2,2nd Place,0.739940073,1.437277734,0.629889779,-0.784464541,1.382189481,-1.0,,,,,
1,66,6,1,1st Place,-2.085285661,-0.780236484,-0.044992127,1.176696811,-0.431934213,1.0,,,,,
1,89,4,4,Eliminated Week 4,0.739940073,0.944496797,1.07981105,0.784464541,,,,,,,
1,108,2,6,Eliminated Week 2,-0.067267279,-0.287455547,,,,,,,,,
2,27,8,1,1st Place,1.144849165,1.196292001,1.003478271,0.864977762,0.686161148,1.083880412,0.685994341,0.862655414,,,
2,34,6,5,Eliminated Week 6,-0.381616388,-0.055641488,-0.177084401,-0.250388299,-0.436648003,-1.147638084,,,,,
2,35,3,8,Eliminated Week 3,0.89043824,0.445131907,-0.177084401,,,,,,,,
2,49,8,2,2nd Place,0.381616388,0.194745209,-0.885422004,0.227625727,-0.81091772,-1.147638084,-1.714985851,-1.40182718,,,
2,67,1,10,Eliminated Week 1,-1.653671017,,,,,,,,,,
2,73,7,4,Eliminated Week 7,-0.127205463,-0.556414884,0.531253202,0.546301744,-0.062378286,0.127515343,0.34299717,,,,
2,76,4,7,Eliminated Week 4,-1.908081942,-1.557961675,-2.065984676,-2.321782413,,,,,,,
2,100,8,3,3rd Place,0.636027314,1.697065396,1.003478271,0.546301744,1.808970299,1.083880412,0.685994341,0.539171766,,,
2,103,2,9,Eliminated Week 2,0.89043824,-1.307574978,,,,,,,,,
2,105,5,6,Eliminated Week 5,0.127205463,-0.055641488,0.767365737,0.386963736,-1.185187437,,,,,,
28,3,11,3,3rd Place,-0.146615588,0.56225353,1.064742266,0.872698903,1.283377896,-0.182574186,0.903696114,0.59735622,1.128423568,1.4509525,1.341640786
28,36,11,1,1st Place,1.260894058,1.847404456,0.304212076,0.872698903,0.458349249,-0.730296743,0.387298335,0.843265662,0.161203367,-0.362738125,-0.447213595
28,42,10,5,Eliminated Week 10,1.61277147,0.56225353,0.811232203,-0.045931521,0.870863572,0.912870929,0.903696114,1.089224295,0.268672278,-1.4509525,
28,63,7,8,Eliminated Week 7,0.205261823,0.240965799,-0.96333824,-0.045931521,-1.191708046,-0.182574186,-0.387298335,,,,
28,64,8,7,Eliminated Week 8,-0.498493,0.883541262,1.064742266,-0.505246733,0.045834925,0.912870929,-0.645497224,-0.386527506,,,
