season,start_viewer,final_viewer,avg_viewer
1.0,13.48,22.36,17.92
2.0,17.46,27.23,22.345
3.0,20.22,27.51,23.865000000000002
4.0,21.8,22.96,22.380000000000003
5.0,21.25,24.87,23.060000000000002
6.0,21.15,20.12,20.634999999999998
7.0,21.34,20.65,20.994999999999997
8.0,22.83,20.31,21.57
9.0,17.79,19.29,18.54
10.0,24.19,18.4,21.295
11.0,21.3,24.13,22.715
12.0,22.65,21.42,22.035
13.0,19.03,19.45,19.240000000000002
14.0,18.79,17.75,18.27
15.0,14.11,16.73,15.42
16.0,17.06,15.2,16.13
17.0,16.04,14.75,15.395
18.0,15.44,15.07,15.254999999999999
19.0,13.64,15.98,14.81
20.0,14.16,13.49,13.825
21.0,13.13,13.49,13.31
22.0,12.46,10.49,11.475000000000001
23.0,12.19,10.97,11.58
24.0,12.09,8.91,10.5
25.0,10.71,9.2,9.955
26.0,8.48,8.77,8.625
27.0,7.68,7.9,7.79
28.0,8.07,7.79,7.93
29.0,8.12,6.41,7.265
30.0,5.47,5.64,5.555
32.0,4.78,5.5,5.140000000000001
33.0,4.97,6.36,5.665
34.0,5.28,9.43,7.355
