celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_age_during_season,season,is_from_usa,is_final_awarded,is_final_reached,low_score_advanced_count,week1_score_sum,week2_score_sum,week3_score_sum,week4_score_sum,week5_score_sum,week6_score_sum,week7_score_sum,week8_score_sum,week9_score_sum,week10_score_sum,week11_score_sum,participated_ratio,ballroom_partner_count,is_legacy_season,season_total_contestants,relative_placement,gender,week1_audience_votes,week2_audience_votes,week3_audience_votes,week4_audience_votes,week5_audience_votes,week6_audience_votes,week7_audience_votes,week8_audience_votes,week9_audience_votes,week10_audience_votes,week11_audience_votes,week1_judge_rank,week1_audience_rank,week1_judge_pct,week1_audience_pct,week1_combined_rank,week1_combined_pct,week2_judge_rank,week2_audience_rank,week2_judge_pct,week2_audience_pct,week2_combined_rank,week2_combined_pct,week3_judge_rank,week3_audience_rank,week3_judge_pct,week3_audience_pct,week3_combined_rank,week3_combined_pct,week4_judge_rank,week4_audience_rank,week4_judge_pct,week4_audience_pct,week4_combined_rank,week4_combined_pct,week5_judge_rank,week5_audience_rank,week5_judge_pct,week5_audience_pct,week5_combined_rank,week5_combined_pct,week6_judge_rank,week6_audience_rank,week6_judge_pct,week6_audience_pct,week6_combined_rank,week6_combined_pct,week7_judge_rank,week7_audience_rank,week7_judge_pct,week7_audience_pct,week7_combined_rank,week7_combined_pct,week8_judge_rank,week8_audience_rank,week8_judge_pct,week8_audience_pct,week8_combined_rank,week8_combined_pct,week9_judge_rank,week9_audience_rank,week9_judge_pct,week9_audience_pct,week9_combined_rank,week9_combined_pct,week10_judge_rank,week10_audience_rank,week10_judge_pct,week10_audience_pct,week10_combined_rank,week10_combined_pct,week11_judge_rank,week11_audience_rank,week11_judge_pct,week11_audience_pct,week11_combined_rank,week11_combined_pct,total_audience_votes
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,50,1,True,True,True,0,20.0,26.0,24.0,21.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,1,False,6,0.2,1.0,8.252867586,6.436214911,4.767673333,3.782383099,3.727923028,2.619800302,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,0.1834862385321101,0.21499010699582471,4.0,0.3984763455279348,1.0,2.0,0.21487603305785125,0.2287815438821857,3.0,0.44365757694003694,2.0,3.0,0.22641509433962265,0.23938658719430575,5.0,0.4658016815339284,3.0,3.0,0.22826086956521738,0.2533767732710306,6.0,0.481637642836248,1.0,2.0,0.3698630136986301,0.3393362390356664,3.0,0.7091992527342965,2.0,2.0,0.4954128440366973,0.3786949137449355,4.0,0.8741077577816327,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.586862259
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,29,1,True,True,True,2,13.0,17.0,21.0,26.0,23.5,27.5,0.0,0.0,0.0,0.0,0.0,1.0,5,False,6,0.0,0.0,8.218264247,7.300893982,6.242430401,6.250735172,5.134813183,4.298170357,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,3.0,0.11926605504587157,0.21408867782875038,9.0,0.3333547328746219,5.0,1.0,0.14049586776859505,0.2595174058074765,6.0,0.4000132735760715,4.0,1.0,0.19811320754716982,0.31343466825842015,5.0,0.51154787580559,1.0,1.0,0.2826086956521739,0.41872836965452515,2.0,0.701337065306699,2.0,1.0,0.3219178082191781,0.467399187317657,3.0,0.7893169955368351,1.0,1.0,0.5045871559633027,0.6213050862550644,2.0,1.125892242218367,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.445307342
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,42,1,True,False,False,1,18.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,11,False,6,0.8,1.0,5.256181438,4.481115659,1.92733219,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.5,4.0,0.1651376146788991,0.13692537750903006,8.5,0.30206299218792915,6.0,4.0,0.11570247933884298,0.1592856318437279,10.0,0.2749881111825709,5.0,5.0,0.12264150943396226,0.09677204018160177,10.0,0.21941354961556403,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.664629286999999
Rachel Hunter,Jonathan Roberts,Model,N,35,1,False,False,False,0,20.0,24.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,7,False,6,0.6,1.0,3.178117663,2.536332236,2.167416461,0.945768053,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,0.1834862385321101,0.082791084346581,8.0,0.2662773228786911,2.0,5.0,0.19834710743801653,0.09015640602033279,7.0,0.28850351345834935,1.0,4.0,0.24528301886792453,0.10882675749537349,5.0,0.354109776363298,2.0,4.0,0.2717391304347826,0.06335573400677494,6.0,0.33509486444155756,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.827634413
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,32,1,True,True,True,1,20.0,21.0,22.0,20.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,4,False,6,0.4,1.0,8.949189011,5.958803868,4.811356743,3.949013539,2.123190428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,0.1834862385321101,0.23312952533790338,3.0,0.4166157638700135,3.0,3.0,0.17355371900826447,0.21181150217377814,6.0,0.38536522118204264,3.0,2.0,0.20754716981132076,0.2415799468702988,5.0,0.44912711668161953,4.0,2.0,0.21739130434782608,0.26453912306766925,6.0,0.4819304274154953,3.0,3.0,0.3082191780821918,0.1932645736466764,6.0,0.5014837517288682,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.791553589000003
Trista Sutter,Louis van Amstel,TV Personality,Indiana,32,1,True,False,False,0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,11,False,6,1.0,0.0,4.532577035,1.41921858,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.5,5.0,0.1651376146788991,0.11807522798191032,9.5,0.2832128426608094,4.0,6.0,0.15702479338842976,0.05044751027249892,10.0,0.20747230366092867,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.951795615
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,42,2,True,False,False,0,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2,False,10,0.8888888888888888,0.0,8.181267198,2.057794595,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.5,4.0,0.11794871794871795,0.08857648048557881,6.5,0.20652519843429676,8.0,9.0,0.085,0.02864574347594388,17.0,0.11364574347594389,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.239061793000001
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,39,2,True,False,False,0,20.0,22.0,26.0,25.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,17,False,10,0.5555555555555556,0.0,7.347674432,6.541423816,5.929800969,4.526392589,2.056640874,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,5.0,0.10256410256410256,0.0795513855236921,11.0,0.18211548808779465,5.5,4.0,0.11,0.09106056992076311,9.5,0.2010605699207631,3.0,4.0,0.14285714285714285,0.10773686644149634,7.0,0.2505940092986392,4.0,5.0,0.15822784810126583,0.10735721771342283,9.0,0.26558506581468866,6.0,6.0,0.1456953642384106,0.06569557824985155,12.0,0.21139094248826212,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.401932679999998
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,66,2,True,False,False,2,18.0,22.0,22.0,21.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0,0.75,11,False,10,0.4444444444444444,1.0,5.432608027,5.356805576,4.298592873,3.699783318,3.326199607,1.66665994,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,8.0,0.09230769230769231,0.058817452998845846,16.0,0.15112514530653814,5.5,7.0,0.11,0.07456996862245223,12.5,0.18456996862245223,5.5,7.0,0.12087912087912088,0.07809991071637415,12.5,0.19897903159549502,6.0,6.0,0.13291139240506328,0.08775165550780639,12.0,0.22066304791286967,4.0,5.0,0.15894039735099338,0.10624927731368909,9.0,0.26518967466468246,4.5,5.0,0.17293233082706766,0.06772888024538605,9.5,0.2406612110724537,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.780649341
Lisa Rinna,Louis van Amstel,Actor/Actress,California,42,2,True,False,False,0,19.0,20.0,25.0,26.0,25.0,27.0,26.5,0.0,0.0,0.0,0.0,0.875,11,False,10,0.3333333333333333,0.0,7.346169209,5.985434693,5.731614984,5.489729008,4.339727931,3.788270552,1.753936676,-1.0,-1.0,-1.0,-1.0,7.0,6.0,0.09743589743589744,0.07953508886053967,13.0,0.1769709862964371,7.0,6.0,0.1,0.08332086556369486,13.0,0.18332086556369487,4.0,5.0,0.13736263736263737,0.10413608167517015,9.0,0.2414987190378075,2.5,4.0,0.16455696202531644,0.13020568161317053,6.5,0.294762643638487,3.0,4.0,0.16556291390728478,0.1386245598238931,7.0,0.3041874737311779,3.0,4.0,0.20300751879699247,0.1539458148574271,7.0,0.35695333365441956,3.0,4.0,0.25980392156862747,0.09257990853666848,7.0,0.35238383010529595,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.434883053
Stacy Keibler,Tony Dovolani,Athlete,Maryland,26,2,True,True,True,0,22.0,29.0,27.0,26.0,30.0,30.0,27.5,28.6665,0.0,0.0,0.0,1.0,21,False,10,0.2222222222222222,0.0,15.45916367,16.21440972,12.64405207,9.149666214,8.223063264,6.886682177,6.133107648,4.651281291,-1.0,-1.0,-1.0,4.0,2.0,0.11282051282051282,0.16737239794268896,6.0,0.2801929107632018,1.0,1.0,0.145,0.2257143752741614,2.0,0.3707143752741614,1.5,1.0,0.14835164835164835,0.22972618411080353,2.5,0.37807783246245186,2.5,2.0,0.16455696202531644,0.21701226493890124,4.5,0.3815692269642177,1.0,1.0,0.1986754966887417,0.2626705045800775,2.0,0.4613460012688192,1.5,1.0,0.22556390977443608,0.2798574929772822,2.5,0.5054214027517183,1.5,1.0,0.2696078431372549,0.3237303563275177,2.5,0.5933381994647726,2.0,2.0,0.33992071896021603,0.33953401627640034,4.0,0.6794547352366164,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.361426054
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,43,2,True,True,True,3,21.0,23.0,19.0,24.0,23.0,23.0,20.5,26.666600000000003,0.0,0.0,0.0,1.0,11,False,10,0.1111111111111111,1.0,13.28821338,11.20809207,7.325701646,6.922633888,5.925375443,5.416816948,5.042005042,4.043485655,-1.0,-1.0,-1.0,5.0,3.0,0.1076923076923077,0.14386807625956935,8.0,0.2515603839518771,4.0,3.0,0.115,0.15602341024322733,7.0,0.27102341024322735,7.0,3.0,0.1043956043956044,0.13309858862909701,10.0,0.23749419302470143,5.0,3.0,0.1518987341772152,0.16419139499088967,8.0,0.31609012916810486,5.0,3.0,0.152317880794702,0.18927512868022248,8.0,0.34159300947492444,4.5,3.0,0.17293233082706766,0.22012585625731762,7.5,0.3930581870843853,4.0,3.0,0.20098039215686275,0.2661375248132284,7.0,0.46711791697009114,3.0,3.0,0.31620636785880724,0.29516617858710387,6.0,0.6113725464459111,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.172324072
Giselle Fernandez,Jonathan Roberts,News Anchor,N,44,2,False,False,False,0,23.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,7,False,10,0.7777777777777778,0.0,5.096660106,3.831971106,1.294506866,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.5,9.0,0.11794871794871795,0.05518023106873926,11.5,0.1731289490174572,3.0,8.0,0.12,0.05334335194407727,11.0,0.17334335194407727,5.5,8.0,0.12087912087912088,0.023519526887824285,13.5,0.14439864776694517,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.223138078
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,35,2,True,False,False,3,12.0,16.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4,False,10,0.6666666666666666,1.0,6.979313796,6.353759061,5.19624269,2.269959242,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,7.0,0.06153846153846154,0.07556323944599333,17.0,0.13710170098445487,9.0,5.0,0.08,0.08844816319937902,14.0,0.16844816319937903,8.0,6.0,0.07692307692307693,0.09440905480922754,14.0,0.17133213173230447,7.0,7.0,0.05063291139240506,0.05383901280154518,14.0,0.10447192419395024,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.799274789000002
