contestant_id,season_idx,season,weeks_participated,placement,celebrity_name,week_str,judge_score,week_idx,obs_id,implied_audience_score,audience_lower_95,audience_upper_95,implied_total_score
0,0,3,3,9,100,week1_score_sum,-0.571139578,0,0,47.32477792,2.915996539,205.8529548,46.23096432
1,0,3,4,8,284,week1_score_sum,0.685367494,0,1,43.96999033,1.411580659,204.6697952,45.28256665
2,0,3,8,4,203,week1_score_sum,-0.068536749,0,2,46.98182577,2.225872142,214.6611013,46.85056814
3,0,3,9,3,133,week1_score_sum,0.434066079,0,3,49.82712843,1.677692139,243.3006853,50.65842676
4,0,3,10,2,177,week1_score_sum,1.690573151,0,4,45.49098314,0.742527144,219.0089111,48.7286714
5,0,3,10,1,86,week1_score_sum,1.187970322,0,5,47.86505088,0.926299764,232.1409047,50.14018316
6,0,3,2,10,253,week1_score_sum,-0.319838164,0,6,46.31238399,2.734145457,211.426846,45.69984837
7,0,3,5,7,290,week1_score_sum,0.685367494,0,7,3.264877958,0.008329512,13.76961715,4.577454278
8,0,3,5,6,248,week1_score_sum,-1.073742407,0,8,49.24624705,4.297361621,215.0022829,47.18987748
9,0,3,7,5,128,week1_score_sum,-0.822440992,0,9,50.39840576,3.64460823,233.9168688,48.82331418
10,0,3,1,11,276,week1_score_sum,-1.82764665,0,10,4.800219919,0.013389711,17.13653101,1.300016401
0,0,3,3,9,100,week2_score_sum,-0.72547625,1,11,38.82066325,1.012296601,171.6952144,37.43127295
1,0,3,4,8,284,week2_score_sum,0.362738125,1,12,37.02179545,0.425478913,174.1981933,37.7164906
2,0,3,8,4,203,week2_score_sum,1.088214375,1,13,36.79480476,0.417210558,178.8495018,38.87889021
3,0,3,9,3,133,week2_score_sum,2.17642875,1,14,39.63061749,0.261773621,199.9917905,43.79878838
4,0,3,10,2,177,week2_score_sum,-0.72547625,1,15,42.93304023,1.107991467,202.231274,41.54364993
5,0,3,10,1,86,week2_score_sum,0.362738125,1,16,41.57823118,0.724013495,204.6108674,42.27292633
6,0,3,2,10,253,week2_score_sum,-0.362738125,1,17,3.056820045,0.009467739,12.39384977,2.362124897
8,0,3,5,6,248,week2_score_sum,-0.72547625,1,18,40.02788001,1.191622627,185.471069,38.63848971
9,0,3,7,5,128,week2_score_sum,-1.4509525,1,19,44.77879174,1.762076342,200.8728221,42.00001114
0,0,3,3,9,100,week3_score_sum,-0.387298335,2,20,2.909745254,0.007931102,11.865423,2.168013806
1,0,3,4,8,284,week3_score_sum,1.549193338,2,21,32.45309752,0.234214362,159.1400474,35.4200233
2,0,3,8,4,203,week3_score_sum,1.549193338,2,22,33.72039525,0.280804685,162.7060461,36.68732104
3,0,3,9,3,133,week3_score_sum,-0.387298335,2,23,39.56866034,0.897063213,184.1079014,38.8269289
4,0,3,10,2,177,week3_score_sum,-0.387298335,2,24,39.1410187,0.975202203,179.0673131,38.39928725
5,0,3,10,1,86,week3_score_sum,-1.549193338,2,25,42.50069845,1.555813913,196.3022204,39.53377266
7,0,3,5,7,290,week3_score_sum,-0.387298335,2,26,33.728529,0.752081076,154.1000234,32.98679756
8,0,3,5,6,248,week3_score_sum,0.774596669,2,27,34.60116526,0.436191004,161.3188626,36.08462815
9,0,3,7,5,128,week3_score_sum,-0.774596669,2,28,40.10246487,0.99313015,183.9966963,38.61900198
1,0,3,4,8,284,week4_score_sum,-0.262111217,3,29,3.066242989,0.010050934,12.3966808,2.564262694
2,0,3,8,4,203,week4_score_sum,-0.262111217,3,30,34.55688029,0.772810411,156.1740176,34.0549
3,0,3,9,3,133,week4_score_sum,0.786333651,3,31,35.3841762,0.380467551,165.2297347,36.89011708
4,0,3,10,2,177,week4_score_sum,1.485296896,3,32,33.72172526,0.297389704,158.5062869,36.56628026
5,0,3,10,1,86,week4_score_sum,-0.262111217,3,33,36.94787337,0.673489392,172.5189988,36.44589308
7,0,3,5,7,290,week4_score_sum,1.135815274,3,34,29.11658229,0.288350976,135.3389257,31.29183024
8,0,3,5,6,248,week4_score_sum,-1.660037708,3,35,37.51933447,1.649817792,159.4675201,34.34012593
9,0,3,7,5,128,week4_score_sum,-0.961074462,3,36,37.64015932,1.484892463,164.3642161,35.79956491
2,0,3,8,4,203,week5_score_sum,0.843274043,4,37,35.80711835,1.249996663,147.5049307,37.42210819
3,0,3,9,3,133,week5_score_sum,-0.632455532,4,38,42.23601136,4.023729767,171.7660269,41.02476898
4,0,3,10,2,177,week5_score_sum,0.843274043,4,39,38.33275567,1.496120364,163.280898,39.94774551
5,0,3,10,1,86,week5_score_sum,0.843274043,4,40,38.68929011,1.228666241,167.3593265,40.30427995
7,0,3,5,7,290,week5_score_sum,0.843274043,4,41,4.360092936,0.018627671,17.71124882,5.975082777
8,0,3,5,6,248,week5_score_sum,-1.370320319,4,42,5.729153577,0.029465993,21.08209893,3.104795087
9,0,3,7,5,128,week5_score_sum,-1.370320319,4,43,42.27865537,5.43489207,162.7722175,39.65429688
2,0,3,8,4,203,week6_score_sum,-0.183941802,5,44,4.557771878,0.017030214,19.14953108,4.205497141
3,0,3,9,3,133,week6_score_sum,0.122627868,5,45,34.11795246,0.680805996,157.3046286,34.35280228
4,0,3,10,2,177,week6_score_sum,1.348906547,5,46,31.47463065,0.371918485,141.4010299,34.05797871
5,0,3,10,1,86,week6_score_sum,0.429197538,5,47,33.27786107,0.346967626,146.6780105,34.09983546
9,0,3,7,5,128,week6_score_sum,-1.716790151,5,48,37.43146379,2.268286897,156.9259036,34.14356625
3,0,3,9,3,133,week7_score_sum,0.723364233,6,49,30.11481599,0.205879486,141.6846676,31.50016148
4,0,3,10,2,177,week7_score_sum,0.482242822,6,50,30.57672585,0.235313817,141.4123906,31.5002895
5,0,3,10,1,86,week7_score_sum,0.723364233,6,51,30.15808342,0.259028219,139.3805989,31.5434289
9,0,3,7,5,128,week7_score_sum,-1.928971289,6,52,5.856957455,0.020189377,22.94842492,2.162702828
2,0,3,8,4,203,week8_score_sum,-1,7,53,23.37783837,0.111900893,114.2310907,21.46269601
3,0,3,9,3,133,week8_score_sum,-0.333333333,7,54,25.91259698,0.122649411,128.9169618,25.2742162
4,0,3,10,2,177,week8_score_sum,1.666666667,7,55,24.96328353,0.106753727,121.6570541,28.15518747
5,0,3,10,1,86,week8_score_sum,-0.333333333,7,56,25.49218342,0.09243363,126.4293813,24.85380264
11,1,4,7,6,134,week1_score_sum,-0.536116016,0,57,38.78616107,0.180000376,201.2176926,37.75942258
12,1,4,9,4,108,week1_score_sum,0.70541581,0,58,38.29444843,0.200891202,195.3086839,39.64542013
13,1,4,5,8,59,week1_score_sum,-0.846498972,0,59,37.38054644,0.114786337,195.5504146,35.7593804
14,1,4,10,3,159,week1_score_sum,1.326181723,0,60,39.48205272,0.216986334,200.3378665,42.02187951
15,1,4,10,1,17,week1_score_sum,0.70541581,0,61,41.8194611,0.181741307,212.4944288,43.1704328
16,1,4,3,10,252,week1_score_sum,0.084649897,0,62,36.25621687,0.140958899,180.9032285,36.41833347
17,1,4,2,11,227,week1_score_sum,0.084649897,0,63,35.99714655,0.20431361,184.9664058,36.15926315
18,1,4,6,7,102,week1_score_sum,-0.225733059,0,64,37.92206261,0.194964625,199.9735895,37.48975166
19,1,4,8,5,29,week1_score_sum,-1.777647841,0,65,38.85944049,0.193002921,198.6364629,35.45499181
20,1,4,10,2,132,week1_score_sum,1.636564679,0,66,40.56793163,0.171742318,213.4369982,43.70218597
21,1,4,4,9,165,week1_score_sum,-1.156881928,0,67,36.9732915,0.159173157,185.7115711,34.75769791
11,1,4,7,6,134,week2_score_sum,-0.496841409,1,68,40.18791131,0.744512622,183.2143896,39.23638928
12,1,4,9,4,108,week2_score_sum,-0.106466016,1,69,38.1508064,0.528074454,182.8801162,37.94690883
13,1,4,5,8,59,week2_score_sum,-1.667967586,1,70,41.64099308,1.713674094,193.2225957,38.4465977
14,1,4,10,3,159,week2_score_sum,1.845410947,1,71,38.86290577,0.291817898,188.3108719,42.39713045
15,1,4,10,1,17,week2_score_sum,1.455035554,1,72,38.38338092,0.236688166,189.1465955,41.16998115
16,1,4,3,10,252,week2_score_sum,-0.887216801,1,73,39.05392872,0.836635229,182.5505435,37.35478224
17,1,4,2,11,227,week2_score_sum,-0.496841409,1,74,2.600488634,0.005272458,10.52226205,1.648966605
18,1,4,6,7,102,week2_score_sum,0.674284769,1,75,35.97823934,0.411483879,169.2591541,37.26959067
19,1,4,8,5,29,week2_score_sum,-0.496841409,1,76,40.68345891,0.761506283,189.3757399,39.73193688
20,1,4,10,2,132,week2_score_sum,0.674284769,1,77,41.33957299,0.422823771,206.9337897,42.63092432
21,1,4,4,9,165,week2_score_sum,-0.496841409,1,78,39.43487193,0.898647212,186.5875101,38.4833499
11,1,4,7,6,134,week3_score_sum,-0.737308728,2,79,37.6314152,0.943344481,174.7576763,36.21936402
12,1,4,9,4,108,week3_score_sum,0.901155113,2,80,34.0443758,0.297486504,158.6901541,35.77021613
13,1,4,5,8,59,week3_score_sum,-2.37577257,2,81,41.01717024,3.092275903,180.7817415,36.46722755
14,1,4,10,3,159,week3_score_sum,-0.327692768,2,82,38.70812151,0.755529094,181.9178286,38.08054321
15,1,4,10,1,17,week3_score_sum,0.491539152,2,83,36.29019106,0.493080797,172.108825,37.23155851
16,1,4,3,10,252,week3_score_sum,-0.327692768,2,84,2.597257585,0.008083123,10.27495854,1.969679284
18,1,4,6,7,102,week3_score_sum,0.901155113,2,85,33.42155191,0.295162395,160.6748643,35.14739224
19,1,4,8,5,29,week3_score_sum,-0.327692768,2,86,37.56702546,0.615464192,174.3135829,36.93944716
20,1,4,10,2,132,week3_score_sum,0.901155113,2,87,36.19992884,0.316041011,176.2593561,37.92576917
21,1,4,4,9,165,week3_score_sum,0.901155113,2,88,32.92910718,0.332673463,162.8482806,34.65494751
11,1,4,7,6,134,week4_score_sum,-1.166146291,3,89,35.13568687,0.644064498,158.0401805,32.90235071
12,1,4,9,4,108,week4_score_sum,0.659126165,3,90,31.45924842,0.228779544,147.5853815,32.72156886
13,1,4,5,8,59,week4_score_sum,-1.394305348,3,91,34.55713101,0.875753619,154.1773232,31.88683778
14,1,4,10,3,159,week4_score_sum,-0.025351006,3,92,35.35282078,0.417419062,165.6476997,35.30427
15,1,4,10,1,17,week4_score_sum,1.115444278,3,93,33.47823959,0.274966621,156.6842655,35.61447418
18,1,4,6,7,102,week4_score_sum,0.430967108,3,94,30.85505768,0.262476158,143.8571691,31.68042105
19,1,4,8,5,29,week4_score_sum,-0.025351006,3,95,33.60860624,0.378477217,156.1707211,33.56005546
20,1,4,10,2,132,week4_score_sum,1.571762392,3,96,33.14671426,0.231011713,156.4142244,36.15686299
21,1,4,4,9,165,week4_score_sum,-1.166146291,3,97,3.04222205,0.010506947,11.69092616,0.80888589
11,1,4,7,6,134,week5_score_sum,-0.736459694,4,98,31.88455051,0.386361442,145.1121658,30.47412535
12,1,4,9,4,108,week5_score_sum,0.368229847,4,99,29.52929927,0.25450906,138.4851942,30.23451184
13,1,4,5,8,59,week5_score_sum,-1.657034312,4,100,3.475885384,0.018377727,12.90445996,0.302428781
14,1,4,10,3,159,week5_score_sum,1.104689541,4,101,30.42164816,0.191160056,149.6288038,32.53728589
15,1,4,10,1,17,week5_score_sum,1.472919389,4,102,30.58790228,0.193451861,144.0913061,33.40875259
18,1,4,6,7,102,week5_score_sum,-0.184114924,4,103,30.12774409,0.261778823,138.19684,29.7751378
19,1,4,8,5,29,week5_score_sum,-0.920574618,4,104,32.41334618,0.573885935,143.6321849,30.65031474
20,1,4,10,2,132,week5_score_sum,0.552344771,4,105,31.40523397,0.310171048,149.0660547,32.46305284
11,1,4,7,6,134,week6_score_sum,-1.610218318,5,106,33.37165281,1.57835306,143.1930514,30.2878555
12,1,4,9,4,108,week6_score_sum,-0.087038828,5,107,30.75024349,0.618674699,142.6178451,30.58355174
14,1,4,10,3,159,week6_score_sum,1.131504764,5,108,29.54687799,0.298821502,137.1976188,31.71387069
15,1,4,10,1,17,week6_score_sum,1.131504764,5,109,30.91821789,0.266375546,146.6716434,33.08521059
18,1,4,6,7,102,week6_score_sum,-0.391674726,5,110,3.199954042,0.009739393,12.77208461,2.449841183
19,1,4,8,5,29,week6_score_sum,-1.000946522,5,111,32.56238593,0.915610287,143.7445248,30.64543085
20,1,4,10,2,132,week6_score_sum,0.826868866,5,112,30.70915957,0.296930801,141.0982741,32.29273116
11,1,4,7,6,134,week7_score_sum,-0.851658317,6,113,3.70271667,0.012338123,14.62602194,2.071669751
12,1,4,9,4,108,week7_score_sum,0.327560891,6,114,27.64009191,0.267908575,121.5024412,28.26741765
14,1,4,10,3,159,week7_score_sum,0.982682673,6,115,28.62441983,0.218510819,133.8285473,30.50639704
15,1,4,10,1,17,week7_score_sum,0.327560891,6,116,29.65004248,0.288644033,133.9419435,30.27736822
19,1,4,8,5,29,week7_score_sum,-1.768828812,6,117,32.69503444,1.334381537,139.1903931,29.30747546
20,1,4,10,2,132,week7_score_sum,0.982682673,6,118,28.61517634,0.233646222,136.1186997,30.49715356
12,1,4,9,4,108,week8_score_sum,-0.451825996,7,119,27.86752941,0.266531277,126.0651876,27.00221831
14,1,4,10,3,159,week8_score_sum,0.395347746,7,120,27.69669334,0.236909267,129.8884819,28.45384056
15,1,4,10,1,17,week8_score_sum,1.101325865,7,121,27.42368499,0.162059905,125.9458259,29.53288081
19,1,4,8,5,29,week8_score_sum,-1.722586609,7,122,4.600182667,0.013503783,18.44264284,1.301184084
20,1,4,10,2,132,week8_score_sum,0.677738994,7,123,28.01776144,0.187551166,132.8659556,29.3157281
12,1,4,9,4,108,week9_score_sum,-1.507556723,8,124,5.329457608,0.017322796,22.25346595,2.442271868
14,1,4,10,3,159,week9_score_sum,0.904534034,8,125,27.43126836,0.221792436,130.7009531,29.16357981
15,1,4,10,1,17,week9_score_sum,-0.301511345,8,126,29.30489352,0.299601301,132.4929557,28.72745637
20,1,4,10,2,132,week9_score_sum,0.904534034,8,127,27.71032534,0.227516057,130.1052891,29.44263678
14,1,4,10,3,159,week10_score_sum,-1.069010605,9,128,23.62406263,0.086586071,120.0993906,21.57675514
15,1,4,10,1,17,week10_score_sum,1.33632339,9,129,23.52775106,0.086396024,121.0091891,26.08700059
20,1,4,10,2,132,week10_score_sum,-0.267312785,9,130,23.39373087,0.07820205,114.5170378,22.88178883
22,2,5,8,5,39,week1_score_sum,-0.148152213,0,131,44.24322899,0.316168555,227.0964152,43.95949641
23,2,5,7,6,121,week1_score_sum,0.918543719,0,132,39.8812457,0.247213937,194.1829469,41.64038769
24,2,5,6,7,246,week1_score_sum,1.62967434,0,133,39.33185851,0.227035362,194.4821109,42.45291687
25,2,5,9,4,126,week1_score_sum,-0.148152213,0,134,44.11885361,0.346118609,217.510361,43.83512103
26,2,5,4,9,92,week1_score_sum,-1.214848144,0,135,43.35992386,0.565616999,212.2229365,41.03331672
27,2,5,1,12,140,week1_score_sum,-1.925978766,0,136,3.109290537,0.008265233,11.5888955,-0.579232983
28,2,5,2,11,4,week1_score_sum,-0.148152213,0,137,40.00215409,0.281115052,196.713492,39.71842151
29,2,5,10,1,104,week1_score_sum,1.27410903,0,138,40.73174632,0.224793591,203.1196802,43.1718465
30,2,5,10,2,187,week1_score_sum,0.918543719,0,139,41.18990423,0.242559185,218.6823222,42.94904621
31,2,5,3,10,288,week1_score_sum,-0.859282834,0,140,41.61491732,0.346074736,208.5641428,39.96926836
32,2,5,10,3,174,week1_score_sum,-0.148152213,0,141,39.90573493,0.329879782,196.8172948,39.62200235
33,2,5,5,8,179,week1_score_sum,-0.148152213,0,142,41.9725797,0.325532945,205.5773588,41.68884712
22,2,5,8,5,39,week2_score_sum,-0.197202659,1,143,42.62780467,0.837371554,198.864946,42.2501335
23,2,5,7,6,121,week2_score_sum,-0.197202659,1,144,39.41597859,0.76667771,181.6704227,39.03830742
24,2,5,6,7,246,week2_score_sum,1.352246808,1,145,37.41305816,0.36429724,181.3236314,40.0028033
25,2,5,9,4,126,week2_score_sum,-0.197202659,1,146,42.99630192,0.702838925,209.8415264,42.61863076
26,2,5,4,9,92,week2_score_sum,-0.197202659,1,147,40.8001398,0.881925132,186.8522118,40.42246863
28,2,5,2,11,4,week2_score_sum,-0.197202659,1,148,2.569946706,0.00612315,10.29638845,2.19227554
29,2,5,10,1,104,week2_score_sum,1.662136701,1,149,38.80141252,0.25128544,186.9198739,41.98464092
30,2,5,10,2,187,week2_score_sum,0.422577127,1,150,39.65532378,0.511157361,195.6682761,40.46461914
31,2,5,3,10,288,week2_score_sum,-2.05654202,1,151,44.56118161,2.366156237,202.1546135,40.62261087
32,2,5,10,3,174,week2_score_sum,0.732467021,1,152,37.59870949,0.416690327,176.8244885,39.00148811
33,2,5,5,8,179,week2_score_sum,-1.12687234,1,153,43.90999037,1.531924724,196.3926924,41.75186942
22,2,5,8,5,39,week3_score_sum,-0.289121655,2,154,55.34594924,9.677830686,216.8598629,54.79224012
23,2,5,7,6,121,week3_score_sum,0.995863478,2,155,6.665485046,0.030838989,24.27067412,8.572705377
24,2,5,6,7,246,week3_score_sum,0.995863478,2,156,50.4049928,6.008877287,204.7214395,52.31221313
25,2,5,9,4,126,week3_score_sum,0.674617195,2,157,53.88838255,7.36691877,218.6657068,55.18037051
26,2,5,4,9,92,week3_score_sum,-0.931614221,2,158,55.09963592,10.3685955,211.7665857,53.31546206
29,2,5,10,1,104,week3_score_sum,0.032124628,2,159,53.15009747,8.697953524,207.2969044,53.2116207
30,2,5,10,2,187,week3_score_sum,0.995863478,2,160,6.676785628,0.032443999,23.97009056,8.58400596
31,2,5,3,10,288,week3_score_sum,-1.89535307,2,161,8.445691173,0.048969638,28.55324712,4.815820222
32,2,5,10,3,174,week3_score_sum,0.674617195,2,162,6.905427781,0.046263221,25.09699717,8.197415748
33,2,5,5,8,179,week3_score_sum,-1.252860504,2,163,56.40737741,11.24240033,219.8747372,54.00797119
22,2,5,8,5,39,week4_score_sum,0.452267017,3,164,35.89845119,0.330470801,167.8970276,36.76460692
24,2,5,6,7,246,week4_score_sum,1.809068067,3,165,32.89433077,0.217636532,154.0827494,36.35895366
25,2,5,9,4,126,week4_score_sum,0.452267017,3,166,35.84183248,0.278883272,164.9043673,36.7079882
26,2,5,4,9,92,week4_score_sum,-1.356801051,3,167,4.379280167,0.017011249,16.65087937,1.780813001
29,2,5,10,1,104,week4_score_sum,0.452267017,3,168,34.42593064,0.339915977,159.1401945,35.29208637
33,2,5,5,8,179,week4_score_sum,-1.809068067,3,169,37.84772073,1.260461149,161.2574292,34.38309784
22,2,5,8,5,39,week5_score_sum,0.401290166,4,170,32.04743327,0.257687128,151.7339727,32.81596106
23,2,5,7,6,121,week5_score_sum,0.401290166,4,171,30.17410015,0.24277536,139.7042173,30.94262795
24,2,5,6,7,246,week5_score_sum,1.114694905,4,172,30.26247833,0.169896014,145.3260745,32.39727776
25,2,5,9,4,126,week5_score_sum,0.044587796,4,173,33.22751758,0.262263907,155.8275276,33.31290956
29,2,5,10,1,104,week5_score_sum,-0.668816943,4,174,33.23222818,0.448683218,157.4110187,31.95134853
30,2,5,10,2,187,week5_score_sum,1.471397275,4,175,30.25864778,0.166091783,146.3074202,33.07658303
32,2,5,10,3,174,week5_score_sum,-1.382221682,4,176,33.28063219,0.701265873,148.6670867,30.6334809
33,2,5,5,8,179,week5_score_sum,-1.382221682,4,177,3.336348127,0.013987136,12.60602007,0.689196833
22,2,5,8,5,39,week6_score_sum,-0.27441065,5,178,44.54920835,6.29478114,171.8848657,44.02367289
23,2,5,7,6,121,week6_score_sum,-1.42693538,5,179,45.13861689,8.595125664,169.2693776,42.40583249
24,2,5,6,7,246,week6_score_sum,-0.27441065,5,180,7.091264465,0.036707772,26.12365359,6.565729005
25,2,5,9,4,126,week6_score_sum,0.49393917,5,181,43.83572106,4.498465274,174.0456267,44.78168489
29,2,5,10,1,104,week6_score_sum,0.87811408,5,182,6.449666651,0.030890899,25.04055136,8.131380123
30,2,5,10,2,187,week6_score_sum,1.6464639,5,183,40.4141622,2.233197575,168.247654,43.56737496
32,2,5,10,3,174,week6_score_sum,-1.04276047,5,184,7.489060817,0.043084128,27.12816501,5.492026069
22,2,5,8,5,39,week7_score_sum,-0.774596669,6,185,32.37925308,0.466164275,139.2857388,30.89579019
23,2,5,7,6,121,week7_score_sum,-1.549193338,6,186,5.55707928,0.020970323,21.38629327,2.590153495
25,2,5,9,4,126,week7_score_sum,0.774596669,6,187,31.02558772,0.269895471,144.8718364,32.50905061
