Winner,Loser,Accuracy
0,7,0.9559375
1,7,0.97325
2,7,0.9615
3,7,0.96825
4,7,0.988875
5,7,0.98075
6,7,0.9609375
8,7,0.962875
9,7,0.9609375
0,10,0.9909375
1,10,0.9931875
2,10,0.9905
3,10,0.9924375
4,10,0.995875
5,10,0.9940625
6,10,0.9910625
8,10,0.991
9,10,0.9906875
11,17,0.947625
12,17,0.975625
13,17,0.987
14,17,0.9928125
15,17,0.950375
16,17,0.9795625
18,17,0.9496875
19,17,0.9425
21,20,0.9899375
22,20,0.990375
23,20,0.960125
24,20,0.9641875
25,20,0.9360625
26,20,0.95625
27,20,0.9825
28,20,0.9498125
30,29,0.95675
31,29,0.9795625
32,29,0.9885
33,29,0.958
34,29,0.98175
35,29,0.9254375
36,29,0.9424375
37,41,0.9589375
38,41,0.96025
39,41,0.96525
40,41,0.959875
43,41,0.96
37,42,0.986
38,42,0.9859375
39,42,0.988625
40,42,0.9866875
43,42,0.9840625
45,44,0.9560625
46,44,0.97725
47,44,0.95925
48,44,0.9285625
49,52,0.9763125
50,52,0.9761875
51,52,0.976875
68,74,0.96125
69,74,0.97525
70,74,0.9406875
71,74,0.994875
72,74,0.99325
73,74,0.9463125
75,74,0.9875
76,74,0.96075
77,74,0.986625
78,74,0.9635
79,84,0.9466875
80,84,0.987
81,84,0.94
82,84,0.965125
83,84,0.9820625
85,84,0.9861875
86,84,0.9584375
87,84,0.985125
88,84,0.98525
89,97,0.954875
90,97,0.9869375
91,97,0.94625
92,97,0.98275
93,97,0.9925625
94,97,0.984375
95,97,0.9801875
96,97,0.9936875
98,100,0.971
99,100,0.9851875
101,100,0.9911875
102,100,0.992625
103,100,0.98175
104,100,0.9728125
105,100,0.9890625
106,110,0.9261875
107,110,0.9623125
108,110,0.9838125
109,110,0.9835625
111,110,0.931
112,110,0.9796875
114,113,0.9741875
115,113,0.983125
116,113,0.9720625
117,113,0.925125
118,113,0.9800625
119,122,0.967375
120,122,0.978625
121,122,0.98475
123,122,0.98025
125,124,0.97675
126,124,0.9614375
127,124,0.9790625
131,136,0.9894375
132,136,0.99575
133,136,0.997375
134,136,0.99025
135,136,0.9766875
137,136,0.990125
138,136,0.996125
