Season,Week,Contestant_ID,Celebrity_Name,Actual_Eliminated,Predicted_Elim_Probability
1,2,0,56,0,0.003916667
1,2,1,66,0,0.046
1,2,2,32,0,0.492583333
1,2,3,89,0,0.0985
1,2,4,55,0,0.012833333
1,2,5,108,1,0.346166667
1,3,0,56,0,0.04225
1,3,1,66,0,0.041416667
1,3,2,32,1,0.788083333
1,3,3,89,0,0.09475
1,3,4,55,0,0.0335
1,4,0,56,0,0.217416667
1,4,1,66,0,0.0015
1,4,3,89,1,0.589
1,4,4,55,0,0.192083333
2,1,6,103,0,0.00025
2,1,7,105,0,0.00375
2,1,8,34,0,0.022416667
2,1,9,73,0,0.010833333
2,1,10,100,0,0.000166667
2,1,11,49,0,0.000166667
2,1,12,35,0,0.001916667
2,1,13,76,0,0.037416667
2,1,14,27,0,0
2,1,15,67,1,0.923083333
2,2,6,103,1,0.766916667
2,2,7,105,0,0.02125
2,2,8,34,0,0.016666667
2,2,9,73,0,0.075833333
2,2,10,100,0,0.000166667
2,2,11,49,0,0.000666667
2,2,12,35,0,0.030083333
2,2,13,76,0,0.088166667
2,2,14,27,0,0.00025
2,3,7,105,0,0.005583333
2,3,8,34,0,0.042083333
2,3,9,73,0,0.018916667
2,3,10,100,0,0.000666667
2,3,11,49,0,0.023416667
2,3,12,35,1,0.8355
2,3,13,76,0,0.073166667
2,3,14,27,0,0.000666667
2,4,7,105,0,0.049083333
2,4,8,34,0,0.242083333
2,4,9,73,0,0.015
2,4,10,100,0,0.010333333
2,4,11,49,0,0.01425
2,4,13,76,1,0.667333333
2,4,14,27,0,0.001916667
2,5,7,105,1,0.89875
2,5,8,34,0,0.04825
2,5,9,73,0,0.022416667
2,5,10,100,0,0.001333333
2,5,11,49,0,0.025166667
2,5,14,27,0,0.004083333
2,6,8,34,1,0.808583333
2,6,9,73,0,0.110416667
2,6,10,100,0,0.023583333
2,6,11,49,0,0.038083333
2,6,14,27,0,0.019333333
2,7,9,73,1,0.81925
2,7,10,100,0,0.046666667
2,7,11,49,0,0.0855
2,7,14,27,0,0.048583333
28,2,16,64,0,0.000166667
28,2,17,42,0,0.001
28,2,18,65,0,0.000666667
28,2,19,90,1,0.87175
28,2,20,69,0,0.078916667
28,2,21,93,0,0.103416667
28,2,22,96,0,0.003666667
28,2,23,75,1,0.937583333
28,2,24,70,0,0.000833333
28,2,25,3,0,0.000666667
28,2,26,63,0,0.001333333
28,2,27,36,0,0
28,4,16,64,0,0.009
28,4,17,42,0,0.003166667
28,4,18,65,0,0
28,4,20,69,1,0.98025
28,4,21,93,0,0.000333333
28,4,22,96,0,0.0055
28,4,24,70,0,0
28,4,25,3,0,0
28,4,26,63,0,0.00175
28,4,27,36,0,0
28,6,16,64,0,0.002833333
28,6,17,42,0,0.006
28,6,18,65,0,0.106
28,6,21,93,1,0.064083333
28,6,22,96,0,0.1855
28,6,24,70,0,0.016083333
28,6,25,3,0,0.184666667
28,6,26,63,0,0.159333333
28,6,27,36,0,0.2755
28,7,16,64,0,0.529666667
28,7,17,42,0,0
28,7,18,65,0,0.000916667
28,7,22,96,0,0.26225
28,7,24,70,0,0
28,7,25,3,0,0
28,7,26,63,1,0.207166667
28,7,27,36,0,0
28,8,16,64,1,0.32225
28,8,17,42,0,0
28,8,18,65,0,0.002583333
28,8,22,96,0,0.389416667
28,8,24,70,0,0.285583333
28,8,25,3,0,0.000166667
28,8,27,36,0,0
28,9,17,42,0,0.007333333
28,9,18,65,0,0.000333333
28,9,22,96,1,0.933833333
28,9,24,70,0,0.03925
28,9,25,3,0,0
28,9,27,36,0,0.01925
28,10,17,42,1,0.993833333
28,10,18,65,0,0.00075
28,10,24,70,0,0.0015
28,10,25,3,0,0
28,10,27,36,0,0.003916667
28,11,18,65,0,0.0705
28,11,24,70,1,0.6195
28,11,25,3,0,0
28,11,27,36,0,0.31
