contestant_id,season,celebrity_name,weeks_participated,placement,week1_fan_votes,week2_fan_votes,week3_fan_votes,week4_fan_votes,week5_fan_votes,week6_fan_votes,week7_fan_votes,week8_fan_votes,week9_fan_votes,week10_fan_votes,week11_fan_votes
0,3,100,3,9,2.363560595,2.202382695,1.705963259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,284,4,8,2.368577859,2.203467744,2.041652394,1.558020298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,203,8,4,2.419059564,2.244643832,2.080998154,1.960427895,1.836615081,1.658969779,1.565939324,1.235326105,0.0,0.0,0.0
3,3,133,9,3,2.405477946,2.236718468,2.100617026,1.933095696,1.865374494,1.651207816,1.550478802,1.49835659,1.151842017,0.0,0.0
4,3,177,10,2,2.407000573,2.259522681,2.10060626,1.926836071,1.835641355,1.656645066,1.554533413,1.466728097,1.424747569,1.289562011,0.0
5,3,86,10,1,2.411189287,2.247095421,2.138279499,1.956964976,1.830925908,1.652931862,1.553548143,1.495583499,1.425543402,1.290279184,0.0
6,3,253,2,10,2.245635297,1.793098983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3,290,5,7,2.374180091,2.214690384,2.071474458,1.899087156,1.475338669,0.0,0.0,0.0,0.0,0.0,0.0
8,3,248,5,6,2.396716209,2.212687436,2.038529956,1.966061128,1.56194318,0.0,0.0,0.0,0.0,0.0,0.0
9,3,128,7,5,2.392446275,2.237122896,2.078905713,1.941765561,1.862149677,1.606278141,1.400107268,0.0,0.0,0.0,0.0
10,3,276,1,11,2.170668329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,4,134,7,6,2.320746677,2.16720746,2.016741476,1.914788492,1.738498616,1.664406099,1.23553754,0.0,0.0,0.0,0.0
12,4,108,9,4,2.353007779,2.197642635,2.03121359,1.882251417,1.738785573,1.626286291,1.501608763,1.414542069,1.109113276,0.0,0.0
13,4,59,5,8,2.362698886,2.221964622,2.082738653,1.961051356,1.598376462,0.0,0.0,0.0,0.0,0.0,0.0
14,4,159,10,3,2.405224672,2.239334976,2.087514939,1.934083062,1.788302668,1.660859866,1.542094847,1.438890829,1.384004465,1.265364271,0.0
15,4,17,10,1,2.41674234,2.248697621,2.094472002,1.940916598,1.798958608,1.670731617,1.55904747,1.445217793,1.403286582,1.276692217,0.0
16,4,252,3,10,2.057932433,1.992250074,1.52596585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,4,227,2,11,2.15919357,1.693361988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,4,102,6,7,2.168866878,2.020741794,1.864884971,1.718578519,1.589877573,1.212647058,0.0,0.0,0.0,0.0,0.0
19,4,29,8,5,2.324107273,2.173022797,2.011132475,1.866758865,1.750306966,1.629085693,1.609280209,1.301370445,0.0,0.0,0.0
20,4,132,10,2,2.356091801,2.190644908,2.02852175,1.874889708,1.738657274,1.611968788,1.492398818,1.385921322,1.348544114,1.21221047,0.0
21,4,165,4,9,2.359457932,2.205578694,2.036729395,1.626354171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,5,39,8,5,2.373952474,2.206304343,2.055222723,1.90406984,1.765833566,1.656366387,1.545277267,1.146810384,0.0,0.0,0.0
23,5,121,7,6,2.328085642,2.173184263,1.999505689,1.880531353,1.725461721,1.676268739,1.235266494,0.0,0.0,0.0,0.0
24,5,246,6,7,2.396086824,2.226401514,2.067203972,1.920052696,1.777977757,1.305897744,0.0,0.0,0.0,0.0,0.0
25,5,126,9,4,2.38075453,2.215244733,2.045860965,1.915800152,1.778521425,1.645973027,1.54441126,1.469888075,1.080851537,0.0,0.0
26,5,92,4,9,2.405953094,2.228421027,2.081733222,1.617965792,0.0,0.0,0.0,0.0,0.0,0.0,0.0
