season,contestant,eliminated_week,judge_total,week,eliminated_actual,vote_mean,judge_share,fan_share,combined_share,pos_share,judge_rank,fan_rank,rank_sum,pos_rank
1,John O'Hurley,,20.0,1,0,0.1666715208398981,0.1834862385321101,0.1666715208398981,0.1750788796860041,2.0,2.0,3.0,5.0,2.0
1,Kelly Monaco,,13.0,1,0,0.1594182505891375,0.11926605504587157,0.1594182505891375,0.13934215281750453,6.0,6.0,5.0,11.0,6.0
1,Evander Holyfield,3.0,18.0,1,0,0.1577917743171489,0.1651376146788991,0.1577917743171489,0.16146469449802398,5.0,4.5,6.0,10.5,5.0
1,Rachel Hunter,4.0,20.0,1,0,0.1775588846269581,0.1834862385321101,0.1775588846269581,0.1805225615795341,1.0,2.0,1.0,3.0,1.0
1,Joey McIntyre,,20.0,1,0,0.1619487364970317,0.1834862385321101,0.1619487364970317,0.1727174875145709,3.0,2.0,4.0,6.0,3.0
1,Trista Sutter,2.0,18.0,1,0,0.1766108331298255,0.1651376146788991,0.1766108331298255,0.1708742239043623,4.0,4.5,2.0,6.5,4.0
2,Tatum O'Neal,2.0,23.0,1,0,0.0958766713652077,0.11794871794871795,0.0958766713652077,0.10691269465696282,2.0,2.5,7.0,9.5,3.0
2,Tia Carrere,5.0,20.0,1,0,0.1040040769911431,0.10256410256410256,0.1040040769911431,0.10328408977762282,6.0,6.0,3.0,9.0,2.0
2,George Hamilton,6.0,18.0,1,0,0.0957158309965925,0.09230769230769231,0.0957158309965925,0.09401176165214241,8.0,8.0,8.0,16.0,10.0
2,Lisa Rinna,7.0,19.0,1,0,0.0966321600800364,0.09743589743589744,0.0966321600800364,0.09703402875796692,7.0,7.0,6.0,13.0,8.0
2,Stacy Keibler,,22.0,1,0,0.0948767822376933,0.11282051282051282,0.0948767822376933,0.10384864752910306,5.0,4.0,9.0,13.0,8.0
2,Jerry Rice,,21.0,1,0,0.1021919368882492,0.1076923076923077,0.1021919368882492,0.10494212229027844,4.0,5.0,5.0,10.0,4.0
2,Giselle Fernandez,3.0,23.0,1,0,0.0928628791068965,0.11794871794871795,0.0928628791068965,0.10540579852780722,3.0,2.5,10.0,12.5,6.0
2,Master P,4.0,12.0,1,0,0.1075932819403461,0.06153846153846154,0.1075932819403461,0.08456587173940383,10.0,10.0,1.0,11.0,5.0
2,Drew Lachey,,24.0,1,0,0.1064002130340208,0.12307692307692308,0.1064002130340208,0.11473856805547195,1.0,1.0,2.0,3.0,1.0
2,Kenny Mayne,1.0,13.0,1,1,0.1038461673598138,0.06666666666666667,0.1038461673598138,0.08525641701324024,9.0,9.0,4.0,13.0,8.0
3,Harry Hamlin,3.0,17.0,1,0,0.0844216317308086,0.08018867924528301,0.0844216317308086,0.08230515548804582,10.0,8.0,11.0,19.0,10.0
3,Vivica A. Fox,4.0,22.0,1,0,0.0934430415400278,0.10377358490566038,0.0934430415400278,0.0986083132228441,4.0,3.5,3.0,6.5,3.0
3,Monique Coleman,8.0,19.0,1,0,0.0931953417723901,0.08962264150943396,0.0931953417723901,0.09140899164091203,6.0,6.0,4.0,10.0,4.5
3,Joey Lawrence,,21.0,1,0,0.0899494748381448,0.09905660377358491,0.0899494748381448,0.09450303930586486,5.0,5.0,7.0,12.0,6.5
3,Mario Lopez,,26.0,1,0,0.091305210507154,0.12264150943396226,0.091305210507154,0.10697335997055812,1.0,1.0,5.0,6.0,2.0
3,Emmitt Smith,,24.0,1,0,0.0879512133258879,0.11320754716981132,0.0879512133258879,0.10057938024784961,2.0,2.0,8.0,10.0,4.5
3,Shanna Moakler,2.0,18.0,1,0,0.0876291490313168,0.08490566037735849,0.0876291490313168,0.08626740470433764,7.0,7.0,9.0,16.0,9.0
3,Willa Ford,5.0,22.0,1,0,0.0971961981293387,0.10377358490566038,0.0971961981293387,0.10048489151749954,3.0,3.5,1.0,4.5,1.0
3,Sara Evans,,15.0,1,0,0.096841553250899,0.07075471698113207,0.096841553250899,0.08379813511601554,8.0,10.0,2.0,12.0,6.5
3,Jerry Springer,7.0,16.0,1,0,0.0904897764454815,0.07547169811320754,0.0904897764454815,0.08298073727934452,9.0,9.0,6.0,15.0,8.0
3,Tucker Carlson,1.0,12.0,1,1,0.0875774094285503,0.05660377358490566,0.0875774094285503,0.07209059150672797,11.0,11.0,10.0,21.0,11.0
4,John Ratzenberger,7.0,17.0,1,0,0.0886144627266647,0.0825242718446602,0.0886144627266647,0.08556936728566245,8.0,8.0,9.0,17.0,11.0
4,Ian Ziering,9.0,21.0,1,0,0.0890285148932852,0.10194174757281553,0.0890285148932852,0.09548513123305036,4.0,3.5,7.0,10.5,4.0
4,Clyde Drexler,5.0,16.0,1,0,0.0910055723424789,0.07766990291262135,0.0910055723424789,0.08433773762755012,9.0,9.0,5.0,14.0,5.5
4,Laila Ali,,23.0,1,0,0.0910226637125316,0.11165048543689321,0.0910226637125316,0.1013365745747124,2.0,2.0,4.0,6.0,3.0
4,Apolo Anton Ohno,,21.0,1,0,0.0978066156463125,0.10194174757281553,0.0978066156463125,0.09987418160956402,3.0,3.5,2.0,5.5,2.0
4,Shandi Finnessey,3.0,19.0,1,0,0.0880988611905683,0.09223300970873786,0.0880988611905683,0.09016593544965308,5.0,5.5,10.0,15.5,8.0
4,Paulina Porizkova,2.0,19.0,1,0,0.0833612415012729,0.09223300970873786,0.0833612415012729,0.08779712560500538,7.0,5.5,11.0,16.5,10.0
4,Heather Mills,6.0,18.0,1,0,0.0889742887542703,0.08737864077669903,0.0889742887542703,0.08817646476548466,6.0,7.0,8.0,15.0,7.0
4,Billy Ray Cyrus,8.0,13.0,1,0,0.0939846418033825,0.06310679611650485,0.0939846418033825,0.07854571895994367,11.0,11.0,3.0,14.0,5.5
4,Joey Fatone,,24.0,1,0,0.0978796225343728,0.11650485436893204,0.0978796225343728,0.10719223845165242,1.0,1.0,1.0,2.0,1.0
4,Leeza Gibbons,4.0,15.0,1,0,0.0902235148948598,0.07281553398058252,0.0902235148948598,0.08151952443772116,10.0,10.0,6.0,16.0,9.0
5,Cameron Mathison,8.0,21.0,1,0,0.0858039346363881,0.08171206225680934,0.0858039346363881,0.08375799844659872,7.0,7.0,4.0,11.0,5.0
5,Jane Seymour,7.0,24.0,1,0,0.078452284108346,0.0933852140077821,0.078452284108346,0.08591874905806404,5.0,3.5,9.0,12.5,8.0
5,Sabrina Bryan,6.0,26.0,1,0,0.0814405607307584,0.10116731517509728,0.0814405607307584,0.09130393795292784,2.0,1.0,7.0,8.0,2.0
5,Jennie Garth,9.0,21.0,1,0,0.0756851321440712,0.08171206225680934,0.0756851321440712,0.07869859720044027,10.0,7.0,11.0,18.0,10.0
