celebrity_name,season,week,judge_score,placement,weeks_participated,judge_rank,n_contestants,is_bottom_two,is_last_week,is_abnormal
Kelly Monaco,1,1,13.0,1,6,1.0,6,1,0,True
Evander Holyfield,1,1,18.0,5,3,2.0,6,1,0,True
Trista Sutter,1,1,18.0,6,2,2.0,6,1,0,True
Evander Holyfield,1,2,14.0,5,3,1.0,6,1,0,True
Kelly Monaco,1,2,17.0,1,6,2.0,6,1,0,True
Kelly Monaco,1,3,21.0,1,6,2.0,5,1,0,True
Joey McIntyre,1,4,20.0,3,5,1.0,4,1,0,True
John O'Hurley,1,4,21.0,2,6,2.0,4,1,0,True
Kelly Monaco,1,5,23.5,1,6,2.0,3,1,0,True
Master P,2,1,12.0,7,4,1.0,10,1,0,True
Master P,2,2,16.0,7,4,1.0,9,1,0,True
Master P,2,3,14.0,7,4,1.0,8,1,0,True
Jerry Rice,2,3,19.0,2,8,2.0,8,1,0,True
George Hamilton,2,4,21.0,5,6,2.0,7,1,0,True
Jerry Rice,2,5,23.0,2,8,2.0,6,1,0,True
Jerry Rice,2,6,23.0,2,8,1.0,5,1,0,True
Jerry Rice,2,7,20.5,2,8,1.0,4,1,0,True
Sara Evans,3,1,15.0,6,5,2.0,11,1,0,True
Jerry Springer,3,2,19.0,5,7,1.0,10,1,0,True
Harry Hamlin,3,2,21.0,9,3,2.0,10,1,0,True
Mario Lopez,3,2,21.0,2,10,2.0,10,1,0,True
Sara Evans,3,2,21.0,6,5,2.0,10,1,0,True
Emmitt Smith,3,3,19.0,1,10,1.0,9,1,0,True
Jerry Springer,3,3,21.0,5,7,2.0,9,1,0,True
Sara Evans,3,4,20.0,6,5,1.0,8,1,0,True
Jerry Springer,3,4,22.0,5,7,2.0,8,1,0,True
Jerry Springer,3,5,24.0,5,7,1.0,7,1,0,True
Jerry Springer,3,6,18.0,5,7,1.0,5,1,0,True
Monique Coleman,3,6,23.0,4,8,2.0,5,1,0,True
Monique Coleman,3,7,27.0,4,8,2.0,5,1,0,True
Joey Lawrence,3,8,27.0,3,9,2.0,4,1,0,True
Emmitt Smith,3,8,27.0,1,10,2.0,4,1,0,True
Mario Lopez,3,9,29.5,2,10,1.0,3,1,0,True
Emmitt Smith,3,9,29.5,1,10,1.0,3,1,0,True
Billy Ray Cyrus,4,1,13.0,5,8,1.0,11,1,0,True
Leeza Gibbons,4,1,15.0,9,4,2.0,11,1,0,True
Clyde Drexler,4,2,18.0,8,5,1.0,11,1,0,True
Shandi Finnessey,4,2,20.0,10,3,2.0,11,1,0,True
Clyde Drexler,4,3,16.0,8,5,1.0,10,1,0,True
John Ratzenberger,4,3,20.0,6,7,2.0,10,1,0,True
Clyde Drexler,4,4,15.0,8,5,1.0,9,1,0,True
John Ratzenberger,4,4,16.0,6,7,2.0,9,1,0,True
Billy Ray Cyrus,4,5,17.0,5,8,2.0,8,1,0,True
John Ratzenberger,4,6,19.0,6,7,1.0,7,1,0,True
Billy Ray Cyrus,4,6,21.0,5,8,2.0,7,1,0,True
Billy Ray Cyrus,4,7,19.0,5,8,1.0,6,1,0,True
Ian Ziering,4,8,23.5,4,9,2.0,5,1,0,True
Apolo Anton Ohno,4,9,29.5,1,10,2.0,4,1,0,True
Floyd Mayweather Jr. ,5,1,18.0,9,4,2.0,12,1,0,True
Wayne Newton,5,2,15.0,10,3,1.0,11,1,0,True
Mark Cuban,5,2,18.0,8,5,2.0,11,1,0,True
Mark Cuban,5,3,20.0,8,5,2.0,10,1,0,True
Mark Cuban,5,4,22.0,8,5,1.0,9,1,0,True
Marie Osmond,5,5,21.0,3,10,1.0,8,1,0,True
Jane Seymour,5,6,22.0,6,7,1.0,7,1,0,True
Marie Osmond,5,6,23.0,3,10,2.0,7,1,0,True
Cameron Mathison,5,7,25.5,5,8,2.0,6,1,0,True
Marie Osmond,5,8,24.5,3,10,1.0,5,1,0,True
Jennie Garth,5,8,25.0,4,9,2.0,5,1,0,True
Marie Osmond,5,9,28.0,3,10,1.0,4,1,0,True
Monica Seles,6,1,15.0,11,2,1.0,12,1,0,True
Adam Carolla,6,1,15.0,9,4,1.0,12,1,0,True
Steve Guttenberg,6,2,16.0,10,3,2.0,12,1,0,True
Marissa Jaret Winokur,6,3,19.0,4,9,1.0,10,1,0,True
Marlee Matlin,6,3,21.0,7,6,2.0,10,1,0,True
Adam Carolla,6,3,21.0,9,4,2.0,10,1,0,True
Mario,6,3,21.0,5,8,2.0,10,1,0,True
Priscilla Presley,6,4,22.0,8,5,2.0,9,1,0,True
Marlee Matlin,6,5,22.0,7,6,2.0,8,1,0,True
Shannon Elizabeth,6,6,24.0,6,7,2.0,7,1,0,True
Jason Taylor,6,6,24.0,2,10,2.0,7,1,0,True
Cristian de la Fuente,6,7,23.0,3,10,1.0,6,1,0,True
Mario,6,7,25.5,5,8,2.0,6,1,0,True
Marissa Jaret Winokur,6,8,25.0,4,9,1.0,5,1,0,True
Jason Taylor,6,8,26.0,2,10,2.0,5,1,0,True
Jason Taylor,6,9,27.5,2,10,2.0,4,1,0,True
Cloris Leachman,7,1,16.0,7,6,2.0,13,1,0,True
Cloris Leachman,7,2,15.0,7,6,1.0,11,1,0,True
Rocco DiSpirito,7,2,16.0,9,4,2.0,11,1,0,True
Cloris Leachman,7,3,16.0,7,6,1.0,9,1,0,True
Rocco DiSpirito,7,3,20.0,9,4,2.0,9,1,0,True
Maurice Greene,7,4,20.0,5,8,2.0,9,1,0,True
Cloris Leachman,7,5,21.0,7,6,1.0,8,1,0,True
Lance Bass,7,5,21.0,3,10,1.0,8,1,0,True
Maurice Greene,7,6,21.0,5,8,2.0,7,1,0,True
