celebrity_name,season,week,judge_score,placement,weeks_participated,judge_rank,n_contestants,is_bottom_two,is_last_week,is_abnormal
John O'Hurley,1,1,20.0,2,6,4.0,6,0,0,False
John O'Hurley,1,2,26.0,2,6,6.0,6,0,0,False
John O'Hurley,1,3,24.0,2,6,4.0,5,0,0,False
John O'Hurley,1,4,21.0,2,6,2.0,4,1,0,True
John O'Hurley,1,5,27.0,2,6,3.0,3,0,0,False
John O'Hurley,1,6,27.0,2,6,1.0,2,1,1,False
Kelly Monaco,1,1,13.0,1,6,1.0,6,1,0,True
Kelly Monaco,1,2,17.0,1,6,2.0,6,1,0,True
Kelly Monaco,1,3,21.0,1,6,2.0,5,1,0,True
Kelly Monaco,1,4,26.0,1,6,4.0,4,0,0,False
Kelly Monaco,1,5,23.5,1,6,2.0,3,1,0,True
Kelly Monaco,1,6,27.5,1,6,2.0,2,1,1,False
Evander Holyfield,1,1,18.0,5,3,2.0,6,1,0,True
Evander Holyfield,1,2,14.0,5,3,1.0,6,1,0,True
Evander Holyfield,1,3,13.0,5,3,1.0,5,1,1,False
Rachel Hunter,1,1,20.0,4,4,4.0,6,0,0,False
Rachel Hunter,1,2,24.0,4,4,5.0,6,0,0,False
Rachel Hunter,1,3,26.0,4,4,5.0,5,0,0,False
Rachel Hunter,1,4,25.0,4,4,3.0,4,0,1,False
Joey McIntyre,1,1,20.0,3,5,4.0,6,0,0,False
Joey McIntyre,1,2,21.0,3,5,4.0,6,0,0,False
Joey McIntyre,1,3,22.0,3,5,3.0,5,0,0,False
Joey McIntyre,1,4,20.0,3,5,1.0,4,1,0,True
Joey McIntyre,1,5,22.5,3,5,1.0,3,1,1,False
Trista Sutter,1,1,18.0,6,2,2.0,6,1,0,True
Trista Sutter,1,2,19.0,6,2,3.0,6,0,1,False
Tatum O'Neal,2,1,23.0,9,2,8.0,10,0,0,False
Tatum O'Neal,2,2,17.0,9,2,2.0,9,1,1,False
Tia Carrere,2,1,20.0,6,5,5.0,10,0,0,False
Tia Carrere,2,2,22.0,6,5,4.0,9,0,0,False
Tia Carrere,2,3,26.0,6,5,6.0,8,0,0,False
Tia Carrere,2,4,25.0,6,5,4.0,7,0,0,False
Tia Carrere,2,5,22.0,6,5,1.0,6,1,1,False
George Hamilton,2,1,18.0,5,6,3.0,10,0,0,False
George Hamilton,2,2,22.0,5,6,4.0,9,0,0,False
George Hamilton,2,3,22.0,5,6,3.0,8,0,0,False
George Hamilton,2,4,21.0,5,6,2.0,7,1,0,True
George Hamilton,2,5,24.0,5,6,3.0,6,0,0,False
