season,week,week_idx,celebrity_name,judge_rank,vote_rank,total_rank,score_sum,fan_votes,placement,weeks_participated,data_source,eliminated_week,eliminated_actual,method1_value,method1_pos,judge_share,fan_share,method2_value,method2_pos,n_week,dist_method1,dist_method2
1,2,1,108,4.0,4.0,8.0,-0.287455547,1.460628236,6,2,rank,2.0,1,8.0,4.0,-287455555.1297983,0.04373599100104855,-143727777.54303116,4.0,6,2.0,2.0
1,3,2,32,5.0,5.0,10.0,-1.84467721,2.162042866,5,3,rank,3.0,1,10.0,5.0,-6.646150076459877e+16,0.08995690080989692,-3.3230750382299384e+16,5.0,5,0.0,0.0
1,4,3,89,2.0,2.0,4.0,0.784464541,1.038107733,4,4,rank,4.0,1,4.0,2.0,inf,0.058018282189314326,inf,1.5,4,2.0,2.5
2,1,0,67,8.0,9.0,17.0,-1.653671017,1.940397154,10,1,rank,1.0,1,17.0,9.0,-inf,0.01636545094091399,-inf,8.5,10,1.0,1.5
2,2,1,103,7.0,8.0,15.0,-1.307574978,2.431105824,9,2,rank,2.0,1,15.0,8.0,5888794183679785.0,0.026732515603084334,2944397091839892.5,2.0,9,1.0,7.0
2,3,2,35,4.0,5.0,9.0,-0.177084401,1.539756657,8,3,rank,3.0,1,9.0,5.5,177084464.9892658,0.0221400470110447,88542232.50570293,4.0,8,2.5,4.0
2,4,3,76,6.0,7.0,13.0,-2.321782413,2.796571007,7,4,rank,4.0,1,13.0,7.0,-2321782994.2038956,0.05219099662575022,-1160891497.0758524,7.0,7,0.0,0.0
2,5,4,105,6.0,6.0,12.0,-1.185187437,2.499673832,6,5,rank,5.0,1,12.0,6.0,-1185187075.7727857,0.06290060693523349,-592593537.8549426,6.0,6,0.0,0.0
2,6,5,34,3.0,4.0,7.0,-1.147638084,2.121869329,5,6,rank,6.0,1,7.0,4.5,1147638243.8708663,0.06610492762891503,573819121.9684856,2.0,5,0.5,3.0
2,7,6,73,2.0,3.0,5.0,0.34299717,2.142171187,4,7,rank,7.0,1,5.0,3.0,342997141.62028927,0.08419299734073804,171498570.85224113,3.0,4,1.0,1.0
3,1,0,276,11.0,11.0,22.0,0.056603774,2.170668329,11,1,pct,1.0,1,22.0,11.0,0.056603774,0.08363356347864144,0.07011866873932072,11.0,11,0.0,0.0
