contestant_id,season_idx,season,weeks_participated,placement,celebrity_name,week_idx,judge_rank,score_sum,vote_rank,total_rank,obs_id,estimated_strength,fan_votes,week,data_source,eliminated_week,eliminated_actual,method1_value,method1_pos,judge_share,fan_share,method2_value,method2_pos,n_week,dist_method1,dist_method2
5,0,1,2,6,108,1,4,-0.287455547,4,8,11,0.555535615,1.460628236,2,rank,2.0,1,8.0,4.0,-287455555.1297983,0.04373599100104855,-143727777.54303116,4.0,6,2.0,2.0
2,0,1,3,5,32,2,5,-1.84467721,5,10,14,0.645772533,2.162042866,3,rank,3.0,1,10.0,5.0,-6.646150076459877e+16,0.08995690080989692,-3.3230750382299384e+16,5.0,5,0.0,0.0
3,0,1,4,4,89,3,2,0.784464541,2,4,19,0.640218963,1.038107733,4,rank,4.0,1,4.0,2.0,inf,0.058018282189314326,inf,1.5,4,2.0,2.5
15,1,2,1,10,67,0,8,-1.653671017,9,17,35,0.280695247,1.940397154,1,rank,1.0,1,17.0,9.0,-inf,0.01636545094091399,-inf,8.5,10,1.0,1.5
6,1,2,2,9,103,1,7,-1.307574978,8,15,36,0.447821808,2.431105824,2,rank,2.0,1,15.0,8.0,5888794183679785.0,0.026732515603084334,2944397091839892.5,2.0,9,1.0,7.0
12,1,2,3,8,35,2,4,-0.177084401,5,9,50,0.585631333,1.539756657,3,rank,3.0,1,9.0,5.5,177084464.9892658,0.0221400470110447,88542232.50570293,4.0,8,2.5,4.0
13,1,2,4,7,76,3,6,-2.321782413,7,13,58,0.655970294,2.796571007,4,rank,4.0,1,13.0,7.0,-2321782994.2038956,0.05219099662575022,-1160891497.0758524,7.0,7,0.0,0.0
7,1,2,5,6,105,4,6,-1.185187437,6,12,60,0.586329393,2.499673832,5,rank,5.0,1,12.0,6.0,-1185187075.7727857,0.06290060693523349,-592593537.8549426,6.0,6,0.0,0.0
8,1,2,6,5,34,5,3,-1.147638084,4,7,66,1.02765608,2.121869329,6,rank,6.0,1,7.0,4.5,1147638243.8708663,0.06610492762891503,573819121.9684856,2.0,5,0.5,3.0
9,1,2,7,4,73,6,2,0.34299717,3,5,71,1.321113957,2.142171187,7,rank,7.0,1,5.0,3.0,342997141.62028927,0.08419299734073804,171498570.85224113,3.0,4,1.0,1.0
23,2,28,2,12,75,1,7,-1.044185128,10,17,97,0.500676813,2.718041623,2,rank,2.0,1,17.0,10.5,1044185041.6037424,0.013440067107916195,522092520.8085912,3.0,12,1.5,9.0
