season,week,celebrity_name,weeks_participated,placement,judge_score,companion_name,companion_judge_score,score_difference,is_eliminated_early
1,2,Evander Holyfield,3.0,5.0,14.0,Kelly Monaco,17.0,-3.0,1
1,4,Joey McIntyre,5.0,3.0,20.0,John O'Hurley,21.0,-1.0,1
2,4,George Hamilton,6.0,5.0,21.0,Master P,8.0,13.0,0
2,3,Jerry Rice,8.0,2.0,19.0,Master P,14.0,5.0,0
2,5,Jerry Rice,8.0,2.0,23.0,Tia Carrere,22.0,1.0,0
2,6,Jerry Rice,8.0,2.0,23.0,George Hamilton,23.0,0.0,0
2,7,Jerry Rice,8.0,2.0,20.5,Lisa Rinna,26.5,-6.0,1
2,1,Master P,4.0,7.0,12.0,Kenny Mayne,13.0,-1.0,1
2,2,Master P,4.0,7.0,16.0,Tatum O'Neal,17.0,-1.0,1
2,3,Master P,4.0,7.0,14.0,Jerry Rice,19.0,-5.0,1
3,1,Sara Evans,5.0,6.0,15.0,Tucker Carlson,12.0,3.0,0
3,4,Sara Evans,5.0,6.0,20.0,Jerry Springer,22.0,-2.0,1
3,2,Jerry Springer,7.0,5.0,19.0,Harry Hamlin,21.0,-2.0,1
3,4,Jerry Springer,7.0,5.0,22.0,Sara Evans,20.0,2.0,0
3,5,Jerry Springer,7.0,5.0,24.0,Sara Evans,24.0,0.0,0
3,6,Jerry Springer,7.0,5.0,18.0,Monique Coleman,23.0,-5.0,1
4,3,John Ratzenberger,7.0,6.0,20.0,Clyde Drexler,16.0,4.0,0
4,6,John Ratzenberger,7.0,6.0,19.0,Billy Ray Cyrus,21.0,-2.0,1
4,2,Clyde Drexler,5.0,8.0,18.0,Shandi Finnessey,20.0,-2.0,1
4,3,Clyde Drexler,5.0,8.0,16.0,John Ratzenberger,20.0,-4.0,1
4,4,Clyde Drexler,5.0,8.0,15.0,John Ratzenberger,16.0,-1.0,1
4,2,Shandi Finnessey,3.0,10.0,20.0,Clyde Drexler,18.0,2.0,0
4,1,Billy Ray Cyrus,8.0,5.0,13.0,Leeza Gibbons,15.0,-2.0,1
4,5,Billy Ray Cyrus,8.0,5.0,17.0,Clyde Drexler,13.0,4.0,0
4,6,Billy Ray Cyrus,8.0,5.0,21.0,John Ratzenberger,19.0,2.0,0
4,7,Billy Ray Cyrus,8.0,5.0,19.0,John Ratzenberger,22.5,-3.5,1
4,1,Leeza Gibbons,4.0,9.0,15.0,Billy Ray Cyrus,13.0,2.0,0
5,7,Cameron Mathison,8.0,5.0,25.5,Jane Seymour,25.0,0.5,0
5,6,Jane Seymour,7.0,6.0,22.0,Marie Osmond,23.0,-1.0,1
5,1,Floyd Mayweather Jr. ,4.0,9.0,18.0,Josie Maran,16.0,2.0,0
5,2,Wayne Newton,3.0,10.0,15.0,Mark Cuban,18.0,-3.0,1
5,5,Marie Osmond,10.0,3.0,21.0,Mark Cuban,21.0,0.0,0
5,6,Marie Osmond,10.0,3.0,23.0,Jane Seymour,22.0,1.0,0
5,8,Marie Osmond,10.0,3.0,24.5,Jennie Garth,25.0,-0.5,1
5,9,Marie Osmond,10.0,3.0,28.0,Jennie Garth,29.0,-1.0,1
5,2,Mark Cuban,5.0,8.0,18.0,Wayne Newton,15.0,3.0,0
5,3,Mark Cuban,5.0,8.0,20.0,Wayne Newton,18.0,2.0,0
5,4,Mark Cuban,5.0,8.0,22.0,Floyd Mayweather Jr. ,23.0,-1.0,1
6,7,Cristian de la Fuente,10.0,3.0,23.0,Shannon Elizabeth,25.5,-2.5,1
6,9,Cristian de la Fuente,10.0,3.0,28.0,Marissa Jaret Winokur,26.0,2.0,0
6,2,Steve Guttenberg,3.0,10.0,16.0,Monica Seles,15.0,1.0,0
6,4,Priscilla Presley,5.0,8.0,22.0,Adam Carolla,19.0,3.0,0
6,5,Marlee Matlin,6.0,7.0,22.0,Priscilla Presley,21.0,1.0,0
6,3,Marissa Jaret Winokur,9.0,4.0,19.0,Steve Guttenberg,21.0,-2.0,1
6,8,Marissa Jaret Winokur,9.0,4.0,25.0,Jason Taylor,26.0,-1.0,1
6,1,Monica Seles,2.0,11.0,15.0,Adam Carolla,15.0,0.0,0
6,1,Adam Carolla,4.0,9.0,15.0,Monica Seles,15.0,0.0,0
7,1,Cloris Leachman,6.0,7.0,16.0,Jeffrey Ross,12.0,4.0,0
7,2,Cloris Leachman,6.0,7.0,15.0,Rocco DiSpirito,16.0,-1.0,1
7,3,Cloris Leachman,6.0,7.0,16.0,Rocco DiSpirito,20.0,-4.0,1
7,5,Cloris Leachman,6.0,7.0,21.0,Lance Bass,21.0,0.0,0
7,7,Cody Linley,9.0,4.0,22.0,Warren Sapp,21.0,1.0,0
7,8,Cody Linley,9.0,4.0,24.0,Maurice Greene,24.0,0.0,0
