celebrity_name,season,weeks_participated,bottom_weeks_count,method1_bottom_count,method2_bottom_count,both_methods_bottom_count
Kirstie Alley,12,10,14,14,8,8
Bristol Palin,11,10,7,4,7,4
Joe Amabile,27,8,6,1,6,1
Tommy Chong,19,10,6,4,5,3
Billy Ray Cyrus,4,8,6,4,4,2
Bill Engvall,17,11,6,3,6,3
Sean Spicer,28,9,5,5,2,2
Andy Richter,34,9,5,5,4,4
Jerry Springer,3,7,5,4,3,2
Michael Waltrip,19,8,4,1,4,1
Harry Jowsey,32,9,4,4,2,2
Alyson Hannigan,32,11,3,3,3,3
Clyde Drexler,4,5,3,1,3,1
Jerry Rice,2,8,3,3,2,2
Vinny Guadagnino,31,8,3,3,2,2
Michael Irvin,9,7,3,1,3,1
Bobby Bones,27,9,2,2,2,2
Nelly,29,11,1,1,1,1
