celebrity_name,season,week,judge_score,fan_votes,method1_rank,method2_pct,placement,weeks_participated,method1_pos,method2_pos,judge_score_pos,n_contestants,judge_is_bottom_two,method1_is_bottom_two,method2_is_bottom_two,both_methods_bottom_two,controversial_bottom
Evander Holyfield,1,2,14.0,4.481115659,10.0,0.2749881111825709,5.0,3.0,68.5,68.0,1.0,69,1,1,1,1,1
Evander Holyfield,1,3,13.0,1.92733219,10.0,0.219413549615564,5.0,3.0,68.0,68.0,1.0,68,1,1,1,1,1
Joey McIntyre,1,4,20.0,3.949013539,6.0,0.4819304274154953,3.0,5.0,66.0,65.0,1.0,67,1,1,0,0,1
Joey McIntyre,1,5,22.5,2.123190428,6.0,0.5014837517288682,3.0,5.0,66.0,66.0,1.0,66,1,1,1,1,1
George Hamilton,2,4,21.0,3.699783318,12.0,0.2206630479128696,5.0,6.0,13.0,13.0,2.0,14,1,1,1,1,1
George Hamilton,2,6,23.0,1.66665994,9.5,0.2406612110724537,5.0,6.0,12.0,12.0,1.5,12,1,1,1,1,1
Jerry Rice,2,3,19.0,7.325701646,10.0,0.2374941930247014,2.0,8.0,12.0,12.0,2.0,15,1,0,0,0,0
Jerry Rice,2,5,23.0,5.925375443,8.0,0.3415930094749244,2.0,8.0,11.0,10.0,2.0,13,1,0,0,0,0
Jerry Rice,2,6,23.0,5.416816948,7.5,0.3930581870843853,2.0,8.0,11.0,10.0,1.5,12,1,1,0,0,1
Jerry Rice,2,7,20.5,5.042005042,7.0,0.4671179169700911,2.0,8.0,10.5,10.0,1.0,11,1,1,1,1,1
Jerry Rice,2,8,26.666600000000003,4.043485655,6.0,0.6113725464459111,2.0,8.0,10.0,10.0,1.0,10,1,1,1,1,1
Master P,2,1,12.0,6.979313796,17.0,0.1371017009844548,7.0,4.0,16.0,16.0,1.0,17,1,1,1,1,1
Master P,2,2,16.0,6.353759061,14.0,0.168448163199379,7.0,4.0,15.0,15.0,1.0,16,1,1,1,1,1
Master P,2,3,14.0,5.19624269,14.0,0.1713321317323044,7.0,4.0,15.0,14.0,1.0,15,1,1,1,1,1
Master P,2,4,8.0,2.269959242,14.0,0.1044719241939502,7.0,4.0,14.0,14.0,1.0,14,1,1,1,1,1
Sara Evans,3,1,15.0,49.24624705,13.0,0.1838392057994664,6.0,5.0,518.5,520.0,2.0,522,1,0,0,0,0
Sara Evans,3,4,20.0,37.51933447,10.0,0.2523264326359568,6.0,5.0,517.5,518.0,1.0,519,1,0,1,0,1
Sara Evans,3,5,24.0,5.729153577,12.5,0.1602159715031288,6.0,5.0,518.0,518.0,1.5,518,1,1,1,1,1
Jerry Springer,3,2,19.0,44.77879174,11.0,0.2205412579517233,5.0,7.0,517.0,516.0,1.0,520,1,0,0,0,0
Jerry Springer,3,4,22.0,37.64015932,8.0,0.262914732112685,5.0,7.0,259.0,515.0,2.0,519,1,0,0,0,0
Jerry Springer,3,5,24.0,42.27865537,7.5,0.3364149762899969,5.0,7.0,515.5,2.0,1.5,518,1,0,0,0,0
Jerry Springer,3,6,18.0,37.43146379,6.0,0.4182782018310728,5.0,7.0,515.0,515.0,1.0,516,1,1,1,1,1
Jerry Springer,3,7,23.0,5.856957455,9.0,0.2309345769690131,5.0,7.0,515.0,515.0,1.0,515,1,1,1,1,1
John Ratzenberger,4,3,20.0,37.6314152,12.0,0.205637536164649,6.0,7.0,523.0,522.0,2.0,524,1,1,0,0,1
John Ratzenberger,4,6,19.0,33.37165281,8.0,0.2864319112456062,6.0,7.0,517.0,520.0,1.0,521,1,0,1,0,1
John Ratzenberger,4,7,22.5,3.70271667,11.0,0.1701641525195883,6.0,7.0,520.0,520.0,2.0,520,1,1,1,1,1
Clyde Drexler,4,2,18.0,41.64099308,12.0,0.1785394188679068,8.0,5.0,520.0,524.0,1.0,525,1,0,1,0,1
Clyde Drexler,4,3,16.0,41.01717024,11.0,0.1975361643478769,8.0,5.0,520.5,523.0,1.0,524,1,0,1,0,1
Clyde Drexler,4,4,15.0,34.55713101,12.0,0.2066360938004954,8.0,5.0,521.5,522.0,1.0,523,1,0,1,0,1
Clyde Drexler,4,5,13.0,3.475885384,16.0,0.0896742108229874,8.0,5.0,522.0,522.0,1.0,522,1,1,1,1,1
Shandi Finnessey,4,2,20.0,39.05392872,16.0,0.1801749115948834,10.0,3.0,524.0,523.0,2.0,525,1,1,0,0,1
Billy Ray Cyrus,4,1,13.0,38.85944049,15.0,0.1551169174330659,5.0,8.0,521.0,525.0,1.0,525,1,0,1,0,1
Billy Ray Cyrus,4,5,17.0,32.41334618,8.0,0.2440277680893678,5.0,8.0,518.5,521.0,2.0,522,1,0,1,0,1
Billy Ray Cyrus,4,6,21.0,32.56238593,8.0,0.2939609148950663,5.0,8.0,517.0,519.0,2.0,521,1,0,0,0,0
Billy Ray Cyrus,4,7,19.0,32.69503444,7.0,0.3396047893273376,5.0,8.0,518.0,519.0,1.0,520,1,0,1,0,1
Billy Ray Cyrus,4,8,19.0,4.600182667,10.0,0.1911863756894507,5.0,8.0,519.0,519.0,1.0,519,1,1,1,1,1
Leeza Gibbons,4,1,15.0,36.9732915,19.0,0.1603596929672004,9.0,4.0,525.0,524.0,2.0,525,1,1,1,1,1
Cameron Mathison,5,7,25.5,32.37925308,6.0,0.4944615217732547,5.0,8.0,3.0,1.0,2.0,4,1,1,0,0,1
Jane Seymour,5,6,22.0,45.13861689,8.0,0.3537406572745541,6.0,7.0,4.0,4.0,1.0,77,1,0,0,0,0
Jane Seymour,5,7,25.0,5.55707928,10.0,0.2170641798611402,6.0,7.0,4.0,4.0,1.0,4,1,1,1,1,1
Floyd Mayweather Jr. ,5,1,18.0,43.35992386,14.0,0.1644101031523832,9.0,4.0,78.0,81.0,2.0,82,1,0,1,0,1
Floyd Mayweather Jr. ,5,4,23.0,4.379280167,14.0,0.1224471400066828,9.0,4.0,76.0,76.0,2.0,76,1,1,1,1,1
Wayne Newton,5,2,15.0,44.56118161,12.0,0.1716183577819944,10.0,3.0,45.5,80.0,1.0,81,1,0,1,0,1
Wayne Newton,5,3,18.0,8.445691173,17.0,0.0992399679315263,10.0,3.0,80.0,80.0,1.0,80,1,1,1,1,1
Marie Osmond,5,5,21.0,33.28063219,8.5,0.2529048533956726,3.0,10.0,76.0,77.0,1.5,78,1,0,1,0,1
Marie Osmond,5,6,23.0,7.489060817,11.0,0.1661895803500381,3.0,10.0,77.0,77.0,2.0,77,1,1,1,1,1
Marie Osmond,5,8,24.5,30.95195195,7.0,0.436582362580147,3.0,10.0,11.0,11.0,1.0,12,1,1,1,1,1
Marie Osmond,5,9,28.0,31.9367965,5.0,0.5772396413550421,3.0,10.0,10.0,1.0,1.0,11,1,1,0,0,1
Marie Osmond,5,10,23.0,22.38877863,6.0,0.6129826215323366,3.0,10.0,10.0,10.0,1.0,10,1,1,1,1,1
Mark Cuban,5,2,18.0,43.90999037,12.0,0.1826364825773541,8.0,5.0,45.5,79.0,2.0,81,1,0,0,0,0
Mark Cuban,5,3,20.0,56.40737741,10.0,0.2434808847440953,8.0,5.0,67.0,76.0,2.0,80,1,0,0,0,0
Mark Cuban,5,4,22.0,37.84772073,10.0,0.3027888578248613,8.0,5.0,75.0,75.0,1.0,76,1,1,1,1,1
Mark Cuban,5,5,21.0,3.336348127,15.5,0.1203020479168157,8.0,5.0,78.0,78.0,1.5,78,1,1,1,1,1
Cristian de la Fuente,6,7,23.0,37.77402221,7.0,0.3819784343871297,3.0,10.0,4.0,1.0,1.0,6,1,0,0,0,0
Cristian de la Fuente,6,9,28.0,31.53260708,3.0,0.7151744258503235,3.0,10.0,1.5,1.0,2.0,3,1,0,0,0,0
Cristian de la Fuente,6,10,26.0,25.03960308,4.0,0.6521372195352422,3.0,10.0,2.0,2.0,1.0,3,1,1,1,1,1
Steve Guttenberg,6,2,16.0,43.50675425,14.0,0.1646065881926223,10.0,3.0,8.5,10.0,2.0,12,1,0,0,0,0
Priscilla Presley,6,4,22.0,33.56917699,13.0,0.221377143430158,8.0,5.0,8.0,8.0,2.0,9,1,1,1,1,1
Priscilla Presley,6,5,21.0,3.410232104,16.0,0.1220393212362874,8.0,5.0,8.0,8.0,1.0,8,1,1,1,1,1
Marlee Matlin,6,5,22.0,32.68044297,10.0,0.2549985377155476,7.0,6.0,6.0,6.0,2.0,8,1,0,0,0,0
Marlee Matlin,6,6,21.0,3.697458911,14.0,0.1366532465195991,7.0,6.0,7.0,7.0,1.0,7,1,1,1,1,1
Marissa Jaret Winokur,6,3,19.0,41.68429967,11.0,0.2063477311103169,4.0,9.0,4.5,6.0,1.0,10,1,0,0,0,0
Marissa Jaret Winokur,6,8,25.0,40.97935485,6.0,0.510641118476288,4.0,9.0,3.0,1.0,1.0,5,1,0,0,0,0
Marissa Jaret Winokur,6,9,26.0,7.22976993,7.0,0.3419762638630932,4.0,9.0,3.0,3.0,1.0,3,1,1,1,1,1
Monica Seles,6,1,15.0,37.43672994,22.5,0.1407136240114157,11.0,2.0,12.0,12.0,1.5,12,1,1,1,1,1
Monica Seles,6,2,15.0,3.751031275,23.0,0.0671900718549629,11.0,2.0,12.0,12.0,1.0,12,1,1,1,1,1
Adam Carolla,6,1,15.0,39.36193369,17.5,0.1447754814229006,9.0,4.0,9.0,11.0,1.5,12,1,0,1,0,1
Adam Carolla,6,4,19.0,3.430016006,18.0,0.097073523871843,9.0,4.0,9.0,9.0,1.0,9,1,1,1,1,1
Cloris Leachman,7,1,16.0,48.67428587,15.0,0.1575047281493375,7.0,6.0,7.5,11.0,2.0,13,1,0,0,0,0
Cloris Leachman,7,2,15.0,49.76061566,12.0,0.1853407564592777,7.0,6.0,6.5,9.0,1.0,11,1,0,0,0,0
Cloris Leachman,7,3,16.0,33.59944568,17.0,0.1879033925690738,7.0,6.0,9.0,9.0,1.0,9,1,1,1,1,1
