celebrity_name,season,week,judge_score,fan_votes,method1_rank,method2_pct,placement,weeks_participated,method1_pos,method2_pos,judge_score_pos,n_contestants,judge_is_bottom_two,method1_is_bottom_two,method2_is_bottom_two,both_methods_bottom_two,controversial_bottom,companion_name,companion_judge_score,score_difference,is_eliminated_early,appearance_id
Barry Williams,32,4,18.0,10.66553386,18.5,0.1195838474817179,7.0,8.0,10.0,10.0,1.5,11,1,1,1,1,1,Alyson Hannigan,18.0,0.0,0,32_Week4
Barry Williams,32,7,32.5,8.024044002,14.0,0.1868355738746501,7.0,8.0,8.0,7.0,2.0,8,1,1,1,1,1,Harry Jowsey,32.0,0.5,0,32_Week7
Bill Nye,17,1,14.0,47.22432712,23.0,0.132383689161484,11.0,3.0,12.0,12.0,1.0,12,1,1,1,1,1,Keyshawn Johnson,17.0,-3.0,1,17_Week1
Bill Nye,17,2,17.0,48.27606803,20.0,0.1526519999614087,11.0,3.0,11.0,11.0,1.0,12,1,1,1,1,1,Keyshawn Johnson,18.0,-1.0,1,17_Week2
Charlotte McKinney,20,1,22.0,52.09725702,21.5,0.1488338354584525,11.0,3.0,11.0,11.0,1.5,12,1,1,1,1,1,Redfoo,22.0,0.0,0,20_Week1
Charlotte McKinney,20,2,26.0,54.71751615,18.0,0.1624631977416055,11.0,3.0,12.0,11.0,2.0,12,1,1,1,1,1,Chris Soules,21.0,5.0,0,20_Week2
Cloris Leachman,7,1,16.0,48.67428587,15.0,0.1575047281493375,7.0,6.0,7.5,11.0,2.0,13,1,0,0,0,0,Jeffrey Ross,12.0,4.0,0,7_Week1
Cloris Leachman,7,2,15.0,49.76061566,12.0,0.1853407564592777,7.0,6.0,6.5,9.0,1.0,11,1,0,0,0,0,Rocco DiSpirito,16.0,-1.0,1,7_Week2
Cloris Leachman,7,3,16.0,33.59944568,17.0,0.1879033925690738,7.0,6.0,9.0,9.0,1.0,9,1,1,1,1,1,Rocco DiSpirito,20.0,-4.0,1,7_Week3
Cloris Leachman,7,5,21.0,34.50159648,10.5,0.2518824124006085,7.0,6.0,7.0,7.0,1.5,8,1,1,1,1,1,Lance Bass,21.0,0.0,0,7_Week5
Cody Linley,7,7,22.0,33.37692184,8.0,0.3502005276537125,4.0,9.0,5.0,5.0,2.0,6,1,1,1,1,1,Warren Sapp,21.0,1.0,0,7_Week7
Cody Linley,7,8,24.0,31.68501778,6.5,0.4376931417492681,4.0,9.0,4.0,4.0,1.5,5,1,1,1,1,1,Maurice Greene,24.0,0.0,0,7_Week8
