season,week,n_contestants,rho_method_judge,rho_method_placement,rho_judge_placement,p_value,independence_score
1,1,6,-0.18516401995451032,0.6,0.0,0.7254282104103118,0.41483598004548966
1,2,6,-0.48571428571428577,0.942857142857143,-0.2571428571428572,0.32872303206997094,0.4571428571428572
1,3,5,-0.09999999999999999,0.9999999999999999,-0.09999999999999999,0.8728885715695383,0.8999999999999999
1,4,4,-0.19999999999999998,0.7999999999999999,-0.39999999999999997,0.8,0.6
2,1,10,-0.790277206784084,0.7212121212121211,-0.3282689935872349,0.006514223587240812,-0.06906508557196289
2,2,9,-0.8117225864930513,0.8666666666666667,-0.5941474602165634,0.00788929768782947,0.054944080173615406
2,3,8,-0.8554837795635869,0.7142857142857144,-0.46991362539408293,0.006751330250937942,-0.1411980652778725
2,4,7,-0.8648999641877367,0.9285714285714288,-0.702731220902536,0.011965034552489661,0.06367146438369209
2,5,6,-0.8285714285714287,0.8285714285714287,-0.5428571428571429,0.04156268221574334,0.0
2,6,5,-0.7905694150420948,0.7,-0.47434164902525683,0.11136715471408384,-0.09056941504209481
2,7,4,-0.7378647873726218,0.39999999999999997,-0.21081851067789195,0.2621352126273781,-0.3378647873726219
3,1,11,-0.7562661989798207,0.7363636363636363,-0.615035764230577,0.007074250310379045,-0.019902562616184394
3,2,9,-0.5618293103007741,0.9,-0.27240208984279957,0.11541307591231773,0.3381706896992259
3,3,9,-0.6557788282337521,0.26666666666666666,0.42844216777938476,0.05513773769637093,-0.38911216156708545
3,4,8,-0.51234753829798,0.880952380952381,-0.26837252006084666,0.1942234213599954,0.3686048426544011
3,5,7,0.13944333775567924,0.5714285714285715,-0.378489059622558,0.7655684154406969,0.43198523367289227
3,6,5,-0.8999999999999998,0.7999999999999999,-0.8999999999999998,0.03738607346849874,-0.09999999999999987
3,7,4,-0.316227766016838,0.7999999999999999,-0.632455532033676,0.683772233983162,0.48377223398316194
3,8,4,-0.9486832980505139,0.39999999999999997,-0.632455532033676,0.05131670194948612,-0.5486832980505139
4,1,11,-0.9954441676503464,0.5545454545454546,-0.5388184026731233,1.690962394341394e-10,-0.4408987131048918
4,2,11,-0.8720815992723809,0.8636363636363636,-0.7554931501717952,0.0004646349104148837,-0.00844523563601729
4,3,10,-0.5701801103317626,0.9030303030303028,-0.22173670957346323,0.08525049031336161,0.3328501926985402
4,4,9,-0.94120970363394,0.9166666666666666,-0.798347516475217,0.00015311536072670046,-0.024543036967273335
4,5,8,-1.0,0.880952380952381,-0.880952380952381,0.0,-0.11904761904761896
4,6,7,-0.8288624656799143,1.0,-0.8288624656799143,0.021173515581004273,0.17113753432008572
4,7,6,-0.9121593238215745,0.7714285714285715,-0.6767633692869747,0.01123508794405949,-0.14073075239300303
4,8,5,-0.9999999999999999,0.9999999999999999,-0.9999999999999999,1.4042654220543672e-24,0.0
4,9,4,-0.316227766016838,1.0,-0.316227766016838,0.683772233983162,0.683772233983162
5,1,12,-0.9625868410556143,0.6643356643356644,-0.6538325712830588,5.421223627357898e-07,-0.29825117671994994
5,2,11,-0.8390470785361213,0.8181818181818182,-0.6769584383643705,0.001242658224198965,-0.020865260354303028
5,3,10,-0.19079181101796572,0.19999999999999998,-0.541602560309064,0.5975064030830337,0.009208188982034266
5,4,6,-0.6375355777548621,0.6,-0.5161002296110789,0.1732603152985335,-0.03753557775486216
5,5,8,-0.9157291161525718,0.1666666666666667,-0.024098134635593998,0.0014031743248924412,-0.7490624494859051
5,6,7,-0.4865062298556019,0.10714285714285716,-0.6486749731408026,0.26824856231783106,-0.37936337271274473
5,7,4,-0.19999999999999998,0.19999999999999998,-1.0,0.8,0.0
5,8,5,-0.19999999999999998,0.39999999999999997,-0.6,0.747060078104662,0.19999999999999998
5,9,4,0.316227766016838,0.39999999999999997,-0.7378647873726218,0.683772233983162,0.08377223398316197
6,1,12,-0.9630004066674477,0.7482517482517484,-0.6666925892313099,5.131730319295639e-07,-0.21474865841569923
6,2,12,-0.9174116968421968,0.9300699300699302,-0.8154770638597305,2.6309105958533958e-05,0.012658233227733406
6,3,10,-0.8191500733197464,0.7575757575757575,-0.3751832396884334,0.0037389509808080203,-0.06157431574398897
6,4,9,-0.961919879757386,0.9500000000000001,-0.8597690960663361,3.41815583264264e-05,-0.011919879757385954
6,5,8,-0.8434347122457898,0.8095238095238096,-0.8434347122457899,0.008503234145179265,-0.03391090272198016
6,6,7,-0.8829187134416479,0.7857142857142859,-0.6126374746329801,0.008450342381896611,-0.09720442772736193
6,7,6,0.2608969660436018,0.5428571428571429,-0.5797710356524485,0.6175338174259972,0.28196017681354113
6,8,5,0.0,-0.19999999999999998,-0.3,1.0,0.19999999999999998
7,1,13,-0.9101185827040583,0.8791208791208791,-0.661149973453708,1.572534511457249e-05,-0.030997703583179215
7,2,11,-0.7218867690985736,0.9090909090909091,-0.5471625829473264,0.012131150831825002,0.18720413999233543
7,3,9,-0.9580170197702604,0.8666666666666667,-0.747925568066256,4.7910678845626705e-05,-0.09135035310359374
7,4,9,-0.8938193572966859,0.8166666666666667,-0.6469549633766489,0.0011560848338519284,-0.07715269063001928
7,5,8,-0.8193365776101958,0.880952380952381,-0.5301589619830679,0.01281650190367177,0.061615803342185194
7,6,7,-0.9549937104572925,0.8214285714285715,-0.8288624656799143,0.0008055353363017577,-0.13356513902872102
7,7,6,-0.5507824838698261,0.8857142857142858,-0.20291986247835694,0.2573693316225744,0.3349318018444597
7,8,5,-0.6668859288553501,0.7,-0.9746794344808963,0.21889398131323168,0.033114071144649815
7,9,4,-0.9486832980505139,0.19999999999999998,-0.316227766016838,0.05131670194948612,-0.7486832980505139
8,1,13,-0.8882834669064676,0.6978021978021978,-0.5848325931185439,4.980565186857296e-05,-0.19048126910426988
8,2,13,-0.9086186328714748,0.8406593406593407,-0.6842341534123606,1.717305957125572e-05,-0.06795929221213415
8,3,12,-0.7019673294022786,0.8181818181818183,-0.8324838680348633,0.010933312654991456,0.11621448877953977
8,4,9,-0.912141875543738,0.8666666666666667,-0.7949860383179369,0.0006068506794715019,-0.04547520887707135
8,5,9,-0.8451956828432803,0.9,-0.7364081197050363,0.004116597419302819,0.05480431715671974
8,6,8,-0.467074242146171,0.6904761904761906,-0.5628843430992316,0.24326991663399547,0.22340194833001958
8,7,6,-0.8116794499134279,0.48571428571428577,-0.6957252427829381,0.04985758510134035,-0.3259651641991421
8,8,4,0.39999999999999997,0.7999999999999999,0.0,0.6,0.39999999999999997
8,9,5,-0.8720815992723809,0.6,-0.5642880936468347,0.05385421772754211,-0.27208159927238096
8,10,4,-0.7999999999999999,0.39999999999999997,-0.7999999999999999,0.20000000000000007,-0.39999999999999997
9,1,16,-0.7802393828851134,0.85,-0.8569358817698505,0.0003628908855776732,0.06976061711488657
9,2,11,-0.8997144913848533,0.9363636363636365,-0.801308218889635,0.00016196822601636596,0.036649144978783244
9,3,13,-0.8524210909133494,0.8021978021978022,-0.6069017475758474,0.00021431796288921118,-0.050223288715547154
9,4,10,-0.8624216160156492,0.5878787878787878,-0.31805619881428193,0.0013231707980979025,-0.27454282813686137
9,5,10,-0.6339211785435636,0.9151515151515152,-0.8185584150125625,0.04904625067415721,0.2812303366079516
9,6,9,-0.6833333333333333,0.9,-0.6,0.04244227208707231,0.21666666666666667
