season,week,n_contestants_rank,rho_rank,p_value_rank,n_contestants_share,rho_share,p_value_share,diff
1,1,6,0.3714285714285715,0.46847813411078715,6,0.6,0.20799999999999985,0.22857142857142848
1,2,6,0.8827348295047495,0.01982041658888203,6,0.942857142857143,0.0048046647230320545,0.060122313352393486
1,3,5,0.7071067811865475,0.18169011381620925,5,0.9999999999999999,1.4042654220543672e-24,0.2928932188134524
1,4,4,0.7745966692414834,0.22540333075851657,4,0.7999999999999999,0.20000000000000007,0.02540333075851653
2,1,10,0.5878787878787878,0.07387770688865801,10,0.7212121212121211,0.018573155089460204,0.1333333333333333
2,2,9,0.75,0.019942126131992522,9,0.8666666666666667,0.0024953982859902053,0.1166666666666667
2,3,8,0.6904761904761906,0.057990318164572716,8,0.7142857142857144,0.04652823228416724,0.023809523809523836
2,4,7,0.8571428571428573,0.01369732661532562,7,0.9285714285714288,0.0025194724037946874,0.07142857142857151
2,5,6,0.7142857142857143,0.1107871720116617,6,0.8285714285714287,0.04156268221574334,0.11428571428571443
2,6,5,0.49999999999999994,0.39100221895577053,5,0.7,0.1881204043741873,0.2
2,7,4,0.21081851067789195,0.7891814893221081,4,0.39999999999999997,0.6,0.18918148932210802
3,1,11,0.8974966337290644,0.0001781338113130075,11,0.7363636363636363,0.009759535959916903,-0.16113299736542808
3,2,9,0.8870370532810664,0.0014260236511493699,9,0.9,0.0009430623223403293,0.01296294671893361
3,3,9,0.3291402943021916,0.38710136062536277,9,0.26666666666666666,0.4879222748387009,-0.06247362763552494
3,4,8,0.7395161835775298,0.03600320928483319,8,0.880952380952381,0.0038503204637324014,0.14143619737485125
3,5,7,0.9549937104572924,0.0008055353363017622,7,0.5714285714285715,0.1802019889115274,-0.3835651390287209
3,6,5,0.7826237921249264,0.11761376087345808,5,0.7999999999999999,0.10408803866182788,0.017376207875073546
3,7,4,1.0,0.0,4,0.7999999999999999,0.20000000000000007,-0.20000000000000007
3,8,4,0.19999999999999998,0.8,4,0.39999999999999997,0.6,0.19999999999999998
4,1,11,0.8909090909090911,0.0002334581703787316,11,0.5545454545454546,0.0766523333397825,-0.33636363636363653
4,2,11,0.8090909090909091,0.002558580199713915,11,0.8636363636363636,0.0006116938500931706,0.054545454545454564
4,3,10,0.8145934285312865,0.004106131521831071,10,0.9030303030303028,0.00034361219776328223,0.08843687449901638
4,4,9,0.8861469461982082,0.0014644191149730608,9,0.9166666666666666,0.0005066190663052084,0.03051972046845841
4,5,8,0.8916309815169778,0.002928680906134816,8,0.880952380952381,0.0038503204637324014,-0.010678600564596796
4,6,7,0.8078131663950782,0.027958830135695913,7,1.0,0.0,0.19218683360492184
4,7,6,0.753702346348183,0.0835232813732598,6,0.7714285714285715,0.07239650145772594,0.017726225080388458
4,8,5,0.8720815992723809,0.05385421772754211,5,0.9999999999999999,1.4042654220543672e-24,0.12791840072761895
4,9,4,0.7999999999999999,0.20000000000000007,4,1.0,0.0,0.20000000000000007
5,1,12,0.6386004222984786,0.025413368057653436,12,0.6643356643356644,0.018452718028445437,0.0257352420371858
5,2,11,0.7646841774710358,0.0061197282296809935,11,0.8181818181818182,0.0020831448404786904,0.053497640710782446
5,3,10,0.07976060548818034,0.8266294205655288,10,0.19999999999999998,0.5795840000000001,0.12023939451181964
5,4,6,0.550782483869826,0.2573693316225745,6,0.6,0.20799999999999985,0.049217516130174
5,5,8,0.3132757502627219,0.44990820732344394,8,0.1666666666666667,0.693238811728395,-0.1466090835960552
5,6,7,0.1785714285714286,0.7016579425162729,7,0.10714285714285716,0.8191508555699912,-0.07142857142857144
5,7,4,0.9486832980505139,0.05131670194948612,4,0.19999999999999998,0.8,-0.7486832980505139
5,8,5,0.7,0.1881204043741873,5,0.39999999999999997,0.5046315754686911,-0.3
5,9,4,1.0,0.0,4,0.39999999999999997,0.6,-0.6000000000000001
6,1,12,0.8896686147896998,0.00010670024787795768,12,0.7482517482517484,0.005124081698753058,-0.14141686653795138
6,2,12,0.906866734809528,4.711310810780129e-05,12,0.9300699300699302,1.1702227928659668e-05,0.023203195260402265
6,3,10,0.6646465023178235,0.0360284612252285,10,0.7575757575757575,0.011143446799694208,0.09292925525793394
6,4,9,0.9166666666666666,0.0005066190663052084,9,0.9500000000000001,8.762523965086177e-05,0.03333333333333344
6,5,8,0.8095238095238096,0.014902667686230067,8,0.8095238095238096,0.014902667686230067,0.0
6,6,7,0.7142857142857144,0.07134356146753759,7,0.7857142857142859,0.03623846267982713,0.07142857142857151
6,7,6,0.6377481392176932,0.17307111024125976,6,0.5428571428571429,0.26570262390670557,-0.09489099636055032
6,8,5,0.47434164902525683,0.41953112817892135,5,-0.19999999999999998,0.747060078104662,-0.6743416490252568
7,1,13,0.906091176980121,1.9854029544571e-05,13,0.8791208791208791,7.54456235935913e-05,-0.026970297859241876
7,2,11,0.9490938946064404,8.239847058692726e-06,11,0.9090909090909091,0.00010559337630360869,-0.040002985515531386
7,3,9,0.9288784237188525,0.0002945257641989606,9,0.8666666666666667,0.0024953982859902053,-0.062211757052185845
7,4,9,0.9456149718939671,0.00011709145944109008,9,0.8166666666666667,0.007224785246358785,-0.1289483052273005
7,5,8,0.9461247469114745,0.0003753118737904408,8,0.880952380952381,0.0038503204637324014,-0.06517236595909348
7,6,7,0.8214285714285715,0.023448808345691505,7,0.8214285714285715,0.023448808345691505,0.0
7,7,6,0.6,0.20799999999999985,6,0.8857142857142858,0.01884548104956266,0.2857142857142858
7,8,5,0.6668859288553503,0.21889398131323154,5,0.7,0.1881204043741873,0.033114071144649704
7,9,4,0.39999999999999997,0.6,4,0.19999999999999998,0.8,-0.19999999999999998
8,1,13,0.8292042483657825,0.00045667113726537725,13,0.6978021978021978,0.008000717411226549,-0.13140205056358478
8,2,13,0.8055241376915794,0.0008885635628449854,13,0.8406593406593407,0.00031907124069371434,0.03513520296776129
8,3,12,0.7510085782905936,0.004874254079325454,12,0.8181818181818183,0.0011431050868040604,0.0671732398912247
8,4,9,0.7227145938617754,0.027830239887836096,9,0.8666666666666667,0.0024953982859902053,0.1439520728048913
8,5,9,0.7235680511449363,0.027556927195883603,9,0.9,0.0009430623223403293,0.17643194885506375
8,6,8,0.5509080804800991,0.15701842199789118,8,0.6904761904761906,0.057990318164572716,0.13956810999609148
8,7,6,0.43482827673933633,0.3888653001289578,6,0.48571428571428577,0.32872303206997094,0.05088600897494944
8,8,4,0.632455532033676,0.367544467966324,4,0.7999999999999999,0.20000000000000007,0.16754446796632394
8,9,5,0.3,0.6238376647810728,5,0.6,0.28475697986529375,0.3
8,10,4,0.39999999999999997,0.6,4,0.39999999999999997,0.6,0.0
9,1,16,0.851666314927725,2.8358363035067935e-05,16,0.85,3.0522600677849796e-05,-0.0016663149277250655
9,2,11,0.9266445023146869,4.1267746614005134e-05,11,0.9363636363636365,2.208207644917754e-05,0.00971913404894964
9,3,13,0.7972482047700905,0.0010985688843024861,13,0.8021978021978022,0.0009687789139250085,0.004949597427711727
9,4,10,0.8024353176576853,0.005211461766706401,10,0.5878787878787878,0.07387770688865801,-0.2145565297788975
9,5,10,0.8581718527846035,0.0014863848459557866,10,0.9151515151515152,0.0002044724061488323,0.056979662366911654
9,6,9,0.8560551733212731,0.0032272080274241806,9,0.9,0.0009430623223403293,0.0439448266787269
9,7,7,0.8046172777075037,0.029082336647261772,7,0.8928571428571429,0.006807187408935393,0.08823986514963922
9,8,5,0.22360679774997896,0.7176856442107861,5,0.7,0.1881204043741873,0.476393202250021
9,9,4,0.632455532033676,0.367544467966324,4,0.39999999999999997,0.6,-0.23245553203367603
10,1,11,0.6435682390352331,0.032633695428952836,11,0.9181818181818183,6.661451941355562e-05,0.27461357914658524
10,2,9,0.9153857298880941,0.0005337168926636565,9,0.8333333333333333,0.005265691029161747,-0.08205239655476082
10,3,10,0.8303030303030302,0.0029402270232795065,10,0.9151515151515152,0.0002044724061488323,0.08484848484848495
10,4,9,0.903773601456181,0.0008274112226859528,9,0.8666666666666667,0.0024953982859902053,-0.03710693478951432
10,5,8,0.8742671711966791,0.004512385603651026,8,0.7619047619047621,0.028004939153071794,-0.11236240929191699
10,6,7,0.8829187134416479,0.008450342381896611,7,0.8571428571428573,0.01369732661532562,-0.025775856298790534
10,7,6,0.6667366910003157,0.14808979944035278,6,0.028571428571428574,0.9571545189504373,-0.6381652624288872
10,8,5,0.6668859288553503,0.21889398131323154,5,0.9999999999999999,1.4042654220543672e-24,0.33311407114464964
10,9,4,0.7999999999999999,0.20000000000000007,4,0.39999999999999997,0.6,-0.39999999999999997
11,1,12,0.9368478722730427,7.110855652108287e-06,12,0.9300699300699302,1.1702227928659668e-05,-0.0067779422031124525
11,2,11,0.8909090909090911,0.0002334581703787316,11,0.9090909090909091,0.00010559337630360869,0.018181818181817966
11,3,10,0.7500139429824981,0.012475320838889697,10,0.8303030303030302,0.0029402270232795065,0.08028908732053208
11,4,9,0.978945010372561,4.36873680441605e-06,9,0.8166666666666667,0.007224785246358785,-0.16227834370589433
11,5,8,0.7784570702436183,0.02286733396973682,8,0.8095238095238096,0.014902667686230067,0.031066739280191324
