season,week,n_contestants,rho,p_value
1,1,6,0.3714285714285715,0.46847813411078715
1,2,6,0.8827348295047495,0.01982041658888203
1,3,5,0.7071067811865475,0.18169011381620925
1,4,4,0.7745966692414834,0.22540333075851657
2,1,10,0.5878787878787878,0.07387770688865801
2,2,9,0.75,0.019942126131992522
2,3,8,0.6904761904761906,0.057990318164572716
2,4,7,0.8571428571428573,0.01369732661532562
2,5,6,0.7142857142857143,0.1107871720116617
2,6,5,0.49999999999999994,0.39100221895577053
2,7,4,0.21081851067789195,0.7891814893221081
3,1,11,0.8974966337290644,0.0001781338113130075
3,2,9,0.8870370532810664,0.0014260236511493699
3,3,9,0.3291402943021916,0.38710136062536277
3,4,8,0.7395161835775298,0.03600320928483319
3,5,7,0.9549937104572924,0.0008055353363017622
3,6,5,0.7826237921249264,0.11761376087345808
3,7,4,1.0,0.0
3,8,4,0.19999999999999998,0.8
4,1,11,0.8909090909090911,0.0002334581703787316
4,2,11,0.8090909090909091,0.002558580199713915
4,3,10,0.8145934285312865,0.004106131521831071
4,4,9,0.8861469461982082,0.0014644191149730608
4,5,8,0.8916309815169778,0.002928680906134816
4,6,7,0.8078131663950782,0.027958830135695913
4,7,6,0.753702346348183,0.0835232813732598
4,8,5,0.8720815992723809,0.05385421772754211
4,9,4,0.7999999999999999,0.20000000000000007
5,1,12,0.6386004222984786,0.025413368057653436
5,2,11,0.7646841774710358,0.0061197282296809935
5,3,10,0.07976060548818034,0.8266294205655288
5,4,6,0.550782483869826,0.2573693316225745
5,5,8,0.3132757502627219,0.44990820732344394
5,6,7,0.1785714285714286,0.7016579425162729
5,7,4,0.9486832980505139,0.05131670194948612
5,8,5,0.7,0.1881204043741873
5,9,4,1.0,0.0
6,1,12,0.8896686147896998,0.00010670024787795768
6,2,12,0.906866734809528,4.711310810780129e-05
6,3,10,0.6646465023178235,0.0360284612252285
6,4,9,0.9166666666666666,0.0005066190663052084
6,5,8,0.8095238095238096,0.014902667686230067
6,6,7,0.7142857142857144,0.07134356146753759
6,7,6,0.6377481392176932,0.17307111024125976
6,8,5,0.47434164902525683,0.41953112817892135
7,1,13,0.906091176980121,1.9854029544571e-05
7,2,11,0.9490938946064404,8.239847058692726e-06
7,3,9,0.9288784237188525,0.0002945257641989606
7,4,9,0.9456149718939671,0.00011709145944109008
7,5,8,0.9461247469114745,0.0003753118737904408
7,6,7,0.8214285714285715,0.023448808345691505
7,7,6,0.6,0.20799999999999985
7,8,5,0.6668859288553503,0.21889398131323154
7,9,4,0.39999999999999997,0.6
8,1,13,0.8292042483657825,0.00045667113726537725
8,2,13,0.8055241376915794,0.0008885635628449854
8,3,12,0.7510085782905936,0.004874254079325454
8,4,9,0.7227145938617754,0.027830239887836096
8,5,9,0.7235680511449363,0.027556927195883603
8,6,8,0.5509080804800991,0.15701842199789118
8,7,6,0.43482827673933633,0.3888653001289578
8,8,4,0.632455532033676,0.367544467966324
8,9,5,0.3,0.6238376647810728
8,10,4,0.39999999999999997,0.6
9,1,16,0.851666314927725,2.8358363035067935e-05
9,2,11,0.9266445023146869,4.1267746614005134e-05
9,3,13,0.7972482047700905,0.0010985688843024861
9,4,10,0.8024353176576853,0.005211461766706401
9,5,10,0.8581718527846035,0.0014863848459557866
9,6,9,0.8560551733212731,0.0032272080274241806
9,7,7,0.8046172777075037,0.029082336647261772
9,8,5,0.22360679774997896,0.7176856442107861
9,9,4,0.632455532033676,0.367544467966324
10,1,11,0.6435682390352331,0.032633695428952836
10,2,9,0.9153857298880941,0.0005337168926636565
10,3,10,0.8303030303030302,0.0029402270232795065
10,4,9,0.903773601456181,0.0008274112226859528
10,5,8,0.8742671711966791,0.004512385603651026
10,6,7,0.8829187134416479,0.008450342381896611
10,7,6,0.6667366910003157,0.14808979944035278
10,8,5,0.6668859288553503,0.21889398131323154
10,9,4,0.7999999999999999,0.20000000000000007
11,1,12,0.9368478722730427,7.110855652108287e-06
