season,week,n_contestants,rho,p_value
1,1,6,0.6,0.20799999999999985
1,2,6,0.942857142857143,0.0048046647230320545
1,3,5,0.9999999999999999,1.4042654220543672e-24
1,4,4,0.7999999999999999,0.20000000000000007
2,1,10,0.7212121212121211,0.018573155089460204
2,2,9,0.8666666666666667,0.0024953982859902053
2,3,8,0.7142857142857144,0.04652823228416724
2,4,7,0.9285714285714288,0.0025194724037946874
2,5,6,0.8285714285714287,0.04156268221574334
2,6,5,0.7,0.1881204043741873
2,7,4,0.39999999999999997,0.6
3,1,11,0.7363636363636363,0.009759535959916903
3,2,9,0.9,0.0009430623223403293
3,3,9,0.26666666666666666,0.4879222748387009
3,4,8,0.880952380952381,0.0038503204637324014
3,5,7,0.5714285714285715,0.1802019889115274
3,6,5,0.7999999999999999,0.10408803866182788
3,7,4,0.7999999999999999,0.20000000000000007
3,8,4,0.39999999999999997,0.6
4,1,11,0.5545454545454546,0.0766523333397825
4,2,11,0.8636363636363636,0.0006116938500931706
4,3,10,0.9030303030303028,0.00034361219776328223
4,4,9,0.9166666666666666,0.0005066190663052084
4,5,8,0.880952380952381,0.0038503204637324014
4,6,7,1.0,0.0
4,7,6,0.7714285714285715,0.07239650145772594
4,8,5,0.9999999999999999,1.4042654220543672e-24
4,9,4,1.0,0.0
5,1,12,0.6643356643356644,0.018452718028445437
5,2,11,0.8181818181818182,0.0020831448404786904
5,3,10,0.19999999999999998,0.5795840000000001
5,4,6,0.6,0.20799999999999985
5,5,8,0.1666666666666667,0.693238811728395
5,6,7,0.10714285714285716,0.8191508555699912
5,7,4,0.19999999999999998,0.8
5,8,5,0.39999999999999997,0.5046315754686911
5,9,4,0.39999999999999997,0.6
6,1,12,0.7482517482517484,0.005124081698753058
6,2,12,0.9300699300699302,1.1702227928659668e-05
6,3,10,0.7575757575757575,0.011143446799694208
6,4,9,0.9500000000000001,8.762523965086177e-05
6,5,8,0.8095238095238096,0.014902667686230067
6,6,7,0.7857142857142859,0.03623846267982713
6,7,6,0.5428571428571429,0.26570262390670557
6,8,5,-0.19999999999999998,0.747060078104662
7,1,13,0.8791208791208791,7.54456235935913e-05
7,2,11,0.9090909090909091,0.00010559337630360869
7,3,9,0.8666666666666667,0.0024953982859902053
7,4,9,0.8166666666666667,0.007224785246358785
7,5,8,0.880952380952381,0.0038503204637324014
7,6,7,0.8214285714285715,0.023448808345691505
7,7,6,0.8857142857142858,0.01884548104956266
7,8,5,0.7,0.1881204043741873
7,9,4,0.19999999999999998,0.8
8,1,13,0.6978021978021978,0.008000717411226549
8,2,13,0.8406593406593407,0.00031907124069371434
8,3,12,0.8181818181818183,0.0011431050868040604
8,4,9,0.8666666666666667,0.0024953982859902053
8,5,9,0.9,0.0009430623223403293
8,6,8,0.6904761904761906,0.057990318164572716
8,7,6,0.48571428571428577,0.32872303206997094
8,8,4,0.7999999999999999,0.20000000000000007
8,9,5,0.6,0.28475697986529375
8,10,4,0.39999999999999997,0.6
9,1,16,0.85,3.0522600677849796e-05
9,2,11,0.9363636363636365,2.208207644917754e-05
9,3,13,0.8021978021978022,0.0009687789139250085
9,4,10,0.5878787878787878,0.07387770688865801
9,5,10,0.9151515151515152,0.0002044724061488323
9,6,9,0.9,0.0009430623223403293
9,7,7,0.8928571428571429,0.006807187408935393
9,8,5,0.7,0.1881204043741873
9,9,4,0.39999999999999997,0.6
10,1,11,0.9181818181818183,6.661451941355562e-05
10,2,9,0.8333333333333333,0.005265691029161747
10,3,10,0.9151515151515152,0.0002044724061488323
10,4,9,0.8666666666666667,0.0024953982859902053
10,5,8,0.7619047619047621,0.028004939153071794
10,6,7,0.8571428571428573,0.01369732661532562
10,7,6,0.028571428571428574,0.9571545189504373
10,8,5,0.9999999999999999,1.4042654220543672e-24
10,9,4,0.39999999999999997,0.6
11,1,12,0.9300699300699302,1.1702227928659668e-05
11,2,11,0.9090909090909091,0.00010559337630360869
11,3,10,0.8303030303030302,0.0029402270232795065
11,4,9,0.8166666666666667,0.007224785246358785
11,5,8,0.8095238095238096,0.014902667686230067
11,6,7,0.642857142857143,0.11939237342741094
11,7,6,0.7142857142857143,0.1107871720116617
11,8,5,0.6,0.28475697986529375
12,1,11,0.9363636363636365,2.208207644917754e-05
12,2,11,0.8909090909090911,0.0002334581703787316
12,3,10,0.6848484848484848,0.02888279750673276
12,4,9,0.8166666666666667,0.007224785246358785
12,5,8,0.8095238095238096,0.014902667686230067
12,6,7,0.7857142857142859,0.03623846267982713
12,7,6,0.7714285714285715,0.07239650145772594
12,8,4,0.39999999999999997,0.6
12,9,4,0.39999999999999997,0.6
13,1,12,0.6293706293706295,0.02831967129576002
13,2,11,0.8090909090909091,0.002558580199713915
13,3,10,0.8787878787878788,0.0008138621117322101
13,4,9,0.9333333333333332,0.00023589981215941676
13,5,8,0.9761904761904763,3.3143960262001043e-05
13,6,7,0.7857142857142859,0.03623846267982713
13,7,6,0.7714285714285715,0.07239650145772594
13,8,5,0.9999999999999999,1.4042654220543672e-24
13,9,4,0.39999999999999997,0.6
14,1,12,0.6713286713286714,0.016831456186893395
14,2,12,0.8391608391608393,0.0006428259886278202
14,3,11,0.9727272727272729,5.14217704904919e-07
14,4,10,0.9393939393939393,5.484052998513666e-05
14,5,9,0.9,0.0009430623223403293
14,6,8,0.7857142857142858,0.020815127253525276
14,7,7,0.9285714285714288,0.0025194724037946874
14,8,6,0.8857142857142858,0.01884548104956266
14,9,4,0.7999999999999999,0.20000000000000007
15,1,13,0.945054945054945,1.1239312789557584e-06
15,2,11,0.9090909090909091,0.00010559337630360869
15,3,11,0.8363636363636365,0.0013331850799508562
15,4,9,0.9,0.0009430623223403293
15,5,8,0.8095238095238096,0.014902667686230067
15,6,8,0.8333333333333335,0.01017554012345675
15,7,7,1.0,0.0
15,8,7,0.8928571428571429,0.006807187408935393
15,9,5,0.6,0.28475697986529375
16,1,12,0.7552447552447553,0.004508435484294225
16,2,12,0.9440559440559443,3.927261080965945e-06
16,3,11,0.881818181818182,0.0003301688021839005
16,4,10,0.8666666666666665,0.0011735381801554687
16,5,9,0.9333333333333332,0.00023589981215941676
16,6,8,0.9285714285714287,0.0008629681828999769
16,7,7,0.7500000000000002,0.05218140045705776
16,8,6,0.8857142857142858,0.01884548104956266
16,9,5,0.7,0.1881204043741873
16,10,4,0.7999999999999999,0.20000000000000007
17,1,12,0.8111888111888113,0.0013633152527271922
17,2,12,0.9300699300699302,1.1702227928659668e-05
17,3,11,0.7636363636363637,0.006233059747904751
17,4,10,0.8909090909090909,0.0005421442248338665
17,5,9,0.8333333333333333,0.005265691029161747
17,6,8,0.11904761904761905,0.7788857260523797
17,7,8,0.7619047619047621,0.028004939153071794
17,8,7,0.642857142857143,0.11939237342741094
17,9,6,0.6,0.20799999999999985
17,10,5,0.8999999999999998,0.03738607346849874
17,11,4,1.0,0.0
18,1,12,0.9160839160839163,2.8428045348547105e-05
18,2,11,0.9,0.00015997142806871369
18,3,9,0.7666666666666667,0.01594401657897401
18,4,7,0.7500000000000002,0.05218140045705776
18,5,9,0.7833333333333333,0.012519873019449882
