celebrity_name,season,week,judge_score,placement,weeks_participated,method1_combined_rank,method2_combined_pct,method1_pos,method2_pos,n_contestants,eliminated_week,is_eliminated,dist_method1,dist_method2
Trista Sutter,1,2,19.0,6,2,10.0,0.2074723036609286,5.5,6.0,6,2.0,1,0.5,0.0
Evander Holyfield,1,3,13.0,5,3,10.0,0.219413549615564,5.0,5.0,5,3.0,1,0.0,0.0
Rachel Hunter,1,4,25.0,4,4,6.0,0.3350948644415575,3.0,4.0,4,4.0,1,1.0,0.0
Kenny Mayne,2,1,13.0,10,1,19.0,0.0821878900812563,10.0,10.0,10,1.0,1,0.0,0.0
Tatum O'Neal,2,2,17.0,9,2,17.0,0.1136457434759438,9.0,9.0,9,2.0,1,0.0,0.0
Giselle Fernandez,2,3,22.0,8,3,13.5,0.1443986477669451,7.0,8.0,8,3.0,1,1.0,0.0
Master P,2,4,8.0,7,4,14.0,0.1044719241939502,7.0,7.0,7,4.0,1,0.0,0.0
Tia Carrere,2,5,22.0,6,5,12.0,0.2113909424882621,6.0,6.0,6,5.0,1,0.0,0.0
George Hamilton,2,6,23.0,5,6,9.5,0.2406612110724537,5.0,5.0,5,6.0,1,0.0,0.0
Lisa Rinna,2,7,26.5,4,7,7.0,0.3523838301052959,3.5,4.0,4,7.0,1,0.5,0.0
Tucker Carlson,3,1,12.0,11,1,21.0,0.06762655091867,11.0,11.0,11,1.0,1,0.0,0.0
Shanna Moakler,3,2,22.0,10,2,15.0,0.1050681274238845,9.0,9.0,9,2.0,1,0.0,0.0
Harry Hamlin,3,3,22.0,9,3,14.5,0.1160207161543226,9.0,9.0,9,3.0,1,0.0,0.0
Vivica A. Fox,3,4,24.0,8,4,13.0,0.1335783491189612,8.0,8.0,8,4.0,1,0.0,0.0
Sara Evans,3,5,24.0,6,5,12.5,0.1602159715031288,7.0,7.0,7,5.0,1,0.0,0.0
Jerry Springer,3,7,23.0,5,7,9.0,0.2309345769690131,4.0,4.0,4,7.0,1,0.0,0.0
Monique Coleman,3,8,26.5,4,8,8.0,0.4774931885013818,4.0,4.0,4,8.0,1,0.0,0.0
Paulina Porizkova,4,2,21.0,11,2,18.5,0.0922759308978658,11.0,11.0,11,2.0,1,0.0,0.0
Shandi Finnessey,4,3,21.0,10,3,17.0,0.1041910781411501,10.0,10.0,10,3.0,1,0.0,0.0
Leeza Gibbons,4,4,16.0,9,4,16.5,0.0954515479090845,9.0,9.0,9,4.0,1,0.0,0.0
Clyde Drexler,4,5,13.0,8,5,16.0,0.0896742108229874,8.0,8.0,8,5.0,1,0.0,0.0
Heather Mills,4,6,23.0,7,6,12.0,0.1520426746630751,7.0,7.0,7,6.0,1,0.0,0.0
John Ratzenberger,4,7,22.5,6,7,11.0,0.1701641525195883,6.0,6.0,6,7.0,1,0.0,0.0
Billy Ray Cyrus,4,8,19.0,5,8,10.0,0.1911863756894507,5.0,5.0,5,8.0,1,0.0,0.0
Ian Ziering,4,9,29.0,4,9,8.0,0.3040897207886851,4.0,4.0,4,9.0,1,0.0,0.0
Josie Maran,5,1,16.0,12,1,24.0,0.0690240596041982,12.0,12.0,12,1.0,1,0.0,0.0
Albert Reed,5,2,21.0,11,2,18.0,0.0944981128342386,11.0,11.0,11,2.0,1,0.0,0.0
Wayne Newton,5,3,18.0,10,3,17.0,0.0992399679315263,10.0,10.0,10,3.0,1,0.0,0.0
Floyd Mayweather Jr. ,5,4,23.0,9,4,14.0,0.1224471400066828,6.0,6.0,6,4.0,1,0.0,0.0
Mark Cuban,5,5,21.0,8,5,15.5,0.1203020479168157,8.0,8.0,8,5.0,1,0.0,0.0
Sabrina Bryan,5,6,25.0,7,6,10.5,0.1752603722127992,6.0,6.0,7,6.0,1,1.0,1.0
Jane Seymour,5,7,25.0,6,7,10.0,0.2170641798611402,4.0,4.0,4,7.0,1,0.0,0.0
Cameron Mathison,5,8,25.5,5,8,8.0,0.2278096727759559,5.0,5.0,5,8.0,1,0.0,0.0
Jennie Garth,5,9,29.0,4,9,7.0,0.301554897849073,4.0,4.0,4,9.0,1,0.0,0.0
Monica Seles,6,2,15.0,11,2,23.0,0.0671900718549629,12.0,12.0,12,2.0,1,0.0,0.0
Steve Guttenberg,6,3,21.0,10,3,17.5,0.1004861515642518,10.0,10.0,10,3.0,1,0.0,0.0
Adam Carolla,6,4,19.0,9,4,18.0,0.097073523871843,9.0,9.0,9,4.0,1,0.0,0.0
Priscilla Presley,6,5,21.0,8,5,16.0,0.1220393212362874,8.0,8.0,8,5.0,1,0.0,0.0
Marlee Matlin,6,6,21.0,7,6,14.0,0.1366532465195991,7.0,7.0,7,6.0,1,0.0,0.0
