celebrity_name,season,week,judge_score,placement,weeks_participated,method1_combined_rank,method2_combined_pct,method1_pos,method2_pos,n_contestants,eliminated_week,is_eliminated
John O'Hurley,1,1,20.0,2,6,4.0,0.3984763455279348,2.0,2.0,6,,0
John O'Hurley,1,2,26.0,2,6,3.0,0.4436575769400369,1.0,1.0,6,,0
John O'Hurley,1,3,24.0,2,6,5.0,0.4658016815339284,2.5,2.0,5,,0
John O'Hurley,1,4,21.0,2,6,6.0,0.481637642836248,3.0,3.0,4,,0
John O'Hurley,1,5,27.0,2,6,3.0,0.7091992527342965,1.5,2.0,3,,0
John O'Hurley,1,6,27.0,2,6,4.0,0.8741077577816327,2.0,2.0,2,,0
Kelly Monaco,1,1,13.0,1,6,9.0,0.3333547328746219,5.0,3.0,6,,0
Kelly Monaco,1,2,17.0,1,6,6.0,0.4000132735760715,2.5,2.0,6,,0
Kelly Monaco,1,3,21.0,1,6,5.0,0.51154787580559,2.5,1.0,5,,0
Kelly Monaco,1,4,26.0,1,6,2.0,0.701337065306699,1.0,1.0,4,,0
Kelly Monaco,1,5,23.5,1,6,3.0,0.7893169955368351,1.5,1.0,3,,0
Kelly Monaco,1,6,27.5,1,6,2.0,1.125892242218367,1.0,1.0,2,,0
Evander Holyfield,1,1,18.0,5,3,8.5,0.3020629921879291,4.0,4.0,6,3.0,0
Evander Holyfield,1,2,14.0,5,3,10.0,0.2749881111825709,5.5,5.0,6,3.0,0
Evander Holyfield,1,3,13.0,5,3,10.0,0.219413549615564,5.0,5.0,5,3.0,1
Rachel Hunter,1,1,20.0,4,4,8.0,0.2662773228786911,3.0,6.0,6,4.0,0
Rachel Hunter,1,2,24.0,4,4,7.0,0.2885035134583493,4.0,4.0,6,4.0,0
Rachel Hunter,1,3,26.0,4,4,5.0,0.354109776363298,2.5,4.0,5,4.0,0
Rachel Hunter,1,4,25.0,4,4,6.0,0.3350948644415575,3.0,4.0,4,4.0,1
Joey McIntyre,1,1,20.0,3,5,3.0,0.4166157638700135,1.0,1.0,6,,0
Joey McIntyre,1,2,21.0,3,5,6.0,0.3853652211820426,2.5,3.0,6,,0
Joey McIntyre,1,3,22.0,3,5,5.0,0.4491271166816195,2.5,3.0,5,,0
Joey McIntyre,1,4,20.0,3,5,6.0,0.4819304274154953,3.0,2.0,4,,0
Joey McIntyre,1,5,22.5,3,5,6.0,0.5014837517288682,3.0,3.0,3,,0
Trista Sutter,1,1,18.0,6,2,9.5,0.2832128426608094,6.0,5.0,6,2.0,0
Trista Sutter,1,2,19.0,6,2,10.0,0.2074723036609286,5.5,6.0,6,2.0,1
Tatum O'Neal,2,1,23.0,9,2,6.5,0.2065251984342967,3.0,4.0,10,2.0,0
Tatum O'Neal,2,2,17.0,9,2,17.0,0.1136457434759438,9.0,9.0,9,2.0,1
Tia Carrere,2,1,20.0,6,5,11.0,0.1821154880877946,5.0,5.0,10,5.0,0
Tia Carrere,2,2,22.0,6,5,9.5,0.2010605699207631,4.0,4.0,9,5.0,0
Tia Carrere,2,3,26.0,6,5,7.0,0.2505940092986392,3.0,3.0,8,5.0,0
Tia Carrere,2,4,25.0,6,5,9.0,0.2655850658146886,5.0,5.0,7,5.0,0
