season,method1_median,method1_mean,n_eliminations,method2_median,method2_mean
1,0.5,0.5,3,0.0,0.0
2,0.0,0.21428571428571427,7,0.0,0.0
3,0.0,0.0,7,0.0,0.0
4,0.0,0.0,8,0.0,0.0
5,0.0,0.1111111111111111,9,0.0,0.1111111111111111
6,0.0,0.0625,8,0.0,0.125
7,0.0,0.0,8,0.0,0.0
8,0.0,0.16666666666666666,9,0.0,0.1111111111111111
9,0.0,0.2222222222222222,9,0.0,0.1111111111111111
10,0.0,0.0,7,0.0,0.0
11,0.0,0.125,8,0.0,0.0
12,0.0,0.14285714285714285,7,0.0,0.14285714285714285
13,0.0,0.0,9,0.0,0.0
14,0.0,0.1875,8,0.0,0.0
15,0.0,0.6428571428571429,7,0.0,0.2857142857142857
16,0.0,0.05555555555555555,9,0.0,0.1111111111111111
17,0.0,0.6666666666666666,9,0.0,0.0
18,0.0,0.1875,8,0.0,0.125
19,0.0,0.0,10,0.0,0.0
20,0.0,0.375,8,0.0,0.125
21,0.0,0.35714285714285715,7,0.0,0.42857142857142855
22,0.0,0.2857142857142857,7,0.0,0.14285714285714285
23,0.0,0.0,9,0.0,0.0
24,0.0,0.6875,8,0.0,0.125
25,0.0,0.25,8,0.0,0.25
26,0.5,0.5,3,1.0,1.0
27,0.0,0.3125,8,0.0,0.125
28,0.0,0.4375,8,0.0,0.25
29,0.0,0.2,10,0.0,0.1
30,0.0,0.3333333333333333,9,0.0,0.0
31,0.0,0.1,10,0.0,0.2
32,0.0,0.65,10,0.0,0.0
33,0.0,0.5,7,0.0,0.14285714285714285
34,0.0,0.7777777777777778,9,0.0,0.2222222222222222
