season,week,week_idx,celebrity_name,judge_rank,vote_rank,total_rank,score_sum,fan_votes,placement,weeks_participated,data_source,eliminated_week,eliminated_actual,method1_value,method1_pos,judge_share,fan_share,method2_value,method2_pos
1,1,0,56,1.0,1.0,2.0,0.739940073,10.42655414,2,6,rank,,0,2.0,2.0,4101407799432981.5,0.22253575865995587,2050703899716490.8,2.0
1,1,0,66,3.0,6.0,9.0,-2.085285661,10.84545343,1,6,rank,,0,9.0,6.0,-1.1558512893342324e+16,0.2314763990719824,-5779256446671162.0,6.0
1,1,0,32,2.0,4.0,6.0,-0.067267279,6.543419792,5,3,rank,3.0,0,6.0,4.5,-372855252478310.4,0.13965734681767936,-186427626239155.12,4.5
1,1,0,89,1.0,1.0,2.0,0.739940073,3.450451323,4,4,rank,4.0,0,2.0,2.0,4101407799432981.5,0.07364358277652922,2050703899716490.8,2.0
1,1,0,55,1.0,1.0,2.0,0.739940073,10.98283886,3,5,rank,,0,2.0,2.0,4101407799432981.5,0.23440864020202024,2050703899716490.8,2.0
1,1,0,108,2.0,4.0,6.0,-0.067267279,4.604669986,6,2,rank,2.0,0,6.0,4.5,-372855252478310.4,0.09827827247183299,-186427626239155.12,4.5
1,2,1,56,1.0,1.0,2.0,1.437277734,7.774250414,2,6,rank,,0,2.0,1.0,1437277774.6489916,0.23278650772748855,718638887.440889,1.0
1,2,1,66,5.0,5.0,10.0,-0.780236484,8.770076137,1,6,rank,,0,10.0,5.0,-780236506.0665954,0.26260478987915625,-390118252.9019953,5.0
1,2,1,32,6.0,6.0,12.0,-1.51940789,4.952885167,5,3,rank,3.0,0,12.0,6.0,-1519407932.971791,0.14830559601282337,-759703966.4117427,6.0
1,2,1,89,2.0,2.0,4.0,0.944496797,2.806499339,4,4,rank,4.0,0,4.0,2.0,944496823.7121944,0.08403577776306435,472248411.8981151,2.0
1,2,1,55,3.0,3.0,6.0,0.205325391,7.632142702,3,5,rank,,0,6.0,3.0,205325396.8069988,0.2285313376164189,102662698.51776506,3.0
1,2,1,108,4.0,4.0,8.0,-0.287455547,1.460628236,6,2,rank,2.0,1,8.0,4.0,-287455555.1297983,0.04373599100104855,-143727777.54303116,4.0
1,3,2,56,2.0,2.0,4.0,0.629889779,5.748882812,2,6,rank,,0,4.0,2.0,2.269417099191107e+16,0.2391958499155887,1.1347085495955536e+16,2.0
1,3,2,66,4.0,4.0,8.0,-0.044992127,7.711327361,1,6,rank,,0,8.0,4.0,-1621012211134448.2,0.3208479912378024,-810506105567224.0,4.0
1,3,2,32,5.0,5.0,10.0,-1.84467721,2.162042866,5,3,rank,3.0,1,10.0,5.0,-6.646150076459877e+16,0.08995690080989692,-3.3230750382299384e+16,5.0
1,3,2,89,1.0,1.0,2.0,1.07981105,2.354764851,4,4,rank,4.0,0,2.0,1.0,3.890429313928435e+16,0.09797555426083708,1.9452146569642176e+16,1.0
1,3,2,55,3.0,3.0,6.0,0.179968508,6.05719012,3,5,rank,,0,6.0,3.0,6484048844537793.0,0.2520237037758749,3242024422268896.5,3.0
1,4,3,56,3.0,3.0,6.0,-0.784464541,4.409742386,2,6,rank,,0,6.0,3.0,-inf,0.24645387949646286,-inf,3.5
1,4,3,66,1.0,1.0,2.0,1.176696811,7.637753959,1,6,rank,,0,2.0,1.0,inf,0.42686259855249026,inf,1.5
