celebrity_name,season,week,judge_score,placement,weeks_participated,results,fan_votes,data_source,fan_vote_rank,judge_score_rank,method1_total_rank,method1_pos,judge_share,fan_share,method2_total_share,method2_pos,eliminated_week,is_eliminated,n_week,dist_method1,dist_method2
Trista Sutter,1,2,19.0,6,2,Eliminated Week 2,1.460628236,rank,6.0,4.0,10.0,5.5,0.15702479338842976,0.04373599100104855,0.2007607843894783,6.0,2.0,1,6,0.5,0.0
Evander Holyfield,1,3,13.0,5,3,Eliminated Week 3,2.162042866,rank,5.0,5.0,10.0,5.0,0.12264150943396226,0.08995690080989692,0.21259841024385917,5.0,3.0,1,5,0.0,0.0
Rachel Hunter,1,4,25.0,4,4,Eliminated Week 4,1.038107733,rank,4.0,2.0,6.0,3.0,0.2717391304347826,0.058018282189314326,0.3297574126240969,4.0,4.0,1,4,1.0,0.0
Kenny Mayne,2,1,13.0,10,1,Eliminated Week 1,1.940397154,rank,10.0,9.0,19.0,10.0,0.06666666666666667,0.01636545094091399,0.08303211760758065,10.0,1.0,1,10,0.0,0.0
Tatum O'Neal,2,2,17.0,9,2,Eliminated Week 2,2.431105824,rank,9.0,8.0,17.0,9.0,0.085,0.026732515603084334,0.11173251560308434,9.0,2.0,1,9,0.0,0.0
Giselle Fernandez,2,3,22.0,8,3,Eliminated Week 3,1.539756657,rank,8.0,5.5,13.5,7.0,0.12087912087912088,0.0221400470110447,0.14301916789016558,8.0,3.0,1,8,1.0,0.0
Master P,2,4,8.0,7,4,Eliminated Week 4,2.796571007,rank,7.0,7.0,14.0,7.0,0.05063291139240506,0.05219099662575022,0.10282390801815527,7.0,4.0,1,7,0.0,0.0
Tia Carrere,2,5,22.0,6,5,Eliminated Week 5,2.499673832,rank,6.0,6.0,12.0,6.0,0.1456953642384106,0.06290060693523349,0.2085959711736441,6.0,5.0,1,6,0.0,0.0
George Hamilton,2,6,23.0,5,6,Eliminated Week 6,2.121869329,rank,5.0,4.5,9.5,5.0,0.17293233082706766,0.06610492762891503,0.23903725845598267,5.0,6.0,1,5,0.0,0.0
Lisa Rinna,2,7,26.5,4,7,Eliminated Week 7,2.142171187,rank,4.0,3.0,7.0,3.5,0.25980392156862747,0.08419299734073804,0.3439969189093655,4.0,7.0,1,4,0.5,0.0
Tucker Carlson,3,1,12.0,11,1,Eliminated Week 1,2.170668329,pct,11.0,11.0,22.0,11.0,0.05660377358490566,0.08363356347864144,0.1402373370635471,11.0,1.0,1,11,0.0,0.0
Shanna Moakler,3,2,22.0,10,2,Eliminated Week 2,1.793098983,pct,10.0,6.0,16.0,9.0,0.09565217391304348,0.08205865422484143,0.1777108281378849,10.0,2.0,1,10,1.0,0.0
