celebrity_name,season,week,judge_score,placement,weeks_participated,results,fan_votes,data_source,fan_vote_rank,judge_score_rank,method1_total_rank,method1_pos,judge_share,fan_share,method2_total_share,method2_pos,eliminated_week,is_eliminated
John O'Hurley,1,1,20.0,2,6,2nd Place,10.42655414,rank,3.0,2.0,5.0,2.0,0.1834862385321101,0.22253575865995587,0.406021997192066,2.0,,0
John O'Hurley,1,2,26.0,2,6,2nd Place,7.774250414,rank,2.0,1.0,3.0,1.0,0.21487603305785125,0.23278650772748855,0.4476625407853398,1.0,,0
John O'Hurley,1,3,24.0,2,6,2nd Place,5.748882812,rank,3.0,2.0,5.0,2.5,0.22641509433962265,0.2391958499155887,0.4656109442552113,2.0,,0
John O'Hurley,1,4,21.0,2,6,2nd Place,4.409742386,rank,3.0,3.0,6.0,3.0,0.22826086956521738,0.24645387949646286,0.4747147490616802,3.0,,0
John O'Hurley,1,5,27.0,2,6,2nd Place,4.340650501,rank,2.0,1.0,3.0,1.5,0.3698630136986301,0.3366236132512125,0.7064866269498427,2.0,,0
John O'Hurley,1,6,27.0,2,6,2nd Place,3.020930334,rank,2.0,2.0,4.0,2.0,0.4954128440366973,0.37368166623057303,0.8690945102672702,2.0,,0
Kelly Monaco,1,1,13.0,1,6,1st Place,10.84545343,rank,2.0,6.0,8.0,3.5,0.11926605504587157,0.2314763990719824,0.350742454117854,3.0,,0
Kelly Monaco,1,2,17.0,1,6,1st Place,8.770076137,rank,1.0,5.0,6.0,2.5,0.14049586776859505,0.26260478987915625,0.40310065764775127,2.0,,0
Kelly Monaco,1,3,21.0,1,6,1st Place,7.711327361,rank,1.0,4.0,5.0,2.5,0.19811320754716982,0.3208479912378024,0.5189611987849723,1.0,,0
Kelly Monaco,1,4,26.0,1,6,1st Place,7.637753959,rank,1.0,1.0,2.0,1.0,0.2826086956521739,0.42686259855249026,0.7094712942046641,1.0,,0
Kelly Monaco,1,5,23.5,1,6,1st Place,6.045976049,rank,1.0,2.0,3.0,1.5,0.3219178082191781,0.46887403230824404,0.7907918405274221,1.0,,0
Kelly Monaco,1,6,27.5,1,6,1st Place,5.063304476,rank,1.0,1.0,2.0,1.0,0.5045871559633027,0.6263183337694269,1.1309054897327298,1.0,,0
Evander Holyfield,1,1,18.0,5,3,Eliminated Week 3,6.543419792,rank,4.0,4.5,8.5,5.0,0.1651376146788991,0.13965734681767936,0.3047949614965785,4.0,3.0,0
Evander Holyfield,1,2,14.0,5,3,Eliminated Week 3,4.952885167,rank,4.0,6.0,10.0,5.5,0.11570247933884298,0.14830559601282337,0.26400807535166637,5.0,3.0,0
Evander Holyfield,1,3,13.0,5,3,Eliminated Week 3,2.162042866,rank,5.0,5.0,10.0,5.0,0.12264150943396226,0.08995690080989692,0.21259841024385917,5.0,3.0,1
Rachel Hunter,1,1,20.0,4,4,Eliminated Week 4,3.450451323,rank,6.0,2.0,8.0,3.5,0.1834862385321101,0.07364358277652922,0.2571298213086393,6.0,4.0,0
Rachel Hunter,1,2,24.0,4,4,Eliminated Week 4,2.806499339,rank,5.0,2.0,7.0,4.0,0.19834710743801653,0.08403577776306435,0.2823828852010809,4.0,4.0,0
Rachel Hunter,1,3,26.0,4,4,Eliminated Week 4,2.354764851,rank,4.0,1.0,5.0,2.5,0.24528301886792453,0.09797555426083708,0.3432585731287616,4.0,4.0,0
Rachel Hunter,1,4,25.0,4,4,Eliminated Week 4,1.038107733,rank,4.0,2.0,6.0,3.0,0.2717391304347826,0.058018282189314326,0.3297574126240969,4.0,4.0,1
Joey McIntyre,1,1,20.0,3,5,3rd Place,10.98283886,rank,1.0,2.0,3.0,1.0,0.1834862385321101,0.23440864020202024,0.41789487873413034,1.0,,0
Joey McIntyre,1,2,21.0,3,5,3rd Place,7.632142702,rank,3.0,3.0,6.0,2.5,0.17355371900826447,0.2285313376164189,0.40208505662468336,3.0,,0
Joey McIntyre,1,3,22.0,3,5,3rd Place,6.05719012,rank,2.0,3.0,5.0,2.5,0.20754716981132076,0.2520237037758749,0.45957087358719567,3.0,,0
Joey McIntyre,1,4,20.0,3,5,3rd Place,4.807165129,rank,2.0,4.0,6.0,3.0,0.21739130434782608,0.26866523976173257,0.4860565441095587,2.0,,0
Joey McIntyre,1,5,22.5,3,5,3rd Place,2.508043729,rank,3.0,3.0,6.0,3.0,0.3082191780821918,0.19450235444054353,0.5027215325227353,3.0,,0
Trista Sutter,1,1,18.0,6,2,Eliminated Week 2,4.604669986,rank,5.0,4.5,9.5,6.0,0.1651376146788991,0.09827827247183299,0.26341588715073205,5.0,2.0,0
Trista Sutter,1,2,19.0,6,2,Eliminated Week 2,1.460628236,rank,6.0,4.0,10.0,5.5,0.15702479338842976,0.04373599100104855,0.2007607843894783,6.0,2.0,1
Tatum O'Neal,2,1,23.0,9,2,Eliminated Week 2,10.33592466,rank,4.0,2.5,6.5,3.0,0.11794871794871795,0.08717394148075168,0.2051226594294696,4.0,2.0,0
Tatum O'Neal,2,2,17.0,9,2,Eliminated Week 2,2.431105824,rank,9.0,8.0,17.0,9.0,0.085,0.026732515603084334,0.11173251560308434,9.0,2.0,1
Tia Carrere,2,1,20.0,6,5,Eliminated Week 5,9.870900223,rank,5.0,6.0,11.0,5.0,0.10256410256410256,0.08325189150538377,0.18581599406948635,5.0,5.0,0
Tia Carrere,2,2,22.0,6,5,Eliminated Week 5,8.194414019,rank,4.0,5.5,9.5,4.0,0.11,0.09010603259574541,0.20010603259574541,4.0,5.0,0
Tia Carrere,2,3,26.0,6,5,Eliminated Week 5,7.337908114,rank,5.0,3.0,8.0,3.5,0.14285714285714285,0.10551123768038778,0.24836838053753063,3.0,5.0,0
Tia Carrere,2,4,25.0,6,5,Eliminated Week 5,5.530162465,rank,5.0,4.0,9.0,5.0,0.15822784810126583,0.1032066376388152,0.26143448574008105,5.0,5.0,0
Tia Carrere,2,5,22.0,6,5,Eliminated Week 5,2.499673832,rank,6.0,6.0,12.0,6.0,0.1456953642384106,0.06290060693523349,0.2085959711736441,6.0,5.0,1
George Hamilton,2,1,18.0,5,6,Eliminated Week 6,7.939903417,rank,8.0,8.0,16.0,8.0,0.09230769230769231,0.06696572378425002,0.15927341609194234,8.0,6.0,0
George Hamilton,2,2,22.0,5,6,Eliminated Week 6,7.370089351,rank,7.0,5.5,12.5,6.0,0.11,0.08104173278955264,0.19104173278955264,5.0,6.0,0
George Hamilton,2,3,22.0,5,6,Eliminated Week 6,5.680860061,rank,7.0,5.5,12.5,6.0,0.12087912087912088,0.08168466636719093,0.2025637872463118,6.0,6.0,0
George Hamilton,2,4,21.0,5,6,Eliminated Week 6,4.741486408,rank,6.0,6.0,12.0,6.0,0.13291139240506328,0.0884879734866566,0.22139936589171988,6.0,6.0,0
George Hamilton,2,5,24.0,5,6,Eliminated Week 6,4.211036417,rank,5.0,4.0,9.0,5.0,0.15894039735099338,0.10596452347694577,0.26490492082793915,5.0,6.0,0
George Hamilton,2,6,23.0,5,6,Eliminated Week 6,2.121869329,rank,5.0,4.5,9.5,5.0,0.17293233082706766,0.06610492762891503,0.23903725845598267,5.0,6.0,1
Lisa Rinna,2,1,19.0,4,7,Eliminated Week 7,9.326712707,rank,6.0,7.0,13.0,7.0,0.09743589743589744,0.0786621743552648,0.17609807179116224,6.0,7.0,0
Lisa Rinna,2,2,20.0,4,7,Eliminated Week 7,7.500149254,rank,6.0,7.0,13.0,7.0,0.1,0.08247187554679493,0.18247187554679495,6.0,7.0,0
Lisa Rinna,2,3,25.0,4,7,Eliminated Week 7,7.380264226,rank,4.0,4.0,8.0,3.5,0.13736263736263737,0.1061202730799893,0.24348291044262665,4.0,7.0,0
