contestant_id,season_idx,weeks_participated,placement,celebrity_name,week_str,judge_score,week_idx,obs_id,estimated_strength,fan_votes,season,week,eliminated_week,eliminated_actual,judge_share,fan_share,combined_share,pos_judge,pos_combined
0,0,3,9,100,week1_percentage,0.080188679,0,0,20.99953275,2.363560595,3,1,3.0,0,0.080188679,0.09106549923663995,0.08562708911831998,8.0,8.0
1,0,4,8,284,week1_percentage,0.103773585,0,1,25.78502324,2.368577859,3,1,4.0,0,0.103773585,0.09125880913185846,0.09751619706592923,3.5,4.0
2,0,8,4,203,week1_percentage,0.089622642,0,2,24.049392,2.419059564,3,1,8.0,0,0.089622642,0.093203816032831,0.09141322901641549,6.0,6.0
3,0,9,3,133,week1_percentage,0.099056604,0,3,25.70379495,2.405477946,3,1,,0,0.099056604,0.0926805306022701,0.09586856730113505,5.0,5.0
4,0,10,2,177,week1_percentage,0.122641509,0,4,31.45121573,2.407000573,3,1,,0,0.122641509,0.09273919581618487,0.10769035240809244,1.0,1.0
5,0,10,1,86,week1_percentage,0.113207547,0,5,29.15177508,2.411189287,3,1,,0,0.113207547,0.09290058255294822,0.10305406477647411,2.0,2.0
6,0,2,10,253,week1_percentage,0.08490566,0,6,19.42634545,2.245635297,3,1,2.0,0,0.08490566,0.0865219617628315,0.08571381088141575,7.0,7.0
7,0,5,7,290,week1_percentage,0.103773585,0,7,25.92988233,2.374180091,3,1,5.0,0,0.103773585,0.09147465722773496,0.09762412111386748,3.5,3.0
8,0,5,6,248,week1_percentage,0.070754717,0,8,20.03629252,2.396716209,3,1,5.0,0,0.070754717,0.0923429501079206,0.0815488335539603,10.0,10.0
9,0,7,5,128,week1_percentage,0.075471698,0,9,20.76628162,2.392446275,3,1,7.0,0,0.075471698,0.09217843405013892,0.08382506602506946,9.0,9.0
10,0,1,11,276,week1_percentage,0.056603774,0,10,14.17289785,2.170668329,3,1,1.0,1,0.056603774,0.08363356347864144,0.07011866873932072,11.0,11.0
0,0,3,9,100,week2_percentage,0.091304348,1,11,19.64285012,2.202382695,3,2,3.0,0,0.09130434790869564,0.10078894793493919,0.09604664792181741,8.0,8.0
1,0,4,8,284,week2_percentage,0.104347826,1,12,21.96741019,2.203467744,3,2,4.0,0,0.10434782589565217,0.10083860367706618,0.10259321478635917,3.5,4.0
2,0,8,4,203,week2_percentage,0.113043478,1,13,24.64507583,2.244643832,3,2,8.0,0,0.11304347788695651,0.10272296945918856,0.10788322367307254,2.0,2.0
3,0,9,3,133,week2_percentage,0.126086957,1,14,27.31437993,2.236718468,3,2,,0,0.12608695687391303,0.10236027631717699,0.114223616595545,1.0,1.0
4,0,10,2,177,week2_percentage,0.091304348,1,15,20.79792867,2.259522681,3,2,,0,0.09130434790869564,0.10340387906704071,0.09735411348786818,8.0,6.0
5,0,10,1,86,week2_percentage,0.104347826,1,16,22.94701078,2.247095421,3,2,,0,0.10434782589565217,0.10283516298333849,0.10359149443949534,3.5,3.0
6,0,2,10,253,week2_percentage,0.095652174,1,17,13.53596459,1.793098983,3,2,2.0,1,0.09565217390434783,0.08205865422484143,0.08885541406459463,6.0,10.0
7,0,5,7,290,week2_percentage,0.1,1,18,21.41008616,2.214690384,3,2,5.0,0,0.0999999999,0.1013521920199189,0.10067609595995944,5.0,5.0
8,0,5,6,248,week2_percentage,0.091304348,1,19,19.84631111,2.212687436,3,2,5.0,0,0.09130434790869564,0.10126052992043605,0.09628243891456584,8.0,7.0
9,0,7,5,128,week2_percentage,0.082608696,1,20,18.88962038,2.237122896,3,2,7.0,0,0.0826086959173913,0.10237878439605355,0.09249374015672243,10.0,9.0
0,0,3,9,100,week3_percentage,0.106280193,2,21,13.57818692,1.705963259,3,3,3.0,1,0.106280193,0.09293243863039562,0.0996063158151978,5.5,9.0
1,0,4,8,284,week3_percentage,0.130434783,2,22,23.31898259,2.041652394,3,3,4.0,0,0.130434783,0.11121912198813966,0.12082695249406983,1.5,2.0
2,0,8,4,203,week3_percentage,0.130434783,2,23,24.25477473,2.080998154,3,3,8.0,0,0.130434783,0.1133624843420919,0.12189863367104595,1.5,1.0
3,0,9,3,133,week3_percentage,0.106280193,2,24,20.14826929,2.100617026,3,3,,0,0.106280193,0.11443122343041572,0.11035570821520785,5.5,4.0
4,0,10,2,177,week3_percentage,0.106280193,2,25,20.14805237,2.10060626,3,3,,0,0.106280193,0.11443063695199714,0.11035541497599857,5.5,5.0
5,0,10,1,86,week3_percentage,0.09178744,2,26,18.49892259,2.138279499,3,3,,0,0.09178744,0.11648288863614416,0.10413516431807207,9.0,8.0
7,0,5,7,290,week3_percentage,0.106280193,2,27,19.56957029,2.071474458,3,3,5.0,0,0.106280193,0.11284368049952065,0.10956193674976032,5.5,6.0
8,0,5,6,248,week3_percentage,0.120772947,2,28,21.41517333,2.038529956,3,3,5.0,0,0.120772947,0.11104902701318556,0.11591098700659277,3.0,3.0
9,0,7,5,128,week3_percentage,0.101449275,2,29,18.92311677,2.078905713,3,3,7.0,0,0.101449275,0.11324849850810963,0.10734888675405482,8.0,7.0
1,0,4,8,284,week4_percentage,0.121212121,3,30,13.29408714,1.558020298,3,4,4.0,1,0.12121212124242424,0.10289219861669197,0.11205215992955811,5.0,8.0
2,0,8,4,203,week4_percentage,0.121212121,3,31,19.88025409,1.960427895,3,4,8.0,0,0.12121212124242424,0.12946733531326776,0.125339728277846,5.0,4.0
