contestant_id,season_idx,season,weeks_participated,placement,celebrity_name,week_idx,judge_rank,score_sum,vote_rank,total_rank,obs_id,estimated_strength,fan_votes,week,data_source,eliminated_week,eliminated_actual,method1_value,method1_pos,judge_share,fan_share,method2_value,method2_pos
0,0,1,6,2,56,0,1,0.739940073,1,2,0,8.188113543,10.42655414,1,rank,,0,2.0,2.0,4101407799432981.5,0.22253575865995587,2050703899716490.8,2.0
1,0,1,6,1,66,0,3,-2.085285661,6,9,1,5.252630787,10.84545343,1,rank,,0,9.0,6.0,-1.1558512893342324e+16,0.2314763990719824,-5779256446671162.0,6.0
2,0,1,3,5,32,0,2,-0.067267279,4,6,2,4.035439964,6.543419792,1,rank,3.0,0,6.0,4.5,-372855252478310.4,0.13965734681767936,-186427626239155.12,4.5
3,0,1,4,4,89,0,1,0.739940073,1,2,3,2.709685945,3.450451323,1,rank,4.0,0,2.0,2.0,4101407799432981.5,0.07364358277652922,2050703899716490.8,2.0
4,0,1,5,3,55,0,1,0.739940073,1,2,4,8.624971433,10.98283886,1,rank,,0,2.0,2.0,4101407799432981.5,0.23440864020202024,2050703899716490.8,2.0
5,0,1,2,6,108,0,2,-0.067267279,4,6,5,2.839779484,4.604669986,1,rank,2.0,0,6.0,4.5,-372855252478310.4,0.09827827247183299,-186427626239155.12,4.5
0,0,1,6,2,56,1,1,1.437277734,1,2,6,6.105223667,7.774250414,2,rank,,0,2.0,1.0,1437277774.6489916,0.23278650772748855,718638887.440889,1.0
1,0,1,6,1,66,1,5,-0.780236484,5,10,7,2.619501383,8.770076137,2,rank,,0,10.0,5.0,-780236506.0665954,0.26260478987915625,-390118252.9019953,5.0
2,0,1,3,5,32,1,6,-1.51940789,6,12,8,1.161760432,4.952885167,2,rank,3.0,0,12.0,6.0,-1519407932.971791,0.14830559601282337,-759703966.4117427,6.0
3,0,1,4,4,89,1,2,0.944496797,2,4,9,1.730816599,2.806499339,2,rank,4.0,0,4.0,2.0,944496823.7121944,0.08403577776306435,472248411.8981151,2.0
4,0,1,5,3,55,1,3,0.205325391,3,6,10,3.696371754,7.632142702,2,rank,,0,6.0,3.0,205325396.8069988,0.2285313376164189,102662698.51776506,3.0
5,0,1,2,6,108,1,4,-0.287455547,4,8,11,0.555535615,1.460628236,2,rank,2.0,1,8.0,4.0,-287455555.1297983,0.04373599100104855,-143727777.54303116,4.0
0,0,1,6,2,56,2,2,0.629889779,2,4,12,3.54543529,5.748882812,3,rank,,0,4.0,2.0,2.269417099191107e+16,0.2391958499155887,1.1347085495955536e+16,2.0
1,0,1,6,1,66,2,4,-0.044992127,4,8,13,2.932927684,7.711327361,3,rank,,0,8.0,4.0,-1621012211134448.2,0.3208479912378024,-810506105567224.0,4.0
2,0,1,3,5,32,2,5,-1.84467721,5,10,14,0.645772533,2.162042866,3,rank,3.0,1,10.0,5.0,-6.646150076459877e+16,0.08995690080989692,-3.3230750382299384e+16,5.0
3,0,1,4,4,89,2,1,1.07981105,1,2,15,1.849228586,2.354764851,3,rank,4.0,0,2.0,1.0,3.890429313928435e+16,0.09797555426083708,1.9452146569642176e+16,1.0
4,0,1,5,3,55,2,3,0.179968508,3,6,16,2.933596415,6.05719012,3,rank,,0,6.0,3.0,6484048844537793.0,0.2520237037758749,3242024422268896.5,3.0
0,0,1,6,2,56,3,3,-0.784464541,3,6,17,2.135710486,4.409742386,4,rank,,0,6.0,3.0,-inf,0.24645387949646286,-inf,3.5
1,0,1,6,1,66,3,1,1.176696811,1,2,18,5.998031161,7.637753959,4,rank,,0,2.0,1.0,inf,0.42686259855249026,inf,1.5
