feature,importance
week1_combined_rank,0.5131733872642318
week2_combined_pct,0.12878883939884891
week2_audience_pct,0.11156073719158194
week2_combined_rank,0.07308082945421562
week1_audience_rank,0.054991117676075216
week2_audience_rank,0.02122033865223187
celebrity_age_during_season,0.014586525929224855
week1_audience_pct,0.012328090453101662
season_total_contestants,0.011090772259815716
ballroom_partner_count,0.009714293138505477
week2_judge_pct,0.009457258195270594
celebrity_homestate,0.007637403745648166
week1_combined_pct,0.0061081662655905694
week2_judge_rank,0.005771443547475381
ballroom_partner,0.005180482423151576
week1_judge_pct,0.0050537217971391366
week1_judge_rank,0.004865641633356173
celebrity_industry,0.0039547216218218965
gender,0.0011285887713747959
is_from_usa,0.0003076405813388202
is_legacy_season,0.0
