feature,importance_judge,feature_type_judge,importance_audience,feature_type_audience,diff
week1_combined_rank,0.4298434265638288,周表现,0.5131733872642318,周表现,-0.083329960700403
week2_combined_pct,0.1855963512559597,周表现,0.1287888393988489,周表现,0.056807511857110804
week2_combined_rank,0.1208029292738082,周表现,0.0730808294542156,周表现,0.047722099819592606
week2_audience_pct,0.1131971844389825,周表现,0.1115607371915819,周表现,0.0016364472474005992
week1_judge_rank,0.0194686471616603,周表现,0.0048656416333561,周表现,0.014603005528304198
week2_judge_pct,0.014067954022549,周表现,0.0094572581952705,周表现,0.004610695827278499
celebrity_age_during_season,0.0138479826575863,静态特征,0.0145865259292248,静态特征,-0.0007385432716385011
week2_judge_rank,0.0133299740586855,周表现,0.0057714435474753,周表现,0.007558530511210201
week1_audience_pct,0.0132466875202291,周表现,0.0123280904531016,周表现,0.0009185970671274999
season_total_contestants,0.0123460283858078,静态特征,0.0110907722598157,静态特征,0.0012552561259921002
week1_audience_rank,0.0108391094964645,周表现,0.0549911176760752,周表现,-0.0441520081796107
celebrity_homestate,0.0097860840210927,静态特征,0.0076374037456481,静态特征,0.0021486802754445995
week1_combined_pct,0.0096334950210417,周表现,0.0061081662655905,周表现,0.0035253287554512
ballroom_partner_count,0.0091914905949702,静态特征,0.0097142931385054,静态特征,-0.0005228025435352005
ballroom_partner,0.0067882636875458,静态特征,0.0051804824231515,静态特征,0.0016077812643942998
week1_judge_pct,0.0065495643574174,周表现,0.0050537217971391,周表现,0.0014958425602783001
celebrity_industry,0.0053141998557525,静态特征,0.0039547216218218,静态特征,0.0013594782339306994
week2_audience_rank,0.0045268306893109,周表现,0.0212203386522318,周表现,-0.016693507962920903
gender,0.0014526756648206,静态特征,0.0011285887713747,静态特征,0.00032408689344590007
is_from_usa,0.0001652941608079,静态特征,0.0003076405813388,静态特征,-0.0001423464205309
is_legacy_season,5.827111677675486e-06,静态特征,0.0,静态特征,5.827111677675486e-06
