feature,importance
week1_combined_rank,0.4298434265638288
week2_combined_pct,0.18559635125595975
week2_combined_rank,0.12080292927380826
week2_audience_pct,0.11319718443898259
week1_judge_rank,0.01946864716166037
week2_judge_pct,0.014067954022549005
celebrity_age_during_season,0.013847982657586343
week2_judge_rank,0.013329974058685568
week1_audience_pct,0.01324668752022916
season_total_contestants,0.012346028385807844
week1_audience_rank,0.010839109496464579
celebrity_homestate,0.009786084021092708
week1_combined_pct,0.009633495021041785
ballroom_partner_count,0.009191490594970209
ballroom_partner,0.006788263687545893
week1_judge_pct,0.006549564357417477
celebrity_industry,0.005314199855752521
week2_audience_rank,0.004526830689310931
gender,0.00145267566482064
is_from_usa,0.00016529416080795134
is_legacy_season,5.827111677675486e-06
