case_celebrity,season,week,quality_score,competitor_name,score,judge_rank,audience_rank,combined_rank,judge_pct,combined_pct,normalized_intensity,estimated_votes_min,estimated_votes_max,is_final_reached
Cody Rigsby,30,9,141.66666666666669,Melora Hardin,36.0,5.0,6.0,11.0,0.1592920353982301,0.2176885574226264,0.058396522024396325,324392.6798455216,6487853.596910432,False
Cody Rigsby,30,9,141.66666666666669,Suni Lee,37.5,3.5,5.0,8.5,0.165929203539823,0.2314315422819857,0.06550233874216267,363865.4917127136,7277309.834254273,False
Cody Rigsby,30,9,141.66666666666669,Iman Shumpert,37.5,3.5,2.0,5.5,0.165929203539823,0.3718681825666901,0.20593897902686709,1143991.0284942468,22879820.569884934,True
Cody Rigsby,30,9,141.66666666666669,Cody Rigsby,35.5,6.0,1.0,7.0,0.1570796460176991,0.4753503322613162,0.3182706862436171,1767993.662083293,35359873.24166586,True
Cody Rigsby,30,9,141.66666666666669,JoJo Siwa,40.0,1.0,3.0,4.0,0.1769911504424778,0.3722448219473778,0.19525367150489994,1084634.1452097192,21692682.904194385,True
Cody Rigsby,30,9,141.66666666666669,Amanda Kloots,39.5,2.0,4.0,6.0,0.1747787610619469,0.3314165635200037,0.15663780245805684,870122.9926545058,17402459.853090115,True
Cody Rigsby,30,10,137.5,Iman Shumpert,40.0,1.5,2.0,3.5,0.2547770700636942,0.5177113139625937,0.2629342438988994,1460599.7248583862,29211994.497167725,True
Cody Rigsby,30,10,137.5,Cody Rigsby,38.0,4.0,1.0,5.0,0.2420382165605095,0.6168409808387424,0.37480276427823284,2082029.3555655833,41640587.11131167,True
Cody Rigsby,30,10,137.5,JoJo Siwa,40.0,1.5,3.0,4.5,0.2547770700636942,0.4639298947342852,0.209152824670591,1161843.941045133,23236878.820902657,True
Cody Rigsby,30,10,137.5,Amanda Kloots,39.0,3.0,4.0,7.0,0.2484076433121019,0.4015178104643788,0.15311016715227688,850526.9785308981,17010539.570617963,True
