celebrity_name,season,low_score_advanced_count,week,audience_rank,audience_votes,estimated_votes,estimated_votes_min,estimated_votes_max
Alyson Hannigan,32,6,1,6.0,31.00374301,5710144.703469688,285507.2351734844,5710144.703469688
Alyson Hannigan,32,6,2,5.0,37.61536322,9321620.501499666,466081.0250749833,9321620.501499666
Alyson Hannigan,32,6,3,6.0,23.29076528,7552438.057381499,377621.90286907495,7552438.057381499
Alyson Hannigan,32,6,4,6.0,16.70415767,7178151.841432578,358907.59207162895,7178151.841432578
Alyson Hannigan,32,6,5,6.0,14.91490194,8082859.94261108,404142.997130554,8082859.94261108
Alyson Hannigan,32,6,6,6.0,13.45989626,9887362.944636168,494368.14723180846,9887362.944636168
Alyson Hannigan,32,6,7,6.0,12.56170115,11520850.40888507,576042.5204442535,11520850.40888507
Alyson Hannigan,32,6,8,5.0,12.20735781,13828211.23926519,691410.5619632595,13828211.23926519
Alyson Hannigan,32,6,9,4.0,11.26605079,15882849.18279191,794142.4591395955,15882849.18279191
Alyson Hannigan,32,6,10,4.0,8.790885003,15555969.10858918,777798.455429459,15555969.10858918
Alyson Hannigan,32,6,11,5.0,8.418949368,15686551.887620697,784327.594381035,15686551.887620697
Nelly,29,5,1,5.0,23.58291272,10110661.529058969,505533.07645294844,10110661.529058969
Nelly,29,5,2,3.0,28.90744892,16270334.62951247,813516.7314756234,16270334.62951247
Nelly,29,5,3,4.0,14.58435007,11585861.246159349,579293.0623079675,11585861.246159349
Nelly,29,5,4,5.0,13.26851121,12589892.839029424,629494.6419514712,12589892.839029424
Nelly,29,5,5,3.0,15.1772647,18697086.1721494,934854.3086074701,18697086.1721494
Nelly,29,5,6,4.0,10.75844573,17030269.921071507,851513.4960535754,17030269.921071507
Nelly,29,5,7,2.0,13.687892,25669002.43249981,1283450.1216249906,25669002.43249981
Nelly,29,5,8,3.0,7.625858421,19503936.281266484,975196.8140633242,19503936.281266484
Nelly,29,5,9,4.0,7.469770139,22690196.707219142,1134509.835360957,22690196.707219142
Nelly,29,5,10,2.0,8.287037874,30591878.112500228,1529593.9056250113,30591878.112500228
Nelly,29,5,11,3.0,6.936776686,34353040.8806326,1717652.0440316303,34353040.8806326
Cody Rigsby,30,4,1,1.0,72.34079978,17670467.764990125,883523.3882495064,17670467.764990125
Cody Rigsby,30,4,2,1.0,50.81666435,16589925.656936299,829496.282846815,16589925.656936299
Cody Rigsby,30,4,3,3.0,30.67502831,13282512.614992522,664125.6307496261,13282512.614992522
Cody Rigsby,30,4,4,1.0,29.73905392,16914436.43486013,845721.8217430065,16914436.43486013
Cody Rigsby,30,4,5,1.0,28.19299479,20254037.240710553,1012701.8620355276,20254037.240710553
Cody Rigsby,30,4,6,1.0,31.95831241,25724154.72874042,1286207.736437021,25724154.72874042
Cody Rigsby,30,4,7,1.0,26.45859333,28225034.776551597,1411251.73882758,28225034.776551597
Cody Rigsby,30,4,8,1.0,23.67849499,30332099.15896153,1516604.9579480765,30332099.15896153
Cody Rigsby,30,4,9,1.0,21.04825688,35359873.24166586,1767993.662083293,35359873.24166586
Cody Rigsby,30,4,10,1.0,19.40211211,41640587.11131167,2082029.3555655833,41640587.11131167
Iman Shumpert,30,4,1,5.0,25.5447881,6239747.916214611,311987.3958107305,6239747.916214611
Iman Shumpert,30,4,2,5.0,29.29166606,9562740.264812445,478137.01324062224,9562740.264812445
Iman Shumpert,30,4,3,5.0,19.75500106,8554060.590812888,427703.02954064443,8554060.590812888
Iman Shumpert,30,4,4,4.0,18.44280507,10489562.13860051,524478.1069300255,10489562.13860051
Iman Shumpert,30,4,5,5.0,13.76868747,9891517.76355451,494575.8881777255,9891517.76355451
Iman Shumpert,30,4,6,2.0,23.90277547,19240023.90201996,962001.1951009979,19240023.90201996
Iman Shumpert,30,4,7,3.0,13.05169393,13923057.453302542,696152.8726651272,13923057.453302542
Iman Shumpert,30,4,8,4.0,11.88498982,15224645.395568205,761232.2697784102,15224645.395568205
Iman Shumpert,30,4,9,2.0,13.61940235,22879820.569884934,1143991.0284942468,22879820.569884934
Iman Shumpert,30,4,10,2.0,13.61110473,29211994.497167725,1460599.7248583862,29211994.497167725
Jerry Rice,2,3,1,3.0,13.28821338,64294643.28040154,3214732.1640200773,64294643.28040154
Jerry Rice,2,3,2,3.0,11.20809207,69726862.0376983,3486343.1018849146,69726862.0376983
Jerry Rice,2,3,3,3.0,7.325701646,59481759.25834346,2974087.962917173,59481759.25834346
Jerry Rice,2,3,4,3.0,6.922633888,73377134.42142859,3668856.7210714296,73377134.42142859
Jerry Rice,2,3,5,3.0,5.925375443,84587055.00719142,4229352.750359572,84587055.00719142
Jerry Rice,2,3,6,3.0,5.416816948,98374245.16139525,4918712.258069762,98374245.16139525
Jerry Rice,2,3,7,3.0,5.042005042,118936859.83903177,5946842.991951589,118936859.83903177
Jerry Rice,2,3,8,3.0,4.043485655,131909765.21057671,6595488.2605288355,131909765.21057671
